Játékos;Poszt;Státusz;Szül. év.;Mag.;Töm.;Csapat
Myles CARTER;C;Légiós;1997;206;104;Körmend
Nahziah CARTER;GF;Légiós;1999;198;93;Szedeák
Sean CARTER;FC;Légiós;1988;206;111;Factum Sport Debrecen
Kyron CARTWRIGHT;PG;Légiós;1996;180;84;Alba Fehérvár
Virgil CĂRUȚAȘU;FC;Légiós;1976;204;102;Budapesti Honvéd
Janusz CEGLIŃSKI;FC;Légiós;1949;201;86;Oroszlány
Tomasz CELEJ;SF;Légiós;1978;198;92;Kecskemét
Dragan ĆERANIĆ;C;Légiós;1976;212;115;ZTE KK
Matija ČEŠKOVIĆ;PG;Légiós;1981;192;90;Kaposvári KK, Pécsi VSK
Siyani CHAMBERS;PG;Légiós;1993;183;77;Alba Fehérvár, Körmend
Jay Jay CHANDLER;SG;Légiós;1998;193;83;Atomerőmű SE
Wesley CHANNELS;G;Légiós;1988;191;95;Körmend
Kenny CHERY;PG;Légiós;1992;180;82;Alba Fehérvár
Gilles CHIGARD;F;Légiós;1985;198;100;Egri Fekete Sasok
Wayne CHISM;FC;Légiós;1987;206;112;Alba Fehérvár, Kaposvári KK
Andrija ČIRIĆ;F;Légiós;1980;200;105;Falco KC Szombathely, Pécsi VSK, Szedeák
Māris CITSKOVSKIS;SF;Légiós;1977;200;;Alba Fehérvár
Elijah CLARANCE;SG;Légiós;1998;193;86;Atomerőmű SE
Donte CLARK;GF;Légiós;1994;193;88;TF-Budapest
Ivory CLARK;F;Légiós;1985;196;100;Atomerőmű SE, Dombóvár, Szolnoki Olajbányász
Marvin CLARK;F;Légiós;1994;201;104;Falco KC Szombathely
Chris CLAY;SG;Légiós;1972;193;94;Körmend
Jr. CLAY;PG;Légiós;2000;183;77;Szolnoki Olajbányász
Darko ČOHADAREVIĆ;PF;Légiós;1986;206;110;ZTE KK
COHILL Eric;SF;Hazai;2003;196;86;Atomerőmű SE, Budapesti Honvéd, Szedeák
Travis COHN;PG;Légiós;1989;188;79;Jászberény
Donald COLE;PF;Légiós;1981;203;98;Atomerőmű SE, ZTE KK
Al'Lonzo COLEMAN;FC;Légiós;1989;203;116;Nyíregyháza
Jerome COLEMAN;PG;Légiós;1979;187;86;Szolnoki Olajbányász
Lorenzo COLEMAN;C;Légiós;1975;216;120;Falco KC Szombathely
Orlando COLEMAN;GF;Légiós;1992;196;95;Atomerőmű SE, Jászberény
Chauncey COLLINS;PG;Légiós;1995;183;82;Sopron KC
Žarko ČOMAGIĆ;F;Légiós;1985;199;101;Falco KC Szombathely
Anton COOK;G;Légiós;1995;188;88;Körmend
Keandre COOK;SG;Légiós;1997;196;85;Szedeák
Malik COOKE;F;Légiós;1989;198;98;Kaposvári KK
Donald COPELAND;PG;Légiós;1984;178;77;ZTE KK
Erik COPES;FC;Légiós;1993;203;113;Nyíregyháza
Covington CORMIER;PG;Légiós;1972;185;82;Kaposvári KK
Lluís COSTA;PG;Légiós;1993;185;93;Debreceni EAC
P.J. COUISNARD;SG;Légiós;1984;193;98;Sopron KC
Nick COVINGTON;G;Légiós;1985;188;91;Falco KC Szombathely
Raymond COWELS;GF;Légiós;1990;193;93;Falco KC Szombathely
Aaron CRAFT;PG;Légiós;1991;188;88;Szolnoki Olajbányász
CRANGASU Codrin;SF;Hazai;1986;196;92;Hódmezővásárhely
Isaiah CRAWLEY;PF;Légiós;1998;201;100;Budapesti Honvéd
Mircea CRISTESCU;SF;Légiós;1967;196;88;Dombóvár
Tony CROCKER;GF;Légiós;1987;201;95;Alba Fehérvár
David CROUSE;C;Légiós;1974;210;120;Falco KC Szombathely
Jason CROWE;G;Légiós;1976;193;84;Szolnoki Olajbányász
Alvin CRUZ;PG;Légiós;1982;185;84;Sopron KC
CSABAY Ádám;SG;Hazai;1986;189;84;Jászberény, Kecskemét, Pécsi VSK
CSÁK Bence;G;Hazai;1998;190;85;Szolnoki Olajbányász
CSÁKVÁRI Csaba;PF;Hazai;1994;200;110;Szolnoki Olajbányász
CSANÁDI Ferenc;GF;Hazai;1954;192;92;Bajai SK
CSANÁDY Miklós, Dr.;G;Hazai;1964;185;;Szegedi EOL
CSÁNYI Attila;PF;Hazai;1973;195;;Videoton
CSÁNYI Dávid;SG;Hazai;1998;190;79;Szedeák
CSÁNYI Tamás;C;Hazai;1981;207;110;Atomerőmű SE, MAFC
CSANYIK Balázs;PG;Hazai;1975;182;;Bajai SK
CSAPAI Péter;PF;Hazai;1993;204;80;Körmend
CSAPLÁR-NAGY Arnold;C;Hazai;1977;212;112;Alba Fehérvár, Atomerőmű SE, Debreceni KK, Dombóvár, Falco KC Szombathely, Sopron KC
CSAPLÁR-NAGY Ervin;C;Hazai;1979;210;102;Atomerőmű SE, Kecskemét, Körmend, ZTE KK
CSAPÓ Gábor;F;Hazai;1964;194;84;Oroszlány
CSARNAI István;GF;Hazai;1956;193;80;Alba Fehérvár, Videoton
CSARNAI Mihály;G;Hazai;1958;185;81;MAFC, Videoton
CSÁTALJAY Barna;PG;Hazai;2002;184;65;Sopron KC
CSÁTALJAY Gábor;GF;Hazai;1974;191;85;Bajai SK, Soproni MAFC
CSÁTALJAY Péter;G;Hazai;2004;190;85;Sopron KC, ZTE KK
CSEH Botond;GF;Hazai;2004;199;93;Szedeák
CSEH György;FC;Hazai;1987;208;102;Factum Sport Debrecen, Jászberény, Kecskemét, Körmend, Nyíregyháza, Szolnoki Olajbányász
CSEH Zsolt;F;Hazai;1963;196;90;Kecskemét, Nagykőrös
CSENDES Péter;G;Hazai;2004;186;82;Sopron KC
CSEPREGHY László;GF;Hazai;1954;191;86;Csepel
CSERKÓ Krisztián;GF;Hazai;2000;193;81;Kecskemét
CSERNAI Zoltán;SG;Hazai;1991;180;72;Kecskemét
CSERNÁK Ádám;SF;Hazai;1991;198;84;Pécsi VSK
CSERNAY István;G;Hazai;1955;186;78;Pécsi EAC
CSERVÉK Csaba;PG;Hazai;1971;182;;Bajai SK
CSESZLAI Ádám;PG;Hazai;1982;184;80;Atomerőmű SE, Budapesti Honvéd, MAFC, ZTE KK
CSIK Péter;FC;Hazai;;;;Videoton
CSIKAI Pál;G;Hazai;1950;;;Kecskemét
CSIRKE Ferenc;G;Hazai;1976;184;80;Alba Fehérvár, Dombóvár, Kaposvári KK, Matáv Pécs, Pécsi VSK, Sopron KC
CSISZÁR Dániel;SG;Hazai;1988;188;78;Falco KC Szombathely
CSISZÁR Zoltán;G;Hazai;1956;184;78;Kandó MFSC
CSIZMADIA Attila;FC;Hazai;2002;205;100;Atomerőmű SE, Debreceni EAC, ZTE KK
CSOMA Lóránd;SG;Hazai;1981;193;80;Debreceni KK
CSOMÓS Kristóf;SG;Hazai;2002;192;79;Budapesti Honvéd
CSONTOS Balázs;PG;Hazai;1980;182;80;Soproni MAFC
CSORBA Szabolcs;SF;Hazai;1983;195;98;Hódmezővásárhely
CSORBA Zoltán;;Hazai;;;;Testnevelési Főiskola
CSORDÁS András;C;Hazai;1980;203;;Kaposvári KK
CSORNAI Bence;SG;Hazai;2002;192;85;Szolnoki Olajbányász
CSORNAI Csaba;F;Hazai;2002;192;93;Szedeák
CSORVÁSI Levente;FC;Hazai;1990;211;80;Szedeák
CSORVÁSI Milán;C;Hazai;1988;208;116;Alba Fehérvár, Kaposvári KK, Kecskemét, Körmend, Sopron KC, Szedeák
CSORVÁSI Sándor;FC;Hazai;1961;200;92;Kecskemét, Nagykőrös
CSUTI Kornél;FC;Hazai;2004;204;104;Oroszlány, ZTE KK
Ivan ĆUBELA;SF;Légiós;1984;202;90;Dombóvár, Körmend
CUHORKA Csaba;SG;Hazai;1960;190;78;Budapesti Honvéd, Csepel, Testnevelési Főiskola
Markeith CUMMINGS;PF;Légiós;1988;198;109;Szolnoki Olajbányász
Kurt CUNNINGHAM;C;Légiós;1987;206;120;Kaposvári KK
Slaven ČUPKOVIĆ;PF;Légiós;1988;206;105;Alba Fehérvár
Mickey CURLEY;C;Légiós;1976;206;117;MAFC
Morris CURRY;PG;Légiós;1987;178;77;Kaposvári KK, Szedeák
Ron CURRY;G;Légiós;1993;193;89;Alba Fehérvár, Falco KC Szombathely
Dušan CVETKOVIĆ;FC;Légiós;1989;205;90;MAFC
Marko CVETKOVIĆ;SF;Légiós;1977;197;;Nyíregyháza
Rastko CVETKOVIĆ;C;Légiós;1970;216;118;Sopron KC
Romeo CVJETIČANIN;C;Légiós;1970;211;116;Kaposvári KK
Marian CZAJKOWSKI;GF;Légiós;1954;192;;Egri TANÉP
Alexander CZAKO;FC;Légiós;1974;205;;Nyíregyháza
CZAKÓ Gábor;SF;Hazai;1965;195;;Szegedi EOL, Veszprém
CZEGLÉDY István;GF;Hazai;1952;189;77;Budapest SE
CZERMANN Máté;PG;Hazai;2005;188;82;Oroszlány
CZERMANN Patrik;C;Hazai;2003;210;109;Debreceni EAC
CZIBERE Zoltán;GF;Hazai;1983;192;92;Hódmezővásárhely
CZICZÁS László;SG;Hazai;1979;189;90;Debreceni Egyetem, Szolnoki Olajbányász
CZIGLER László;C;Hazai;1971;215;122;Atomerőmű SE, Körmend, Matáv Pécs, Nyíregyháza, Pécsi VSK
CZIMBALEK Csaba;SG;Hazai;1957;191;92;Dombóvár, Kaposvári KK
CZINA József;FC;Hazai;1954;200;85;Budapest SE
CZINGER Zoltán;C;Hazai;1993;215;105;Atomerőmű SE, Nyíregyháza, ZTE KK
CZIRBUS József;PF;Hazai;1994;202;92;Alba Fehérvár, Jászberény
CZIRKOS Balázs;SF;Hazai;1973;196;;Budapesti Honvéd
CZUKOR Bence;G;Hazai;1994;190;85;Pécsi VSK
CZUPRÁK László;SG;Hazai;1959;190;;Egri TANÉP, Hódmezővásárhely
CZURA Attila;G;Hazai;1994;180;73;Nyíregyháza
Tulio DA SILVA;PF;Légiós;1996;203;97;Sopron KC
Steve DAGOSTINO;PG;Légiós;1985;180;75;Debreceni Egyetem
Mike DALE;SF;Légiós;1984;196;102;Kecskemét
Davorin DALIPAGIĆ;PF;Légiós;1999;203;107;Budapesti Honvéd
DANCSECS András;PG;Hazai;2000;188;72;Falco KC Szombathely
DÁNIEL Péter;G;Hazai;1995;189;88;Salgótarjáni KSE
Greg DANIELSON;C;Légiós;1981;205;117;Kecskemét
DANKÓ Péter;G;Hazai;1956;181;73;Budapest SE, Tungsram
DANKÓ Tamás;SF;Hazai;1993;195;85;Alba Fehérvár
DANKOVICS Albert;FC;Hazai;1963;200;88;Körmend
Dalibor ĐAPA;FC;Légiós;1984;205;117;Alba Fehérvár
DARA Csaba;FC;Hazai;1961;200;91;Bajai SK, Kaposvári Honvéd Táncsics
DARÁZS János;G;Hazai;1953;184;76;Pécsi VSK
Cole DARLING;F;Légiós;1991;203;91;ZTE KK
Le'Tre DARTHARD;SG;Légiós;2000;193;86;Szolnoki Olajbányász
DARU Gábor;FC;Hazai;1992;207;82;ZTE KK
Jugoslav DAŠIĆ;SF;Légiós;1980;196;95;Nyíregyháza
Đuro DAUTOVIĆ;SF;Légiós;2001;198;95;Kecskemét
DÁVID Benjámin;G;Hazai;2005;188;85;Kecskemét
DÁVID Gergely;FC;Hazai;1983;206;106;Alba Fehérvár, Dombóvár, Kaposvári KK, Körmend, Szolnoki Olajbányász
DÁVID Kornél;PF;Hazai;1971;206;106;Alba Fehérvár, Budapesti Honvéd
DÁVID Tamás;G;Hazai;2009;187;73;Szolnoki Olajbányász
Bennet DAVIS;FC;Légiós;1984;206;100;Kaposvári KK, Körmend, MAFC, Nyíregyháza
Darrell DAVIS;SG;Légiós;1996;195;76;Szedeák
DeAndre DAVIS;PF;Légiós;1994;201;100;Szedeák
Dee DAVIS;PG;Légiós;1993;183;77;Szolnoki Olajbányász
Gage DAVIS;G;Légiós;1995;195;84;Oroszlány
James DAVIS;C;Légiós;1985;216;152;Salgótarjáni KSE
Jawan DAVIS;PG;Légiós;1989;184;83;Nyíregyháza
Rashun DAVIS;PG;Légiós;1993;180;84;Kaposvári KK, Szedeák
Shaheed DAVIS;PF;Légiós;1994;206;95;Alba Fehérvár
Stacy DAVIS;PF;Légiós;1994;198;111;Alba Fehérvár
Steven DAVIS;F;Légiós;1993;203;100;Körmend
Terrence DAVIS;SG;Légiós;1975;192;90;Atomerőmű SE, Budapesti Honvéd, Szolnoki Olajbányász
LeRoy DAWSON;PG;Légiós;1981;188;79;Jászberény
Quinton DAY;PG;Légiós;1984;185;83;Kaposvári KK
DEÁK Attila;SG;Hazai;1977;193;88;Dombóvár, Hódmezővásárhely, Nagykőrös, Pécsi VSK, Szedeák
DEÁK Csaba;SG;Hazai;1980;192;;Nagykőrös
DEBRECENI Dániel;FC;Hazai;1992;198;101;MAFC
DEBRECENI Nándor;FC;Hazai;1954;197;83;Egri TANÉP
DEBRŐDY István;GF;Hazai;1982;195;81;MAFC
Quenton DECOSEY;GF;Légiós;1994;196;93;Alba Fehérvár, ZTE KK
Ronnie DEGRAY;PF;Légiós;1976;203;104;Kaposvári KK
John DEGROAT;PF;Légiós;1985;198;100;Dombóvár
Ante DELAŠ;GF;Légiós;1988;200;88;ZTE KK
Mario DELAŠ;C;Légiós;1990;207;100;Körmend
DÉLITY Bence;SF;Hazai;1992;192;87;Pécsi VSK, ZTE KK
DEMETER Attila;SF;Hazai;1997;199;99;Budapesti Honvéd, Oroszlány, Pécsi VSK, Szedeák
DEMETER Vilmos;F;Hazai;1954;196;86;Vasas
DÉNES Gábor;F;Hazai;1982;198;97;Falco KC Szombathely, Kaposvári KK, Kecskemét, Pécsi VSK, Sopron KC
Marko ĐERASIMOVIĆ;SF;Légiós;1984;199;92;Kecskemét
DÉRI Dániel;G;Hazai;1991;190;;Körmend
Keron DESHIELDS;G;Légiós;1992;188;88;Debreceni EAC, Jászberény
DESSEFFY Tibor;G;Hazai;1962;184;80;Budapest SE
DÉVAI Ferenc;PF;Hazai;1962;199;;Budapest SE, Oroszlány, Vasas
Nick DEWITZ;PF;Légiós;1982;203;104;Körmend
Cheick DIAKITE;C;Légiós;1985;203;103;Körmend
Cole DICKERSON;PF;Légiós;1991;201;104;Körmend
DeMarco DICKERSON;G;Légiós;1997;196;82;Nyíregyháza
Noah DICKERSON;C;Légiós;1997;203;111;Oroszlány
James DICKEY;FC;Légiós;1996;208;98;Alba Fehérvár, Szedeák
Manny DIES;C;Légiós;1977;206;107;Falco KC Szombathely, Körmend, Sopron KC
Quincy DIGGS;GF;Légiós;1990;198;94;Kaposvári KK, Pécsi VSK, Sopron KC
Trey DIGGS;GF;Légiós;1999;196;95;Falco KC Szombathely
Savo ĐIKANOVIĆ;C;Légiós;1975;211;108;Jászberény
Anthony DILL;FC;Légiós;1981;201;107;Atomerőmű SE, Dombóvár, Körmend
Kevin DILLARD;PG;Légiós;1989;183;83;Körmend, Sopron KC
Miloš DIMIĆ;GF;Légiós;1989;195;83;Kecskemét
Đorđe DIMITRIJEVIĆ;PG;Légiós;1997;188;84;Budapesti Honvéd, Oroszlány
Cheikh Mbacke DIONG;C;Légiós;1999;211;107;Alba Fehérvár
Nikola DJOGO;F;Légiós;1997;203;104;Körmend
DOBI Antal;GF;Hazai;1957;193;84;Egri TANÉP, Szegedi EOL, ZTE KK
DOBOS Dávid;PG;Hazai;1988;;;Dombóvár
DOBOS László;C;Hazai;1993;219;145;Falco KC Szombathely, Kecskemét
DOBOS László;FC;Hazai;1972;201;107;MAFC
DOBOS Richárd;GF;Hazai;1982;193;85;Kecskemét
DOBROVICS Zsolt;C;Hazai;1964;207;98;Sopron KC, Tungsram
DÓCS Benedek;PF;Hazai;2004;200;93;Budapesti Honvéd
Đorđe ĐOGO;PF;Légiós;1976;206;105;Atomerőmű SE, Nyíregyháza
DOHÁNY Péter;SF;Hazai;1979;195;90;Kecskemét, MAFC
DOHÁR István;F;Hazai;1984;199;105;Atomerőmű SE, MAFC
Vladimir ĐOKIĆ;SG;Légiós;1971;191;;Egri Fekete Sasok
Milivoj DOKMANOVIĆ;GF;Légiós;1960;194;81;Sopron KC, Szegedi EOL
Ilija ĐOKOVIĆ;PG;Légiós;1996;188;88;Budapesti Honvéd
DOKTOR Péter;PG;Hazai;1998;190;82;Falco KC Szombathely, Körmend, Pécsi VSK, ZTE KK
Marek DOLEŽAJ;PF;Légiós;1998;208;91;Nyíregyháza
DOLGOS Tamás;SF;Hazai;1971;193;92;Körmend
DOMA Attila;SF;Hazai;1972;195;;Atomerőmű SE, Nagykőrös
DOMONKOS András;PG;Hazai;1983;192;78;Kaposvári KK
Donovan DONALDSON;G;Légiós;1996;185;84;Jászberény, Pécsi VSK, ZTE KK
DONKÓ András;F;Hazai;1949;194;89;Volán SC
DONKÓ Tibor;GF;Hazai;1953;193;78;Volán SC
DÖRMŐ Lajos;;Hazai;;;;Szegedi EOL
DOROGI Gergő;FC;Hazai;2000;203;105;Atomerőmű SE, Budapesti Honvéd, Oroszlány
Shaun DOSS Jr.;SF;Légiós;1999;196;86;Oroszlány
Bam DOYNE;SG;Légiós;1984;193;85;Alba Fehérvár, Falco KC Szombathely, Nyíregyháza, Pécsi VSK
DRAGASEVICS Veljko;GF;Hazai;1997;195;91;Pécsi VSK
DRAHOS Gábor;PG;Hazai;1979;185;92;Hódmezővásárhely, Kaposvári KK, Kecskemét, Szedeák
Rastko DRAMIĆANIN;FC;Légiós;1986;208;111;Jászberény, Kaposvári KK, Kecskemét
Edwin DRAUGHAN;GF;Légiós;1982;196;86;Falco KC Szombathely, MAFC
Đorđe DRENOVAC;F;Légiós;1992;198;100;Debreceni EAC, Szedeák
Goran DROBNJAK;C;Légiós;1965;212;;Sopron KC
Adomas DRUNGILAS;C;Légiós;1990;205;112;ZTE KK
DUDÁS Gergely;PF;Hazai;1976;197;;Videoton
DUDÁS Tamás;PF;Hazai;1991;202;101;Kecskemét
Austin DUFAULT;PF;Légiós;1990;206;102;Sopron KC
Henry DUGAT;G;Légiós;1987;183;82;Atomerőmű SE, Debreceni EAC
Josh DUINKER;FC;Légiós;1989;211;110;Körmend
Brano ĐUKANOVIĆ;GF;Légiós;1995;196;86;Atomerőmű SE
Milutin ĐUKANOVIĆ;G;Légiós;1991;190;85;Kecskemét
Kahlil DUKES;PG;Légiós;1995;183;80;Atomerőmű SE
Nebojša DUKIĆ;FC;Honosított;1988;206;117;Falco KC Szombathely, Jászberény, MAFC, Pécsi VSK, Szedeák
DULL Norbert;;Hazai;;;;Pécsi VSK
Dominik DUMANČIĆ;C;Légiós;1972;207;110;Körmend
DUNAI Zétény;SG;Hazai;2003;186;80;Körmend
DUNAI Zsolt;SG;Hazai;1968;193;;Bajai SK, Falco KC Szombathely
Tony DUNKIN;SF;Légiós;1970;201;98;Budapesti Honvéd
Chris DUNN;PG;Légiós;1983;189;91;Atomerőmű SE, Kaposvári KK
Dejan DUNOVIĆ;G;Légiós;1982;193;;Körmend
Božo ĐURASOVIĆ;F;Légiós;1987;201;100;Kecskemét
DURÁZI Krisztofer;PF;Hazai;1998;198;98;Falco KC Szombathely, Körmend, ZTE KK
Jozef ĎURČEK;FC;Légiós;1966;204;100;Sopron KC
Javier DUREN;G;Légiós;1993;193;84;Kaposvári KK
Tyreek DUREN;PG;Légiós;1991;183;86;ZTE KK
Anthony DURHAM;SG;Légiós;1994;190;90;NKA Pécs, Szolnoki Olajbányász
Jabril DURHAM;PG;Légiós;1994;185;86;Pécsi VSK, Szolnoki Olajbányász
Juwan DURHAM;C;Légiós;1997;211;105;Sopron KC
Žarko ĐURIĆ;F;Légiós;1989;198;100;ZTE KK
DURKÓ Bertalan;PF;Hazai;1956;196;87;Sopron KC, Vasas
Ibrahim DURMO;F;Légiós;1997;201;103;NKA Pécs
DÜRR Edgár;SF;Hazai;1973;198;82;Százhalombatta
Slavko DUŠČAK;SG;Légiós;1974;191;;Sopron KC
Uroš DUVNJAK;G;Légiós;1986;191;97;MAFC, Sopron KC
Gojko DŽAKOVIĆ;SF;Légiós;1967;198;98;Budapesti Honvéd
Rade DŽAMBIĆ;PG;Légiós;1980;188;83;ZTE KK
Đorđe DŽELETOVIĆ;FC;Légiós;1993;204;101;Debreceni EAC, Pécsi VSK, Szedeák
Mladen DŽINO;C;Légiós;1967;211;115;Százhalombatta
Branislav DZUNIĆ;SG;Honosított;1964;192;85;Falco KC Szombathely, Kaposvári KK, ZTE KK
Tahj EADDY;PG;Légiós;1996;188;75;Kaposvári KK
James EADS;GF;Légiós;1997;193;100;Szolnoki Olajbányász
Tyree EADY;SG;Légiós;1999;196;98;Szedeák
Gerald EAKER;C;Légiós;1973;208;110;Falco KC Szombathely
Jeremy EATON;FC;Légiós;1976;210;107;Dombóvár, Körmend
ECSERI Norbert;C;Hazai;1971;207;98;Budapesti Honvéd, Csepel, Nyíregyháza, Szolnoki Olajbányász
Charles EDMONSON;PF;Légiós;1969;204;100;Dombóvár, Körmend, ZTE KK
Zena EDOSOMWAN;C;Légiós;1993;206;118;Atomerőmű SE
Carl EDWARDS;SG;Légiós;1981;195;95;Kaposvári KK
Cortez EDWARDS;PG;Légiós;1997;183;86;Sopron KC
Justin EDWARDS;SG;Légiós;1992;193;91;Alba Fehérvár, Körmend
Mario EDWARDS;G;Légiós;1988;191;93;Sopron KC
Deon EDWIN;G;Légiós;1992;193;100;Atomerőmű SE, Debreceni EAC
Benson EGEMONYE;C;Légiós;1983;208;111;Pécsi VSK, Sopron KC
Brian EHLERS;SG;Légiós;1978;194;;MAFC
EILINGSFELD János;PF;Hazai;1991;200;103;Atomerőmű SE, Körmend, Pécsi VSK, Szolnoki Olajbányász
EISERT Árpád;SF;Hazai;1977;196;;Atomerőmű SE
Muhammad EL-AMIN;GF;Légiós;1987;196;95;Alba Fehérvár, Körmend, Pécsi VSK, Sopron KC
ELEK László;C;Hazai;1965;205;95;Oroszlány, Tungsram
Goran ELEZOVIĆ;SF;Légiós;1968;196;;Debreceni KK
Reggie ELLIOTT;G;Légiós;1973;195;86;Szedeák, Szolnoki Olajbányász
Jon ELMORE;PG;Légiós;1995;190;85;Sopron KC
ÉLŐ Bálint;C;Hazai;1993;206;110;Sopron KC
ELTUHAMI Ibrahim;PF;Hazai;1978;198;;Kaposvári KK
EMELIEZE Ágoston;G;Hazai;2006;185;74;NKA Pécs
Mike ENGLISH;G;Légiós;1982;193;102;Atomerőmű SE, Dombóvár, Körmend
ERDEI Ádám;F;Hazai;2000;196;90;Pécsi VSK
ERDEI Ádám;G;Hazai;1986;180;75;Debreceni Egyetem, Debreceni KK
ERDEI István;;Hazai;;;;ZTE KK
ÉRSEK István;PF;Hazai;1968;201;95;Atomerőmű SE, Dombóvár, Körmend
ÉRSEK Marcell;PG;Hazai;2000;194;86;Körmend
Mo EVANS;G;Légiós;1994;185;84;Kaposvári KK
Ryan EVANS;F;Légiós;1990;203;98;Atomerőmű SE
Shannon EVANS;PG;Légiós;1994;185;80;Atomerőmű SE
FÁBIÁN Szabolcs;C;Hazai;2000;210;108;Debreceni EAC
Michael FAKUADE;PF;Légiós;1989;201;107;Alba Fehérvár
Eric FANNING;SG;Légiós;1992;196;95;Körmend
FARAGÓ László;GF;Hazai;1978;194;;Budapesti Honvéd
FARAGÓ Péter;SG;Hazai;1984;185;87;Atomerőmű SE, MAFC, NTE Hegyvidék, Vasas
FARKAS András;PG;Hazai;1965;179;72;Csepel, MAFC, ZTE KK
FARKAS Attila;FC;Hazai;1987;208;108;Alba Fehérvár, Atomerőmű SE, Debreceni EAC, Körmend, Nyíregyháza
FARKAS Attila;PG;Hazai;2000;192;75;ZTE KK
FARKAS Attila;C;Hazai;1958;204;94;Budapesti Honvéd, Oroszlány, Tungsram
FARKAS Dániel;SF;Hazai;1999;196;86;Pécsi VSK
FARKAS István;;Hazai;;;;Kecskemét
FARKAS János;G;Hazai;1958;178;70;Szolnoki Olajbányász
FARKAS József;G;Hazai;1957;185;75;Csepel, Sopron KC, Tungsram
FARKAS József;SF;Hazai;1971;195;;Oroszlány
FARKAS László;SF;Hazai;1965;197;95;Kaposvári KK, Sopron KC, ZTE KK
FARKAS Levente;GF;Hazai;2007;192;90;Körmend
Anthony FARMER;PG;Légiós;1986;185;86;Debreceni Egyetem
James FARR;PF;Légiós;1992;208;112;Alba Fehérvár
Nick FAUST;SF;Légiós;1993;198;95;Atomerőmű SE
FAZEKAS Csaba;SG;Hazai;1999;192;91;Debreceni EAC, Nyíregyháza, Sopron KC
FAZEKAS Máté;C;Hazai;2000;212;131;Alba Fehérvár, Kaposvári KK, Kecskemét
Jeremy FEARS;G;Légiós;1985;194;88;Debreceni Egyetem, Körmend
FEDOR Tamás;FC;Hazai;1965;201;86;Szegedi EOL
FEHÉR Csaba;SF;Hazai;1987;196;81;MAFC, Pécsi VSK
FEHÉR Dániel;FC;Hazai;1990;201;;Pécsi VSK
FEHÉR István;C;Hazai;1948;207;;Budapest SE
FEHÉR Péter;SG;Hazai;1997;186;84;Kecskemét
FEHÉRVÁRI Csegő;GF;Hazai;2005;195;88;Kaposvári KK
FEHÉRVÁRY Gergely;SF;Hazai;1976;195;;Szolnoki Olajbányász
FEIGL Imre;C;Hazai;1978;205;125;Falco KC Szombathely
FEITH Iván;GF;Hazai;1959;190;86;Csepel
FEJES János;F;Hazai;1966;201;89;Debreceni KK
FEKETE Gábor;GF;Hazai;1955;193;80;Alba Fehérvár
Nikola FEKETE;SG;Hazai;1991;192;;Kaposvári KK
Stefan FEKETE;G;Honosított;1986;190;82;Factum Sport Debrecen, Nyíregyháza, Szedeák, ZTE KK
FEKETE Viktor;G;Hazai;1995;189;80;Jászberény, ZTE KK
FEKETE Zsolt;G;Hazai;1968;187;79;Kecskemét
FELFÖLDI Kálmán;GF;Hazai;1953;193;85;Kecskemét
FELHÁZI Lóránt;C;Hazai;1961;202;88;Testnevelési Főiskola
D.J. FENNER;G;Légiós;1993;198;98;Alba Fehérvár
FERENCZ Csaba;SF;Hazai;1985;195;102;Körmend
FERENCZY Csaba;;Hazai;;;;Budapest SE
Fred FERGUSON;C;Légiós;1972;206;110;Matáv Pécs
Jeffrey FERGUSON;FC;Légiós;1981;211;116;Nyíregyháza
FÉSŰS Lajos;GF;Hazai;1956;190;77;Szolnoki Olajbányász, Vasas
Michael FEY;C;Légiós;1983;213;122;Falco KC Szombathely, Kaposvári KK
Eric FIEGI;C;Légiós;1983;206;109;Kecskemét
Brandon FIELDS;G;Légiós;1988;193;88;Nyíregyháza
Gordan FILIPOVIĆ;FC;Honosított;1965;206;97;Kaposvári KK, Szolnoki Olajbányász
FILIPOVICS Stefan;C;Hazai;1998;208;115;Alba Fehérvár, Budapesti Honvéd, Jászberény, Körmend, Szedeák, TF-Budapest
FILIPOVITY Márkó;F;Hazai;1996;201;98;Alba Fehérvár, Falco KC Szombathely, Kaposvári KK, Szedeák
FILIPOVITY Péter;PF;Hazai;2001;201;98;Kaposvári KK
Valerij FILIUSKIN;C;Légiós;1958;205;;Debreceni KK
FILÓTÁS Gergely;SF;Hazai;1972;199;;Atomerőmű SE, Budapesti Honvéd
David FISHER;C;Légiós;1978;208;104;Dombóvár, Falco KC Szombathely, MAFC
FLASÁR Botond;FC;Hazai;2005;202;103;Debreceni EAC
FLASÁR Zalán;FC;Hazai;2007;205;100;Sopron KC
Damon FLINT;GF;Légiós;1973;195;;Budapesti Honvéd
James FLORENCE;PG;Légiós;1988;185;84;Szolnoki Olajbányász
Rod FLOWERS;FC;Légiós;1982;206;109;Alba Fehérvár
FODOR Gergely;SG;Hazai;1977;193;90;Alba Fehérvár, Atomerőmű SE, Kecskemét, Körmend
FODOR Kristóf;G;Hazai;1989;188;82;Alba Fehérvár, MAFC
FODOR Márton;PG;Hazai;1981;191;87;Atomerőmű SE, Debreceni KK, Kaposvári KK, Körmend, MAFC, Pécsi VSK, Szolnoki Olajbányász
FODOR Péter;F;Hazai;1963;194;83;Kandó MFSC
