Csapat;Szezon;G;PTS PG;Opp. PTS PG;Pace;ORtg;DRtg;Net RTG;Close made PG;Close att. PG;Close %;Mid. made PG;Mid. att. PG;Mid. %;2P made PG;2P att. PG;2P%;3P made PG;3P att. PG;3P%;FG made PG;FG att. PG;FG%;EFG%;FT made PG;FT att. PG;FT%;TS%;Close att. rate;Mid. att. rate;3P att. rate;FT att. rate;AST PG;AST%;TOV PG;TOV%;DRB PG;ORB PG;TRB PG;DRB%;ORB%;TRB%;STL PG;STL%;BLK PG;BLK%;PF PG;PFA PG
Szedeák ellenfelek;2023-24;36;91.3;89.4;76.9;118.3;115.8;2.5;22.2;36.1;0.614;3.2;7.7;0.414;25.4;43.8;0.579;9.2;26.4;0.349;34.6;70.2;0.492;0.558;13.0;18.3;0.712;0.582;51.4;11.0;37.6;0.261;18.6;53.7;11.3;12.6;25.5;11.2;36.7;67.6;29.6;48.6;7.0;9.0;1.6;3.5;20.0;19.3
Alba Fehérvár ellenfelek;2024-25;35;91.1;90.9;74.6;120.9;120.6;0.2;22.2;36.4;0.609;2.1;5.1;0.417;24.3;41.6;0.585;9.1;25.4;0.356;33.4;67.0;0.498;0.566;15.3;20.2;0.757;0.599;54.4;7.7;38.0;0.301;20.1;60.3;11.8;13.4;25.3;11.1;36.4;71.5;31.5;51.5;5.7;7.6;1.5;4.1;19.7;19.5
Sopron ellenfelek;2024-25;36;81.9;83.8;73.7;109.7;112.2;-2.5;18.0;31.9;0.563;2.2;5.8;0.383;20.2;37.7;0.535;7.8;23.7;0.330;28.0;61.4;0.456;0.520;18.1;23.9;0.756;0.568;52.0;9.5;38.6;0.390;15.1;53.9;12.9;15.2;25.2;9.4;34.6;70.1;26.7;48.6;7.7;10.3;1.4;3.4;21.0;21.5
Falco KC ellenfelek;2024-25;36;75.8;95.0;72.8;101.9;127.9;-25.9;16.6;31.4;0.527;2.7;8.4;0.326;19.3;39.8;0.485;7.9;25.8;0.306;27.2;65.6;0.414;0.474;13.5;17.7;0.765;0.515;47.9;12.7;39.3;0.270;14.8;54.4;11.9;14.0;23.0;9.9;32.9;68.5;24.8;44.8;5.3;7.2;1.4;3.6;20.4;18.9
NKA Pécs ellenfelek;2024-25;36;79.4;80.1;73.5;107.3;108.2;-0.9;18.3;32.4;0.563;2.0;6.0;0.330;20.3;38.4;0.527;8.3;25.6;0.324;28.6;64.0;0.446;0.511;14.0;19.5;0.716;0.545;50.7;9.3;40.0;0.305;17.0;59.5;12.3;14.5;25.7;9.8;35.4;69.8;26.2;47.8;7.3;9.9;2.0;4.9;21.5;20.4
PVSK ellenfelek;2024-25;36;90.4;80.7;74.5;120.4;107.5;12.9;21.9;35.5;0.618;2.8;6.8;0.418;24.8;42.3;0.586;9.2;26.3;0.351;34.0;68.5;0.496;0.563;13.2;19.0;0.696;0.586;51.8;9.9;38.3;0.277;17.5;51.5;11.0;12.5;28.0;11.9;40.0;76.7;32.6;54.6;6.9;9.2;2.4;6.0;21.6;20.1
DEAC ellenfelek;2024-25;34;76.7;77.6;71.7;106.2;107.4;-1.1;18.4;31.8;0.577;2.1;5.5;0.385;20.5;37.3;0.548;7.8;25.9;0.302;28.3;63.2;0.447;0.509;12.3;17.3;0.711;0.540;50.3;8.7;41.0;0.274;15.3;54.0;12.6;15.0;27.2;10.1;37.3;73.7;27.8;50.9;6.8;9.4;1.6;4.1;17.8;18.3
ZTE ellenfelek;2024-25;37;82.7;82.5;73.6;111.6;111.4;0.3;18.7;31.0;0.604;1.5;4.3;0.361;20.3;35.3;0.574;9.6;27.7;0.348;29.9;63.0;0.475;0.551;13.2;17.9;0.739;0.582;49.2;6.8;44.0;0.284;17.5;58.5;14.5;17.0;25.8;10.2;36.0;70.8;29.5;50.7;6.1;8.2;1.7;4.2;21.6;19.0
Oroszlány ellenfelek;2024-25;36;85.0;77.8;73.4;115.1;105.3;9.8;18.3;30.4;0.602;3.0;7.1;0.420;21.3;37.4;0.568;8.8;27.3;0.323;30.1;64.8;0.464;0.533;16.0;21.2;0.756;0.572;46.9;10.9;42.2;0.327;17.2;57.2;10.7;12.6;27.7;10.1;37.8;78.2;27.6;52.5;6.2;8.4;2.2;5.7;19.8;20.2
Bp. Honvéd ellenfelek;2024-25;36;81.3;77.7;72.6;110.0;105.2;4.8;16.7;29.2;0.573;2.3;6.7;0.349;19.1;35.9;0.531;8.4;25.9;0.324;27.4;61.8;0.444;0.512;18.0;24.4;0.737;0.558;47.3;10.8;41.9;0.395;15.6;56.9;12.5;14.7;27.4;10.0;37.4;74.2;27.1;50.6;7.1;9.6;1.8;5.3;20.7;22.8
Szolnok ellenfelek;2024-25;36;82.5;86.6;74.7;110.0;115.5;-5.5;18.5;31.9;0.578;3.0;6.9;0.436;21.5;38.9;0.553;8.1;23.8;0.340;29.6;62.6;0.472;0.537;15.2;20.4;0.745;0.574;51.0;11.1;37.9;0.326;17.3;58.6;12.9;15.2;24.7;8.8;33.5;66.7;25.1;46.4;7.8;10.4;1.4;3.7;22.5;19.7
Körmend ellenfelek;2024-25;34;90.1;86.2;75.1;118.6;113.5;5.1;20.9;34.8;0.602;2.5;6.1;0.413;23.5;40.9;0.574;9.8;27.0;0.364;33.3;67.9;0.490;0.563;13.6;19.2;0.712;0.589;51.3;9.0;39.7;0.282;20.1;60.3;11.7;13.3;27.9;11.0;38.9;75.5;30.1;52.9;5.8;7.7;1.8;4.3;21.6;19.6
Atomerőmű SE ellenfelek;2024-25;38;78.9;90.0;73.7;106.3;121.3;-15.0;16.8;31.3;0.538;3.0;6.7;0.441;19.8;38.0;0.521;8.2;25.0;0.326;27.9;63.0;0.444;0.508;14.8;20.3;0.728;0.547;49.6;10.7;39.7;0.323;15.2;54.2;12.5;14.7;23.2;9.3;32.6;66.0;25.3;45.2;6.6;8.9;1.1;2.8;21.1;19.5
Szedeák ellenfelek;2024-25;36;82.2;73.5;71.6;114.1;102.0;12.0;18.3;30.9;0.592;2.9;6.9;0.424;21.2;37.8;0.561;8.8;24.6;0.357;30.0;62.4;0.481;0.551;13.4;17.6;0.761;0.584;49.5;11.1;39.4;0.283;17.0;56.8;11.9;14.4;26.3;8.8;35.1;74.9;26.2;51.1;7.6;10.5;2.4;6.7;19.3;19.7
Kecskemét ellenfelek;2024-25;36;81.1;75.8;70.2;115.6;108.1;7.5;19.1;30.3;0.630;2.6;6.5;0.406;21.7;36.8;0.590;7.6;23.0;0.330;29.3;59.8;0.490;0.553;14.9;19.8;0.755;0.590;50.7;10.9;38.5;0.330;17.6;60.2;10.7;13.5;27.1;8.6;35.7;77.0;26.9;53.1;7.2;10.2;1.8;5.5;19.4;21.4
