Játékos;Szezon;Csapat;G;Min;Min PG;AST;AST PG;AST 100;AST%;AST/ TOV;TOV;TOV PG;TOV 100;TOV%;DRB;ORB;TRB;DRB PG;ORB PG;TRB PG;DRB 100;ORB 100;TRB 100;DRB%;ORB%;TRB%;PFA;PFA PG;PFA 100;PF;PF PG;PF 100;Min / 5 PF;STL;STL PG;STL%;STL/ TOV;BLK;BPG PG;BLK 100;BLK%
TANOH DEZ András;2024-25;Bp. Honvéd;15;377;25.1;31;2.1;4.5;15.8;0.72;43;2.9;6.2;22.6;50;11;61;3.3;0.7;4.1;7.2;1.6;8.8;14.0;3.4;9.0;49;3.3;7.1;45;3.0;6.5;41.9;12;0.8;1.7;0.3;15;1.0;2.2;4.2
TÓTH Barna;2024-25;Kecskemét;32;376;11.8;37;1.2;5.6;16.9;1.61;23;0.7;3.5;15.5;26;12;38;0.8;0.4;1.2;4.0;1.8;5.8;8.4;3.6;6.0;34;1.1;5.2;75;2.3;11.4;25.1;20;0.6;3.0;0.9;1;0.0;0.2;0.3
Vasilije BAĆOVIĆ;2024-25;NKA Pécs;15;376;25.1;22;1.5;3.2;11.2;0.81;27;1.8;3.9;17.2;59;26;85;3.9;1.7;5.7;8.5;3.7;12.2;16.5;7.7;12.3;54;3.6;7.8;46;3.1;6.6;40.9;7;0.5;1.0;0.3;20;1.3;2.9;5.1
TÓTH Barna;2023-24;Kecskemét;34;373;11.0;9;0.3;1.3;3.7;0.69;13;0.4;1.9;13.5;26;8;34;0.8;0.2;1.0;3.9;1.2;5.0;8.4;2.3;5.2;14;0.4;2.1;64;1.9;9.5;29.1;9;0.3;1.3;0.7;0;0.0;0.0;0.0
MUCZA Tamás;2022-23;Oroszlány;33;371;11.2;19;0.6;2.8;8.4;1.12;17;0.5;2.5;14.5;34;19;53;1.0;0.6;1.6;5.1;2.8;7.9;11.2;5.5;8.2;17;0.5;2.5;51;1.5;7.6;36.4;7;0.2;1.0;0.4;1;0.0;0.2;0.3
FAZEKAS Csaba;2024-25;Sopron;31;370;11.9;25;0.8;3.7;10.6;1.56;16;0.5;2.4;11.6;12;10;22;0.4;0.3;0.7;1.8;1.5;3.2;3.8;3.1;3.4;12;0.4;1.8;31;1.0;4.6;59.7;4;0.1;0.6;0.3;0;0.0;0.0;0.0
SIMON Kristóf;2023-24;Bp. Honvéd;19;369;19.4;41;2.2;6.1;19.4;1.71;24;1.3;3.6;21.0;46;13;59;2.4;0.7;3.1;6.9;1.9;8.8;13.8;3.5;8.4;53;2.8;7.9;61;3.2;9.1;30.2;10;0.5;1.5;0.4;2;0.1;0.3;0.6
Anthony DURHAM;2023-24;Szolnok;21;364;17.3;33;1.6;4.8;15.8;1.32;25;1.2;3.7;13.3;41;12;53;2.0;0.6;2.5;6.0;1.8;7.8;13.3;3.8;8.5;21;1.0;3.1;41;2.0;6.0;44.4;17;0.8;2.5;0.7;6;0.3;0.9;1.8
TAIWO Samuel;2022-23;Atomerőmű SE;29;362;12.5;2;0.1;0.3;0.9;0.11;18;0.6;2.7;16.5;39;28;67;1.3;1.0;2.3;5.9;4.2;10.1;11.9;8.9;10.5;24;0.8;3.6;44;1.5;6.6;41.1;9;0.3;1.4;0.5;17;0.6;2.6;5.0
SITKU Márton;2023-24;Sopron;33;360;10.9;13;0.4;2.0;5.8;1.08;12;0.4;1.8;10.2;55;15;70;1.7;0.5;2.1;8.3;2.3;10.6;17.5;4.6;10.9;24;0.7;3.6;59;1.8;8.9;30.5;13;0.4;2.0;1.1;6;0.2;0.9;1.7
Milan LUŽAIĆ;2023-24;NKA Pécs;14;360;25.7;34;2.4;5.0;16.5;2.00;17;1.2;2.5;9.4;35;2;37;2.5;0.1;2.6;5.1;0.3;5.4;10.0;0.5;5.0;35;2.5;5.1;30;2.1;4.4;60.0;9;0.6;1.3;0.5;0;0.0;0.0;0.0
GARAMVÖLGYI Ákos;2024-25;DEAC;30;360;12.0;16;0.5;2.5;7.0;1.45;11;0.4;1.7;10.7;42;28;70;1.4;0.9;2.3;6.5;4.3;10.8;12.8;8.5;10.6;12;0.4;1.9;33;1.1;5.1;54.5;14;0.5;2.2;1.3;1;0.0;0.2;0.3
Aleksandar SOKOLOVIĆ;2024-25;Bp. Honvéd;13;356;27.4;72;5.5;11.0;35.5;3.00;24;1.8;3.7;15.5;62;13;75;4.8;1.0;5.8;9.5;2.0;11.5;18.8;3.9;11.3;40;3.1;6.1;33;2.5;5.0;54.0;12;0.9;1.8;0.5;1;0.1;0.2;0.3
KRIVACSEVICS Markó;2023-24;Falco KC;33;349;10.6;15;0.5;2.3;6.5;0.88;17;0.5;2.6;11.3;60;40;100;1.8;1.2;3.0;9.3;6.2;15.4;17.4;13.9;15.8;36;1.1;5.6;63;1.9;9.7;27.7;5;0.2;0.8;0.3;11;0.3;1.7;3.2
KOVÁCS Benedek;2023-24;Falco KC;29;348;12.0;10;0.3;1.6;4.0;0.77;13;0.4;2.0;12.2;39;15;54;1.3;0.5;1.9;6.1;2.3;8.4;11.4;5.2;8.5;14;0.5;2.2;41;1.4;6.4;42.4;7;0.2;1.1;0.5;1;0.0;0.2;0.3
