Játékos;Szezon;Csapat;G;Min;Min PG;AST;AST PG;AST 100;AST%;AST/ TOV;TOV;TOV PG;TOV 100;TOV%;DRB;ORB;TRB;DRB PG;ORB PG;TRB PG;DRB 100;ORB 100;TRB 100;DRB%;ORB%;TRB%;PFA;PFA PG;PFA 100;PF;PF PG;PF 100;Min / 5 PF;STL;STL PG;STL%;STL/ TOV;BLK;BPG PG;BLK 100;BLK%
BOGDÁN Benedek;2023-24;Kaposvár;21;299;14.2;12;0.6;2.2;6.2;1.50;8;0.4;1.5;12.3;49;13;62;2.3;0.6;3.0;9.2;2.4;11.6;20.9;4.6;12.0;21;1.0;3.9;43;2.0;8.0;34.8;6;0.3;1.1;0.8;0;0.0;0.0;0.0
Tevin BROWN;2024-25;ZTE;10;298;29.8;40;4.0;7.1;21.2;1.74;23;2.3;4.1;13.9;37;5;42;3.7;0.5;4.2;6.6;0.9;7.5;14.7;1.9;8.1;28;2.8;5.0;16;1.6;2.9;93.0;15;1.5;2.7;0.7;0;0.0;0.0;0.0
Cheikh Mbacke DIONG;2022-23;Alba Fehérvár;20;297;14.9;4;0.2;0.7;2.3;0.21;19;1.0;3.5;15.4;43;33;76;2.2;1.7;3.8;7.9;6.1;14.0;17.0;13.0;15.0;30;1.5;5.5;40;2.0;7.4;37.1;8;0.4;1.5;0.4;7;0.4;1.3;2.6
SZŐKE Bálint;2023-24;Kaposvár;21;297;14.1;16;0.8;3.0;8.7;4.00;4;0.2;0.8;6.1;25;11;36;1.2;0.5;1.7;4.7;2.1;6.7;10.7;3.9;7.0;16;0.8;3.0;36;1.7;6.7;41.3;5;0.2;0.9;1.3;1;0.0;0.2;0.3
Tomas LEKŪNAS;2023-24;ZTE;12;296;24.7;16;1.3;2.9;8.3;0.62;26;2.2;4.7;20.8;57;15;72;4.8;1.3;6.0;10.4;2.7;13.1;21.5;5.6;13.5;45;3.8;8.2;29;2.4;5.3;51.0;8;0.7;1.5;0.3;0;0.0;0.0;0.0
KELENFÖLDI Domonkos;2024-25;Kecskemét;31;296;9.5;7;0.2;1.4;4.0;0.54;13;0.4;2.5;17.0;36;7;43;1.2;0.2;1.4;6.9;1.4;8.3;15.2;2.7;8.7;8;0.3;1.5;36;1.2;6.9;41.1;7;0.2;1.3;0.5;8;0.3;1.5;3.0
CSENDES Péter;2024-25;Sopron;28;296;10.6;34;1.2;6.3;17.2;2.27;15;0.5;2.8;16.9;10;9;19;0.4;0.3;0.7;1.9;1.7;3.5;3.8;3.4;3.6;8;0.3;1.5;35;1.3;6.5;42.3;6;0.2;1.1;0.4;1;0.0;0.2;0.4
Milić STAROVLAH;2022-23;Szedeák;10;295;29.5;14;1.4;2.6;8.3;0.47;30;3.0;5.5;23.6;38;12;50;3.8;1.2;5.0;7.0;2.2;9.2;15.2;4.5;9.7;42;4.2;7.7;33;3.3;6.1;44.7;9;0.9;1.7;0.3;2;0.2;0.4;0.7
NÉMETH Ákos;2022-23;ZTE;27;295;10.9;12;0.4;2.2;6.5;0.46;26;1.0;4.8;25.5;39;14;53;1.4;0.5;2.0;7.1;2.6;9.7;15.8;5.2;10.3;32;1.2;5.8;44;1.6;8.0;33.5;10;0.4;1.8;0.4;1;0.0;0.2;0.3
DeAndre DAVIS;2024-25;Szedeák;10;294;29.4;20;2.0;3.8;11.7;2.00;10;1.0;1.9;11.0;33;22;55;3.3;2.2;5.5;6.2;4.2;10.4;13.5;8.1;10.7;16;1.6;3.0;27;2.7;5.1;54.4;8;0.8;1.5;0.8;2;0.2;0.4;0.7
MOLNÁR Mátyás;2024-25;PVSK;28;293;10.5;17;0.6;3.1;9.8;1.70;10;0.4;1.8;10.6;17;7;24;0.6;0.3;0.9;3.1;1.3;4.4;6.5;2.6;4.5;16;0.6;2.9;41;1.5;7.5;35.8;8;0.3;1.5;0.8;1;0.0;0.2;0.3
BOR Gábor;2024-25;NKA Pécs;24;292;12.2;19;0.8;3.6;9.9;2.38;8;0.3;1.5;13.7;22;10;32;0.9;0.4;1.3;4.1;1.9;6.0;8.2;3.7;6.0;9;0.4;1.7;39;1.6;7.3;37.4;12;0.5;2.2;1.5;1;0.0;0.2;0.4
Rahlir HOLLIS-JEFFERSON;2023-24;Oroszlány;10;290;29.0;17;1.7;3.1;9.5;0.85;20;2.0;3.6;18.9;38;14;52;3.8;1.4;5.2;6.9;2.5;9.5;13.4;5.4;9.6;32;3.2;5.8;36;3.6;6.5;40.3;17;1.7;3.1;0.9;8;0.8;1.5;2.9
SZABÓ Zsolt;2022-23;Alba Fehérvár;25;288;11.5;12;0.5;2.3;5.9;0.80;15;0.6;2.8;16.2;46;17;63;1.8;0.7;2.5;8.7;3.2;11.9;19.1;7.1;13.1;18;0.7;3.4;40;1.6;7.6;36.0;8;0.3;1.5;0.5;1;0.0;0.2;0.4
Jr. CLAY;2023-24;Szolnok;11;286;26.0;53;4.8;10.0;34.5;1.77;30;2.7;5.6;17.8;26;11;37;2.4;1.0;3.4;4.9;2.1;7.0;10.2;4.0;6.9;35;3.2;6.6;16;1.5;3.0;89.4;13;1.2;2.4;0.4;1;0.1;0.2;0.4
MERKL Barna;2024-25;PVSK;30;282;9.4;29;1.0;5.5;16.5;1.81;16;0.5;3.1;23.7;17;15;32;0.6;0.5;1.1;3.2;2.9;6.1;6.6;5.9;6.2;23;0.8;4.4;56;1.9;10.7;25.2;7;0.2;1.3;0.4;2;0.1;0.4;0.7
HERGER Salamon;2023-24;NKA Pécs;27;280;10.4;13;0.5;2.5;7.1;1.63;8;0.3;1.5;13.5;29;17;46;1.1;0.6;1.7;5.5;3.2;8.7;11.0;6.0;8.4;6;0.2;1.1;46;1.7;8.7;30.4;9;0.3;1.7;1.1;5;0.2;0.9;1.9
Harrison HENDERSON;2022-23;NYBS;13;276;21.2;8;0.6;1.5;5.5;0.62;13;1.0;2.5;11.8;33;17;50;2.5;1.3;3.8;6.2;3.2;9.4;14.7;6.5;10.3;28;2.2;5.3;37;2.8;7.0;37.3;7;0.5;1.3;0.5;4;0.3;0.8;1.5
DOKTOR Péter;2024-25;Körmend;22;276;12.6;40;1.8;7.7;22.3;1.54;26;1.2;5.0;24.8;13;9;22;0.6;0.4;1.0;2.5;1.7;4.3;5.2;3.6;4.4;18;0.8;3.5;47;2.1;9.1;29.4;16;0.7;3.1;0.6;1;0.0;0.2;0.4
KÖRMENDI Bence;2024-25;Kecskemét;23;275;12.0;7;0.3;1.5;4.3;0.78;9;0.4;1.9;14.3;12;15;27;0.5;0.7;1.2;2.5;3.1;5.6;5.4;6.0;5.7;7;0.3;1.4;39;1.7;8.1;35.3;6;0.3;1.2;0.7;2;0.1;0.4;0.8
BALSAY Ádám;2024-25;Oroszlány;22;275;12.5;8;0.4;1.6;4.7;0.44;18;0.8;3.5;24.4;20;9;29;0.9;0.4;1.3;3.9;1.8;5.7;8.0;3.6;5.8;19;0.9;3.7;40;1.8;7.8;34.3;9;0.4;1.8;0.5;0;0.0;0.0;0.0
Yasiin JOSEPH;2024-25;Atomerőmű SE;12;274;22.8;53;4.4;10.4;27.7;3.12;17;1.4;3.3;13.4;27;11;38;2.3;0.9;3.2;5.3;2.2;7.5;10.9;4.6;7.8;27;2.3;5.3;29;2.4;5.7;47.2;12;1.0;2.4;0.7;2;0.2;0.4;0.8
FAZEKAS Csaba;2023-24;Sopron;26;264;10.2;18;0.7;3.7;11.4;1.06;17;0.7;3.5;17.2;15;5;20;0.6;0.2;0.8;3.1;1.0;4.1;6.5;2.0;4.2;13;0.5;2.7;27;1.0;5.6;48.9;3;0.1;0.6;0.2;0;0.0;0.0;0.0
DOROGI Gergő;2024-25;Atomerőmű SE;34;262;7.7;3;0.1;0.6;1.6;0.43;7;0.2;1.5;10.9;26;18;44;0.8;0.5;1.3;5.4;3.8;9.2;11.0;7.9;9.5;7;0.2;1.5;49;1.4;10.2;26.7;6;0.2;1.3;0.9;3;0.1;0.6;1.2
SZABADFI Márk;2024-25;Oroszlány;27;262;9.7;8;0.3;1.7;4.9;0.67;12;0.4;2.5;16.7;16;1;17;0.6;0.0;0.6;3.3;0.2;3.5;6.9;0.4;3.7;25;0.9;5.2;48;1.8;10.0;27.3;14;0.5;2.9;1.2;1;0.0;0.2;0.4
KISS Dávid;2022-23;Kecskemét;29;257;8.9;10;0.3;2.2;6.9;1.25;8;0.3;1.7;10.7;31;20;51;1.1;0.7;1.8;6.7;4.3;11.0;13.6;8.6;11.0;25;0.9;5.4;67;2.3;14.4;19.2;0;0.0;0.0;0.0;8;0.3;1.7;3.3
PUSKA Bence;2023-24;Kaposvár;27;257;9.5;8;0.3;1.7;4.8;1.60;5;0.2;1.1;7.2;28;9;37;1.0;0.3;1.4;6.1;2.0;8.0;13.6;3.8;8.3;13;0.5;2.8;47;1.7;10.2;27.3;1;0.0;0.2;0.2;0;0.0;0.0;0.0
Kobe LANGLEY;2024-25;Szedeák;9;257;28.6;70;7.8;15.2;48.3;2.26;31;3.4;6.7;21.6;24;6;30;2.7;0.7;3.3;5.2;1.3;6.5;11.7;2.5;6.7;42;4.7;9.1;22;2.4;4.8;58.4;13;1.4;2.8;0.4;0;0.0;0.0;0.0
SZABADFI Márk;2022-23;Oroszlány;30;255;8.5;4;0.1;0.9;2.5;0.24;17;0.6;3.7;16.6;11;8;19;0.4;0.3;0.6;2.4;1.7;4.1;5.2;3.4;4.3;17;0.6;3.7;41;1.4;8.9;31.1;11;0.4;2.4;0.6;1;0.0;0.2;0.4
RADICS Gerzson;2023-24;Atomerőmű SE;19;251;13.2;12;0.6;2.6;7.4;1.71;7;0.4;1.5;11.1;22;7;29;1.2;0.4;1.5;4.8;1.5;6.3;9.3;3.1;6.2;12;0.6;2.6;33;1.7;7.1;38.0;9;0.5;1.9;1.3;0;0.0;0.0;0.0
SZALAY Domonkos;2024-25;ZTE;26;249;9.6;13;0.5;2.8;7.9;1.44;9;0.3;2.0;14.4;20;4;24;0.8;0.2;0.9;4.3;0.9;5.2;9.5;1.8;5.5;13;0.5;2.8;41;1.6;8.9;30.3;8;0.3;1.7;0.9;0;0.0;0.0;0.0
David NICHOLS;2024-25;Alba Fehérvár;8;247;30.9;73;9.1;15.8;44.4;2.92;25;3.1;5.4;18.6;17;5;22;2.1;0.6;2.8;3.7;1.1;4.8;7.7;2.5;5.2;37;4.6;8.0;28;3.5;6.0;44.1;10;1.3;2.2;0.4;0;0.0;0.0;0.0
Marko RADOVANOVIĆ;2024-25;Szolnok;17;247;14.5;13;0.8;2.8;8.0;1.00;13;0.8;2.8;12.3;45;16;61;2.6;0.9;3.6;9.8;3.5;13.2;21.1;7.1;13.9;22;1.3;4.8;49;2.9;10.6;25.2;8;0.5;1.7;0.6;10;0.6;2.2;4.1
NEUWIRTH Bence;2022-23;DEAC;24;245;10.2;8;0.3;1.8;4.8;1.14;7;0.3;1.6;12.1;14;3;17;0.6;0.1;0.7;3.2;0.7;3.9;6.8;1.4;4.1;6;0.3;1.4;38;1.6;8.7;32.2;6;0.3;1.4;0.9;1;0.0;0.2;0.4
Nahziah CARTER;2022-23;Szedeák;14;242;17.3;17;1.2;3.9;13.1;1.13;15;1.1;3.4;10.0;27;14;41;1.9;1.0;2.9;6.2;3.2;9.4;13.0;6.6;9.7;34;2.4;7.8;31;2.2;7.1;39.0;12;0.9;2.7;0.8;2;0.1;0.5;0.9
L.G. GILL;2023-24;Sopron;9;241;26.8;5;0.6;1.1;3.9;0.42;12;1.3;2.7;12.5;34;19;53;3.8;2.1;5.9;7.5;4.2;11.7;16.5;8.5;12.3;15;1.7;3.3;17;1.9;3.8;70.9;4;0.4;0.9;0.3;2;0.2;0.4;0.8
CSUTI Kornél;2023-24;ZTE;31;238;7.7;3;0.1;0.7;2.1;0.30;10;0.3;2.3;11.6;21;13;34;0.7;0.4;1.1;4.8;3.0;7.8;9.7;6.1;7.9;10;0.3;2.3;34;1.1;7.8;35.0;1;0.0;0.2;0.1;2;0.1;0.5;0.9
KOVÁCS Ákos;2022-23;DEAC;18;237;13.2;10;0.6;2.4;6.4;1.43;7;0.4;1.7;12.5;20;13;33;1.1;0.7;1.8;4.8;3.1;7.8;9.6;6.5;8.1;11;0.6;2.6;24;1.3;5.7;49.4;3;0.2;0.7;0.4;1;0.1;0.2;0.5
SÖVEGJÁRTÓ Ábel;2022-23;Falco KC;34;236;6.9;10;0.3;2.3;6.0;1.25;8;0.2;1.9;12.8;20;6;26;0.6;0.2;0.8;4.7;1.4;6.1;9.2;3.0;6.2;3;0.1;0.7;43;1.3;10.0;27.4;4;0.1;0.9;0.5;0;0.0;0.0;0.0
EILINGSFELD János;2023-24;Atomerőmű SE;11;233;21.2;8;0.7;1.8;5.1;0.53;15;1.4;3.4;14.0;35;17;52;3.2;1.5;4.7;7.8;3.8;11.6;16.7;8.6;12.7;26;2.4;5.8;17;1.5;3.8;68.5;7;0.6;1.6;0.5;1;0.1;0.2;0.4
KENÉZ Csaba;2022-23;DEAC;22;231;10.5;33;1.5;8.0;23.8;1.65;20;0.9;4.9;27.5;16;4;20;0.7;0.2;0.9;3.9;1.0;4.9;8.0;2.1;5.1;18;0.8;4.4;39;1.8;9.5;29.6;9;0.4;2.2;0.5;0;0.0;0.0;0.0
CSENDES Péter;2022-23;Sopron;24;224;9.3;18;0.8;4.5;12.2;0.95;19;0.8;4.7;26.3;15;6;21;0.6;0.3;0.9;3.7;1.5;5.2;6.6;3.1;5.0;17;0.7;4.2;19;0.8;4.7;58.9;3;0.1;0.7;0.2;1;0.0;0.3;0.4
LADOS Erik;2023-24;NKA Pécs;25;224;9.0;13;0.5;3.1;9.3;1.44;9;0.4;2.1;15.9;14;4;18;0.6;0.2;0.7;3.3;0.9;4.3;6.5;1.8;4.1;11;0.4;2.6;49;2.0;11.6;22.9;9;0.4;2.1;1.0;0;0.0;0.0;0.0
KOVÁCS Ádám;2022-23;Szedeák;17;220;12.9;9;0.5;2.3;6.4;0.69;13;0.8;3.2;20.1;26;8;34;1.5;0.5;2.0;6.5;2.0;8.5;14.3;4.2;9.1;4;0.2;1.0;27;1.6;6.7;40.7;6;0.4;1.5;0.5;1;0.1;0.3;0.5
POLÁNYI Kristóf;2024-25;Szedeák;32;220;6.9;10;0.3;2.5;8.3;0.77;13;0.4;3.3;16.4;12;3;15;0.4;0.1;0.5;3.1;0.8;3.8;6.5;1.6;4.0;1;0.0;0.3;43;1.3;10.9;25.6;12;0.4;3.0;0.9;0;0.0;0.0;0.0
NEUWIRTH Bence;2024-25;DEAC;24;219;9.1;11;0.5;2.8;8.1;1.10;10;0.4;2.6;15.7;19;5;24;0.8;0.2;1.0;4.9;1.3;6.1;9.4;2.5;6.0;6;0.3;1.5;49;2.0;12.5;22.3;5;0.2;1.3;0.5;0;0.0;0.0;0.0
Zane KNOWLES;2023-24;Atomerőmű SE;14;217;15.5;11;0.8;2.7;8.3;0.46;24;1.7;5.9;21.5;53;31;84;3.8;2.2;6.0;12.9;7.6;20.5;27.0;17.0;22.2;39;2.8;9.5;33;2.4;8.0;32.9;5;0.4;1.2;0.2;3;0.2;0.7;1.3
Sidiki KONÉ;2022-23;NYBS;16;216;13.5;2;0.1;0.5;1.7;0.07;27;1.7;6.7;26.1;45;48;93;2.8;3.0;5.8;11.1;11.9;23.0;23.8;22.9;23.3;27;1.7;6.7;44;2.8;10.9;24.5;3;0.2;0.7;0.1;11;0.7;2.7;5.0
Kimani LAWRENCE;2023-24;Kecskemét;11;213;19.4;1;0.1;0.3;1.0;0.09;11;1.0;2.8;8.0;35;19;54;3.2;1.7;4.9;8.9;4.8;13.8;18.8;9.6;14.0;35;3.2;8.9;20;1.8;5.1;53.3;6;0.5;1.5;0.5;4;0.4;1.0;2.1
Nigel JOHNSON;2024-25;PVSK;6;212;35.3;31;5.2;7.6;24.9;1.94;16;2.7;3.9;18.1;21;0;21;3.5;0.0;3.5;5.2;0.0;5.2;10.3;0.0;5.2;30;5.0;7.4;7;1.2;1.7;151.5;5;0.8;1.2;0.3;0;0.0;0.0;0.0
DÓCS Benedek;2024-25;Bp. Honvéd;22;210;9.5;5;0.2;1.3;4.0;0.42;12;0.5;3.2;22.3;27;17;44;1.2;0.8;2.0;7.1;4.5;11.6;14.1;9.0;11.5;7;0.3;1.8;46;2.1;12.1;22.8;2;0.1;0.5;0.2;3;0.1;0.8;1.6
Derrick WOODS;2023-24;Atomerőmű SE;8;204;25.5;9;1.1;2.5;9.1;0.43;21;2.6;5.7;22.9;39;13;52;4.9;1.6;6.5;10.7;3.6;14.2;21.2;7.2;14.3;18;2.3;4.9;18;2.3;4.9;56.7;1;0.1;0.3;0.0;4;0.5;1.1;2.0
A.J. JOHN;2023-24;Oroszlány;7;204;29.1;7;1.0;1.9;5.6;0.41;17;2.4;4.5;19.9;34;13;47;4.9;1.9;6.7;9.0;3.4;12.4;19.0;6.7;12.6;13;1.9;3.4;17;2.4;4.5;60.0;10;1.4;2.6;0.6;3;0.4;0.8;1.6
DOKTOR Péter;2022-23;Körmend;26;201;7.7;21;0.8;5.7;16.4;1.31;16;0.6;4.3;26.2;10;3;13;0.4;0.1;0.5;2.7;0.8;3.5;5.6;1.7;3.7;18;0.7;4.9;43;1.7;11.6;23.4;9;0.3;2.4;0.6;0;0.0;0.0;0.0
GARAMVÖLGYI Ákos;2023-24;DEAC;16;200;12.5;0;0.0;0.0;0.0;0.00;6;0.4;1.7;13.1;21;13;34;1.3;0.8;2.1;5.9;3.7;9.6;12.3;7.3;9.8;10;0.6;2.8;14;0.9;4.0;71.4;3;0.2;0.8;0.5;1;0.1;0.3;0.5
ANDA Dávid;2024-25;Szedeák;24;197;8.2;4;0.2;1.1;4.2;0.31;13;0.5;3.7;15.3;34;17;51;1.4;0.7;2.1;9.7;4.8;14.5;20.7;9.6;15.0;24;1.0;6.8;28;1.2;7.9;35.2;5;0.2;1.4;0.4;6;0.3;1.7;3.3
CSUTI Kornél;2022-23;ZTE;32;195;6.1;2;0.1;0.6;1.9;0.33;6;0.2;1.7;8.8;15;10;25;0.5;0.3;0.8;4.2;2.8;6.9;9.1;5.8;7.4;13;0.4;3.6;43;1.3;11.9;22.7;2;0.1;0.6;0.3;3;0.1;0.8;1.5
TÓTH Barna;2022-23;Kecskemét;19;193;10.2;10;0.5;2.9;8.3;3.33;3;0.2;0.9;4.6;12;4;16;0.6;0.2;0.8;3.4;1.2;4.6;7.1;2.3;4.6;17;0.9;4.9;24;1.3;6.9;40.2;2;0.1;0.6;0.7;0;0.0;0.0;0.0
SÖVEGJÁRTÓ Ábel;2023-24;Atomerőmű SE;20;192;9.6;11;0.6;3.1;7.9;2.75;4;0.2;1.1;12.9;20;4;24;1.0;0.2;1.2;5.6;1.1;6.7;11.4;2.4;7.0;1;0.1;0.3;34;1.7;9.5;28.2;2;0.1;0.6;0.5;1;0.1;0.3;0.5
FLASÁR Zalán;2024-25;Sopron;25;190;7.6;10;0.4;2.8;8.2;1.11;9;0.4;2.6;15.0;26;20;46;1.0;0.8;1.8;7.4;5.7;13.1;15.4;11.7;13.5;26;1.0;7.4;43;1.7;12.2;22.0;7;0.3;2.0;0.8;2;0.1;0.6;1.2
Jaylon TATE;2024-25;Szedeák;6;189;31.5;21;3.5;5.9;21.1;1.62;13;2.2;3.6;14.0;11;1;12;1.8;0.2;2.0;3.1;0.3;3.4;7.2;0.6;3.7;30;5.0;8.4;11;1.8;3.1;86.0;6;1.0;1.7;0.5;0;0.0;0.0;0.0
BENKE Krisztián;2023-24;NKA Pécs;19;188;9.9;10;0.5;2.8;8.2;1.25;8;0.4;2.2;15.1;7;9;16;0.4;0.5;0.8;2.0;2.5;4.5;3.9;4.6;4.2;14;0.7;3.9;33;1.7;9.2;28.5;9;0.5;2.5;1.1;0;0.0;0.0;0.0
KOLLÁR Bence;2024-25;NKA Pécs;15;187;12.5;9;0.6;2.6;7.7;3.00;3;0.2;0.9;6.0;9;1;10;0.6;0.1;0.7;2.6;0.3;2.9;5.1;0.6;2.8;4;0.3;1.1;20;1.3;5.7;46.9;10;0.7;2.9;3.3;3;0.2;0.9;1.8
Jaycee HILLSMAN;2022-23;NYBS;6;186;31.0;7;1.2;2.0;7.7;0.41;17;2.8;5.0;18.5;18;7;25;3.0;1.2;4.2;5.3;2.0;7.3;12.6;4.2;8.1;27;4.5;7.9;13;2.2;3.8;71.5;9;1.5;2.6;0.5;2;0.3;0.6;1.2
Rakeem BUCKLES;2023-24;DEAC;11;186;16.9;6;0.5;1.8;6.3;0.67;9;0.8;2.7;11.7;26;15;41;2.4;1.4;3.7;7.8;4.5;12.3;14.3;9.3;11.9;20;1.8;6.0;33;3.0;9.9;28.2;6;0.5;1.8;0.7;0;0.0;0.0;0.0
Derek JACKSON;2023-24;Kaposvár;6;184;30.7;29;4.8;8.8;28.2;2.07;14;2.3;4.2;20.0;8;4;12;1.3;0.7;2.0;2.4;1.2;3.6;5.0;2.3;3.6;21;3.5;6.4;6;1.0;1.8;153.3;8;1.3;2.4;0.6;0;0.0;0.0;0.0
Marek DOLEŽAJ;2022-23;NYBS;8;181;22.6;11;1.4;3.2;11.2;1.22;9;1.1;2.6;16.8;20;6;26;2.5;0.8;3.3;5.8;1.8;7.6;13.4;3.6;8.3;15;1.9;4.4;19;2.4;5.5;47.6;10;1.3;2.9;1.1;2;0.3;0.6;1.2
BALÁZSI Soma;2022-23;DEAC;21;178;8.5;10;0.5;3.2;8.6;2.00;5;0.2;1.6;17.6;10;8;18;0.5;0.4;0.9;3.2;2.5;5.7;6.7;5.4;6.0;4;0.2;1.3;38;1.8;12.0;23.4;3;0.1;0.9;0.6;0;0.0;0.0;0.0
KRIVACSEVICS Markó;2022-23;Falco KC;25;176;7.0;2;0.1;0.6;1.8;0.13;16;0.6;5.0;18.8;28;24;52;1.1;1.0;2.1;8.8;7.5;16.3;17.2;17.4;17.3;31;1.2;9.7;36;1.4;11.3;24.4;1;0.0;0.3;0.1;10;0.4;3.1;5.7
FAZEKAS Máté;2022-23;Kecskemét;28;176;6.3;12;0.4;3.8;10.9;1.50;8;0.3;2.5;14.7;17;10;27;0.6;0.4;1.0;5.3;3.1;8.5;10.7;6.3;8.5;3;0.1;0.9;26;0.9;8.1;33.8;1;0.0;0.3;0.1;3;0.1;0.9;1.9
GILSZKI Erik;2022-23;Szolnok;24;175;7.3;13;0.5;4.2;10.8;1.86;7;0.3;2.3;19.0;13;1;14;0.5;0.0;0.6;4.2;0.3;4.5;8.7;0.6;4.6;2;0.1;0.6;22;0.9;7.1;39.8;3;0.1;1.0;0.4;1;0.0;0.3;0.6
Chico CARTER Jr.;2024-25;Oroszlány;5;174;34.8;18;3.6;5.6;17.6;1.06;17;3.4;5.3;22.4;15;3;18;3.0;0.6;3.6;4.7;0.9;5.6;8.3;2.2;5.7;13;2.6;4.1;16;3.2;5.0;54.3;6;1.2;1.9;0.4;0;0.0;0.0;0.0
GÁSPÁR Mátyás;2023-24;Oroszlány;23;173;7.5;5;0.2;1.5;4.3;5.00;1;0.0;0.3;2.8;30;9;39;1.3;0.4;1.7;9.0;2.7;11.8;18.0;5.8;12.1;7;0.3;2.1;42;1.8;12.7;20.6;2;0.1;0.6;2.0;3;0.1;0.9;1.7
PAJOR Dávid;2023-24;Atomerőmű SE;16;168;10.5;12;0.8;3.9;10.4;2.00;6;0.4;2.0;20.7;8;2;10;0.5;0.1;0.6;2.6;0.7;3.3;5.2;1.4;3.3;6;0.4;2.0;27;1.7;8.8;31.1;4;0.3;1.3;0.7;0;0.0;0.0;0.0
Devonte GREEN;2022-23;Atomerőmű SE;6;167;27.8;12;2.0;4.0;12.7;1.00;12;2.0;4.0;12.6;17;11;28;2.8;1.8;4.7;5.6;3.6;9.2;11.7;7.6;9.6;19;3.2;6.3;13;2.2;4.3;64.2;12;2.0;4.0;1.0;4;0.7;1.3;2.6
Selim FOFANA;2024-25;Sopron;6;167;27.8;16;2.7;5.4;15.9;1.78;9;1.5;3.1;12.2;21;4;25;3.5;0.7;4.2;7.1;1.4;8.5;14.0;2.8;8.6;23;3.8;7.8;10;1.7;3.4;83.4;5;0.8;1.7;0.6;3;0.5;1.0;1.8
MAYER Ákos;2024-25;Szedeák;22;166;7.5;3;0.1;1.0;3.0;0.33;9;0.4;3.0;18.9;27;15;42;1.2;0.7;1.9;9.0;5.0;14.0;19.5;10.1;14.6;14;0.6;4.7;35;1.6;11.7;23.7;6;0.3;2.0;0.7;0;0.0;0.0;0.0
Keenan GUMBS;2022-23;DEAC;8;165;20.6;11;1.4;3.7;12.8;0.50;22;2.8;7.4;23.5;27;7;34;3.4;0.9;4.3;9.1;2.4;11.5;18.8;4.9;11.9;22;2.8;7.4;19;2.4;6.4;43.4;8;1.0;2.7;0.4;1;0.1;0.3;0.6
Shane HENRY;2023-24;NKA Pécs;13;164;12.6;6;0.5;1.9;6.3;1.50;4;0.3;1.3;6.4;34;24;58;2.6;1.8;4.5;11.0;7.8;18.7;22.0;16.1;19.1;13;1.0;4.2;28;2.2;9.0;29.3;6;0.5;1.9;1.5;7;0.5;2.3;4.6
Nick BANYARD;2023-24;Sopron;7;161;23.0;4;0.6;1.3;4.5;0.36;11;1.6;3.7;14.7;29;13;42;4.1;1.9;6.0;9.7;4.4;14.1;19.2;8.6;13.8;26;3.7;8.7;16;2.3;5.4;50.3;5;0.7;1.7;0.5;5;0.7;1.7;3.2
FAZEKAS Máté;2023-24;Kaposvár;13;160;12.3;10;0.8;3.5;10.3;1.00;10;0.8;3.5;20.6;14;9;23;1.1;0.7;1.8;4.9;3.1;8.0;10.6;5.9;8.1;12;0.9;4.2;28;2.2;9.7;28.6;4;0.3;1.4;0.4;4;0.3;1.4;2.4
RÁTGÉBER Tamás;2024-25;NKA Pécs;14;158;11.3;2;0.1;0.7;2.0;0.33;6;0.4;2.1;13.5;8;5;13;0.6;0.4;0.9;2.8;1.7;4.5;5.5;3.5;4.5;6;0.4;2.1;29;2.1;10.1;27.3;4;0.3;1.4;0.7;0;0.0;0.0;0.0
MOKÁNSZKI Máté;2022-23;NYBS;12;154;12.8;5;0.4;1.7;5.6;0.56;9;0.8;3.0;18.6;11;4;15;0.9;0.3;1.3;3.7;1.4;5.1;8.9;2.7;5.5;6;0.5;2.0;19;1.6;6.4;40.5;7;0.6;2.4;0.8;0;0.0;0.0;0.0
KÖRMENDI Bence;2023-24;Kecskemét;16;152;9.5;7;0.4;2.6;6.9;2.33;3;0.2;1.1;10.4;14;0;14;0.9;0.0;0.9;5.1;0.0;5.1;10.7;0.0;5.0;1;0.1;0.4;18;1.1;6.6;42.2;3;0.2;1.1;1.0;0;0.0;0.0;0.0
Myles CARTER;2023-24;Körmend;6;152;25.3;4;0.7;1.5;4.5;0.50;8;1.3;2.9;13.8;24;8;32;4.0;1.3;5.3;8.8;2.9;11.7;16.6;5.6;11.2;11;1.8;4.0;11;1.8;4.0;69.1;2;0.3;0.7;0.3;5;0.8;1.8;3.3
Dayon GRIFFIN;2022-23;Szolnok;6;151;25.2;12;2.0;4.6;16.1;1.00;12;2.0;4.6;18.0;11;4;15;1.8;0.7;2.5;4.2;1.5;5.7;9.4;2.8;5.8;12;2.0;4.6;11;1.8;4.2;68.6;6;1.0;2.3;0.5;1;0.2;0.4;0.7
MEZŐFI Márk;2024-25;NKA Pécs;16;150;9.4;1;0.1;0.4;1.2;0.20;5;0.3;1.8;12.8;10;7;17;0.6;0.4;1.1;3.7;2.6;6.3;7.8;5.2;6.5;7;0.4;2.6;24;1.5;8.8;31.3;3;0.2;1.1;0.6;1;0.1;0.4;0.7
