Dátum;Hazai csapat;Vendég csapat;Ered.;home_score;away_score;Kim.;Szakasz;Hazai ÉLŐ pont;Hazai ÉLŐ vált.;Vend. ÉLŐ pont;Vend. ÉLŐ vált.
2023-02-04;Sopron KC;Zalakerámia ZTE KK;65-77;65;77;V;alapszakasz;1549;-22.0;1581;22.0
2023-02-05;Naturtex-SZTE-Szedeák;Kometa Kaposvári KK;83-85;83;85;V;alapszakasz;1444;-9.1;1452;9.1
2023-02-10;Budapesti Honvéd SE;Arconic-Alba Fehérvár;87-102;87;102;V;alapszakasz;1306;-12.5;1583;12.5
2023-02-11;Atomerőmű SE;Szolnoki Olajbányász;76-83;76;83;V;alapszakasz;1484;-12.5;1627;12.5
2023-02-11;Falco-Vulcano Energia KC Szombathely;Duna Aszfalt-DTKH Kecskemét;98-61;98;61;H;alapszakasz;1773;2.4;1505;-2.4
2023-02-11;Kometa Kaposvári KK;Egis Körmend;87-89;87;89;V;alapszakasz;1461;-8.5;1527;8.5
2023-02-11;MVM-OSE Lions;DEAC;87-91;87;91;V;alapszakasz;1469;-11.3;1524;11.3
2023-02-11;Sopron KC;Naturtex-SZTE-Szedeák;71-75;71;75;V;alapszakasz;1527;-13.4;1435;13.4
2023-02-11;Zalakerámia ZTE KK;HÜBNER Nyíregyháza BS;97-87;97;87;H;alapszakasz;1603;0.8;1284;-0.8
2023-02-15;Arconic-Alba Fehérvár;Kometa Kaposvári KK;121-93;121;93;H;alapszakasz;1596;5.0;1452;-5.0
2023-02-15;DEAC;Zalakerámia ZTE KK;83-81;83;81;H;alapszakasz;1536;5.6;1603;-5.6
2023-02-15;Duna Aszfalt-DTKH Kecskemét;Budapesti Honvéd SE;94-77;94;77;H;alapszakasz;1502;2.9;1294;-2.9
2023-02-15;Egis Körmend;Sopron KC;82-96;82;96;V;alapszakasz;1536;-26.9;1514;26.9
2023-02-15;Szolnoki Olajbányász;MVM-OSE Lions;96-59;96;59;H;alapszakasz;1640;4.5;1457;-4.5
2023-02-18;Szolnoki Olajbányász;Falco-Vulcano Energia KC Szombathely;80-78;80;78;H;alapszakasz;1644;6.2;1775;-6.2
2023-03-04;Atomerőmű SE;Duna Aszfalt-DTKH Kecskemét;99-76;99;76;H;alapszakasz;1471;15.9;1505;-15.9
2023-03-04;Kometa Kaposvári KK;Budapesti Honvéd SE;94-79;94;79;H;alapszakasz;1447;3.6;1291;-3.6
2023-03-04;HÜBNER Nyíregyháza BS;Egis Körmend;74-83;74;83;V;alapszakasz;1283;-10.3;1509;10.3
2023-03-04;MVM-OSE Lions;Falco-Vulcano Energia KC Szombathely;75-87;75;87;V;alapszakasz;1453;-8.5;1769;8.5
2023-03-04;Sopron KC;Arconic-Alba Fehérvár;72-91;72;91;V;alapszakasz;1541;-28.3;1601;28.3
2023-03-04;Naturtex-SZTE-Szedeák;DEAC;83-86;83;86;V;alapszakasz;1449;-8.9;1541;8.9
2023-03-04;Zalakerámia ZTE KK;Szolnoki Olajbányász;79-78;79;78;H;alapszakasz;1598;3.9;1650;-3.9
2023-03-08;Naturtex-SZTE-Szedeák;HÜBNER Nyíregyháza BS;85-74;85;74;H;alapszakasz;1440;3.2;1273;-3.2
2023-03-09;Budapesti Honvéd SE;Sopron KC;61-87;61;87;V;alapszakasz;1287;-22.5;1512;22.5
2023-03-10;Duna Aszfalt-DTKH Kecskemét;Kometa Kaposvári KK;81-75;81;75;H;alapszakasz;1489;4.8;1451;-4.8
2023-03-11;Arconic-Alba Fehérvár;HÜBNER Nyíregyháza BS;103-84;103;84;H;alapszakasz;1629;0.8;1270;-0.8
2023-03-11;Atomerőmű SE;MVM-OSE Lions;91-82;91;82;H;alapszakasz;1487;5.4;1444;-5.4
2023-03-11;Egis Körmend;DEAC;89-79;89;79;H;alapszakasz;1519;7.2;1550;-7.2
2023-03-11;Szolnoki Olajbányász;Naturtex-SZTE-Szedeák;89-82;89;82;H;alapszakasz;1647;1.3;1443;-1.3
2023-03-11;Zalakerámia ZTE KK;Falco-Vulcano Energia KC Szombathely;71-86;71;86;V;alapszakasz;1602;-18.1;1777;18.1
2023-03-18;DEAC;Arconic-Alba Fehérvár;77-87;77;87;V;alapszakasz;1543;-17.1;1630;17.1
2023-03-18;Egis Körmend;Szolnoki Olajbányász;79-93;79;93;V;alapszakasz;1526;-22.1;1648;22.1
2023-03-18;HÜBNER Nyíregyháza BS;Budapesti Honvéd SE;85-91;85;91;V;alapszakasz;1269;-15.0;1265;15.0
2023-03-18;MVM-OSE Lions;Duna Aszfalt-DTKH Kecskemét;67-75;67;75;V;alapszakasz;1439;-16.2;1494;16.2
2023-03-18;Sopron KC;Kometa Kaposvári KK;94-67;94;67;H;alapszakasz;1535;8.6;1446;-8.6
2023-03-18;Naturtex-SZTE-Szedeák;Falco-Vulcano Energia KC Szombathely;82-97;82;97;V;alapszakasz;1442;-7.5;1795;7.5
2023-03-18;Zalakerámia ZTE KK;Atomerőmű SE;81-78;81;78;H;alapszakasz;1584;2.3;1493;-2.3
2023-03-24;Budapesti Honvéd SE;DEAC;77-83;77;83;V;alapszakasz;1280;-8.1;1526;8.1
2023-03-24;Duna Aszfalt-DTKH Kecskemét;Sopron KC;86-91;86;91;V;alapszakasz;1510;-13.0;1543;13.0
2023-03-25;Arconic-Alba Fehérvár;Szolnoki Olajbányász;85-79;85;79;H;alapszakasz;1647;5.6;1670;-5.6
2023-03-25;Atomerőmű SE;Naturtex-SZTE-Szedeák;86-72;86;72;H;alapszakasz;1490;6.5;1434;-6.5
2023-03-25;Falco-Vulcano Energia KC Szombathely;Egis Körmend;80-87;80;87;V;alapszakasz;1803;-17.8;1504;17.8
2023-03-25;Kometa Kaposvári KK;HÜBNER Nyíregyháza BS;86-70;86;70;H;alapszakasz;1437;3.1;1254;-3.1
2023-03-25;MVM-OSE Lions;Zalakerámia ZTE KK;88-74;88;74;H;alapszakasz;1423;22.3;1586;-22.3
2023-04-01;Arconic-Alba Fehérvár;Falco-Vulcano Energia KC Szombathely;97-91;97;91;H;alapszakasz;1652;10.1;1785;-10.1
2023-04-01;DEAC;Kometa Kaposvári KK;83-71;83;71;H;alapszakasz;1534;5.2;1441;-5.2
2023-04-01;Egis Körmend;Atomerőmű SE;82-74;82;74;H;alapszakasz;1522;4.5;1497;-4.5
2023-04-01;HÜBNER Nyíregyháza BS;Sopron KC;84-90;84;90;V;alapszakasz;1251;-5.7;1556;5.7
2023-04-01;Naturtex-SZTE-Szedeák;MVM-OSE Lions;85-63;85;63;H;alapszakasz;1428;16.3;1445;-16.3
2023-04-01;Szolnoki Olajbányász;Budapesti Honvéd SE;91-69;91;69;H;alapszakasz;1664;0.6;1272;-0.6
2023-04-01;Zalakerámia ZTE KK;Duna Aszfalt-DTKH Kecskemét;68-71;68;71;V;alapszakasz;1564;-11.7;1497;11.7
2023-04-12;Arconic-Alba Fehérvár;Duna Aszfalt-DTKH Kecskemét;89-82;89;82;H;negyeddöntő;1663;2.0;1509;-2.0
2023-04-12;Atomerőmű SE;HÜBNER Nyíregyháza BS;89-72;89;72;H;alsóház rájátszás;1492;1.7;1245;-1.7
2023-04-12;Falco-Vulcano Energia KC Szombathely;DEAC;87-67;87;67;H;negyeddöntő;1775;2.2;1539;-2.2
2023-04-12;Kometa Kaposvári KK;Budapesti Honvéd SE;95-72;95;72;H;alsóház rájátszás;1435;4.1;1271;-4.1
2023-04-12;MVM-OSE Lions;Naturtex-SZTE-Szedeák;89-76;89;76;H;alsóház rájátszás;1429;9.3;1444;-9.3
2023-04-12;Szolnoki Olajbányász;Egis Körmend;89-76;89;76;H;negyeddöntő;1665;3.3;1527;-3.3
2023-04-12;Zalakerámia ZTE KK;Sopron KC;117-112;117;112;H;negyeddöntő;1552;6.0;1562;-6.0
2023-04-15;Budapesti Honvéd SE;Atomerőmű SE;75-65;75;65;H;alsóház rájátszás;1267;19.6;1494;-19.6
2023-04-15;DEAC;Falco-Vulcano Energia KC Szombathely;64-77;64;77;V;negyeddöntő;1537;-13.3;1777;13.3
2023-04-15;Kometa Kaposvári KK;MVM-OSE Lions;71-82;71;82;V;alsóház rájátszás;1439;-19.5;1438;19.5
2023-04-15;Duna Aszfalt-DTKH Kecskemét;Arconic-Alba Fehérvár;62-64;62;64;V;negyeddöntő;1507;-7.2;1665;7.2
2023-04-15;Egis Körmend;Szolnoki Olajbányász;91-71;91;71;H;negyeddöntő;1523;23.4;1668;-23.4
2023-04-15;Sopron KC;Zalakerámia ZTE KK;84-89;84;89;V;negyeddöntő;1556;-15.2;1558;15.2
2023-04-15;Naturtex-SZTE-Szedeák;HÜBNER Nyíregyháza BS;89-68;89;68;H;alsóház rájátszás;1435;3.7;1244;-3.7
2023-04-18;Arconic-Alba Fehérvár;Duna Aszfalt-DTKH Kecskemét;88-79;88;79;H;negyeddöntő;1672;2.1;1500;-2.1
2023-04-18;Falco-Vulcano Energia KC Szombathely;DEAC;90-70;90;70;H;negyeddöntő;1791;1.7;1524;-1.7
2023-04-18;Szolnoki Olajbányász;Egis Körmend;96-72;96;72;H;negyeddöntő;1645;6.6;1547;-6.6
2023-04-18;Zalakerámia ZTE KK;Sopron KC;87-99;87;99;V;negyeddöntő;1573;-26.1;1541;26.1
2023-04-19;Atomerőmű SE;Naturtex-SZTE-Szedeák;87-70;87;70;H;alsóház rájátszás;1475;7.6;1438;-7.6
2023-04-19;Budapesti Honvéd SE;MVM-OSE Lions;67-73;67;73;V;alsóház rájátszás;1287;-9.6;1457;9.6
2023-04-19;HÜBNER Nyíregyháza BS;Kometa Kaposvári KK;69-79;69;79;V;alsóház rájátszás;1240;-11.7;1420;11.7
2023-04-21;Egis Körmend;Szolnoki Olajbányász;68-64;68;64;H;negyeddöntő;1540;7.6;1651;-7.6
2023-04-22;Kometa Kaposvári KK;Naturtex-SZTE-Szedeák;81-88;81;88;V;alsóház rájátszás;1432;-14.9;1431;14.9
2023-04-22;MVM-OSE Lions;Atomerőmű SE;99-80;99;80;H;alsóház rájátszás;1467;11.9;1482;-11.9
2023-04-22;Sopron KC;Zalakerámia ZTE KK;79-84;79;84;V;negyeddöntő;1567;-15.5;1547;15.5
2023-04-23;HÜBNER Nyíregyháza BS;Budapesti Honvéd SE;84-81;84;81;H;alsóház rájátszás;1228;5.3;1277;-5.3
2023-04-23;Szolnoki Olajbányász;Egis Körmend;85-87;85;87;V;negyeddöntő;1644;-11.4;1548;11.4
2023-04-26;Atomerőmű SE;Kometa Kaposvári KK;98-77;98;77;H;alsóház rájátszás;1470;7.8;1417;-7.8
2023-04-26;MVM-OSE Lions;HÜBNER Nyíregyháza BS;100-76;100;76;H;alsóház rájátszás;1479;2.4;1234;-2.4
2023-04-26;Naturtex-SZTE-Szedeák;Budapesti Honvéd SE;82-73;82;73;H;alsóház rájátszás;1446;2.4;1272;-2.4
2023-05-03;Arconic-Alba Fehérvár;Egis Körmend;105-73;105;73;H;elődöntő;1674;7.6;1559;-7.6
2023-05-03;Falco-Vulcano Energia KC Szombathely;Zalakerámia ZTE KK;90-80;90;80;H;elődöntő;1792;1.5;1562;-1.5
2023-05-03;Sopron KC;DEAC;80-67;80;67;H;5-8. helyért;1552;5.8;1522;-5.8
2023-05-03;Szolnoki Olajbányász;Duna Aszfalt-DTKH Kecskemét;83-75;83;75;H;5-8. helyért;1632;1.7;1498;-1.7
2023-05-06;DEAC;Sopron KC;82-75;82;75;H;5-8. helyért;1516;6.4;1557;-6.4
2023-05-06;Duna Aszfalt-DTKH Kecskemét;Szolnoki Olajbányász;92-87;92;87;H;5-8. helyért;1496;8.4;1634;-8.4
2023-05-06;Egis Körmend;Arconic-Alba Fehérvár;66-90;66;90;V;elődöntő;1552;-36.2;1681;36.2
2023-05-06;Zalakerámia ZTE KK;Falco-Vulcano Energia KC Szombathely;66-95;66;95;V;elődöntő;1561;-26.7;1794;26.7
2023-05-09;Arconic-Alba Fehérvár;Egis Körmend;103-86;103;86;H;elődöntő;1718;2.6;1515;-2.6
2023-05-09;Falco-Vulcano Energia KC Szombathely;Zalakerámia ZTE KK;95-94;95;94;H;elődöntő;1820;0.4;1534;-0.4
2023-05-09;Sopron KC;DEAC;70-75;70;75;V;5-8. helyért;1551;-10.7;1523;10.7
2023-05-09;Szolnoki Olajbányász;Duna Aszfalt-DTKH Kecskemét;87-79;87;79;H;5-8. helyért;1626;1.9;1504;-1.9
2023-05-10;Budapesti Honvéd SE;Kometa Kaposvári KK;95-73;95;73;H;alsóház rájátszás;1269;23.5;1409;-23.5
2023-05-10;HÜBNER Nyíregyháza BS;Atomerőmű SE;81-88;81;88;V;alsóház rájátszás;1231;-7.3;1478;7.3
2023-05-10;Naturtex-SZTE-Szedeák;MVM-OSE Lions;78-76;78;76;H;alsóház rájátszás;1448;4.4;1481;-4.4
2023-05-12;DEAC;Sopron KC;88-79;88;79;H;5-8. helyért;1533;6.1;1540;-6.1
2023-05-12;Duna Aszfalt-DTKH Kecskemét;Szolnoki Olajbányász;83-85;83;85;V;5-8. helyért;1503;-5.4;1628;5.4
2023-05-13;Atomerőmű SE;Budapesti Honvéd SE;83-72;83;72;H;alsóház rájátszás;1485;1.9;1293;-1.9
2023-05-13;HÜBNER Nyíregyháza BS;Naturtex-SZTE-Szedeák;84-93;84;93;V;alsóház rájátszás;1224;-9.1;1453;9.1
2023-05-13;MVM-OSE Lions;Kometa Kaposvári KK;97-86;97;86;H;alsóház rájátszás;1477;4.3;1385;-4.3
2023-05-16;Szolnoki Olajbányász;DEAC;81-71;81;71;H;5. helyért;1633;2.6;1539;-2.6
2023-05-17;Falco-Vulcano Energia KC Szombathely;Arconic-Alba Fehérvár;82-70;82;70;H;döntő;1821;4.4;1720;-4.4
2023-05-17;Kometa Kaposvári KK;HÜBNER Nyíregyháza BS;75-80;75;80;V;alsóház rájátszás;1381;-13.7;1215;13.7
2023-05-17;MVM-OSE Lions;Budapesti Honvéd SE;81-63;81;63;H;alsóház rájátszás;1481;3.0;1291;-3.0
2023-05-17;Naturtex-SZTE-Szedeák;Atomerőmű SE;95-74;95;74;H;alsóház rájátszás;1462;14.7;1487;-14.7
2023-05-17;Zalakerámia ZTE KK;Egis Körmend;91-78;91;78;H;3. helyért;1534;8.8;1513;-8.8
2023-05-19;DEAC;Szolnoki Olajbányász;66-75;66;75;V;5. helyért;1537;-11.6;1636;11.6
2023-05-19;Sopron KC;Duna Aszfalt-DTKH Kecskemét;96-84;96;84;H;7. helyért;1534;5.2;1497;-5.2
2023-05-20;Arconic-Alba Fehérvár;Falco-Vulcano Energia KC Szombathely;81-80;81;80;H;döntő;1716;5.6;1825;-5.6
2023-05-20;Atomerőmű SE;MVM-OSE Lions;80-83;80;83;V;alsóház rájátszás;1473;-9.8;1484;9.8
2023-05-20;Budapesti Honvéd SE;HÜBNER Nyíregyháza BS;83-76;83;76;H;alsóház rájátszás;1288;3.7;1228;-3.7
2023-05-20;Egis Körmend;Zalakerámia ZTE KK;104-56;104;56;H;3. helyért;1504;25.0;1543;-25.0
2023-05-20;Naturtex-SZTE-Szedeák;Kometa Kaposvári KK;94-89;94;89;H;alsóház rájátszás;1476;2.7;1367;-2.7
2023-05-21;Duna Aszfalt-DTKH Kecskemét;Sopron KC;88-80;88;80;H;7. helyért;1492;7.0;1539;-7.0
2023-05-23;Falco-Vulcano Energia KC Szombathely;Arconic-Alba Fehérvár;84-78;84;78;H;döntő;1820;3.0;1721;-3.0
2023-05-23;Zalakerámia ZTE KK;Egis Körmend;97-85;97;85;H;3. helyért;1518;10.1;1529;-10.1
2023-05-24;Budapesti Honvéd SE;Naturtex-SZTE-Szedeák;83-79;83;79;H;alsóház rájátszás;1292;10.3;1479;-10.3
2023-05-24;Kometa Kaposvári KK;Atomerőmű SE;85-70;85;70;H;alsóház rájátszás;1365;15.4;1463;
2023-05-24;HÜBNER Nyíregyháza BS;MVM-OSE Lions;69-85;69;85;V;alsóház rájátszás;1225;-11.0;1494;11.0
2023-05-24;Sopron KC;Duna Aszfalt-DTKH Kecskemét;83-86;83;86;V;7. helyért;1532;-8.5;1499;8.5
2023-05-26;Arconic-Alba Fehérvár;Falco-Vulcano Energia KC Szombathely;72-69;72;69;H;döntő;1718;7.5;1823;-7.5
2023-05-26;Egis Körmend;Zalakerámia ZTE KK;104-89;104;89;H;3. helyért;1519;9.0;1528;-9.0
2023-05-28;Falco-Vulcano Energia KC Szombathely;Arconic-Alba Fehérvár;84-68;84;68;H;döntő;1815;5.8;1726;-5.8
2023-05-28;Zalakerámia ZTE KK;Egis Körmend;83-96;83;96;V;3. helyért;1519;-26.2;1528;26.2
2023-09-29;DEAC;MVM-OSE Lions;59-80;59;80;V;alapszakasz;1522;-33.3;1508;33.3
2023-09-29;Duna Aszfalt-DTKH Kecskemét;Sopron KC;83-80;83;80;H;alapszakasz;1510;4.7;1521;-4.7
2023-09-29;Egis Körmend;Kometa Kaposvári KK;80-71;80;71;H;alapszakasz;1541;2.6;1426;-2.6
2023-09-29;NHSZ-Szolnoki Olajbányász;Atomerőmű SE;73-67;73;67;H;alapszakasz;1602;2.0;1470;-2.0
2023-09-30;Arconic-Alba Fehérvár;Budapesti Honvéd SE;72-62;72;62;H;alapszakasz;1650;0.9;1374;-0.9
2023-09-30;Falco-Vulcano Energia KC Szombathely;NKA Universitas Pécs;112-92;112;92;H;alapszakasz;1717;0.5;1300;-0.5
2023-10-03;Zalakerámia ZTE KK;SZTE-Szedeák;93-97;93;97;V;alapszakasz;1500;-12.7;1484;12.7
2023-10-06;DEAC;Duna Aszfalt-DTKH Kecskemét;79-71;79;71;H;alapszakasz;1488;8.6;1515;-8.6
2023-10-06;Kometa Kaposvári KK;NKA Universitas Pécs;94-80;94;80;H;alapszakasz;1423;4.3;1300;-4.3
2023-10-07;Budapesti Honvéd SE;Falco-Vulcano Energia KC Szombathely;72-81;72;81;V;alapszakasz;1373;-6.6;1717;6.6
2023-10-07;MVM-OSE Lions;Zalakerámia ZTE KK;114-79;114;79;H;alapszakasz;1542;13.4;1488;-13.4
2023-10-07;Sopron KC;NHSZ-Szolnoki Olajbányász;73-80;73;80;V;alapszakasz;1516;-14.1;1604;14.1
2023-10-07;SZTE-Szedeák;Arconic-Alba Fehérvár;98-102;98;102;V;alapszakasz;1497;-8.4;1651;8.4
2023-10-08;Atomerőmű SE;Egis Körmend;62-80;62;80;V;alapszakasz;1468;-26.8;1543;26.8
2023-10-12;NHSZ-Szolnoki Olajbányász;DEAC;73-66;73;66;H;alapszakasz;1618;2.3;1497;-2.3
2023-10-13;NKA Universitas Pécs;Atomerőmű SE;82-80;82;80;H;alapszakasz;1295;8.1;1442;-8.1
2023-10-14;Arconic-Alba Fehérvár;MVM-OSE Lions;90-80;90;80;H;alapszakasz;1660;3.2;1555;-3.2
2023-10-14;Budapesti Honvéd SE;SZTE-Szedeák;92-87;92;87;H;alapszakasz;1367;9.6;1489;-9.6
2023-10-14;Falco-Vulcano Energia KC Szombathely;Kometa Kaposvári KK;103-66;103;66;H;alapszakasz;1724;1.9;1428;-1.9
2023-10-14;Egis Körmend;Sopron KC;93-56;93;56;H;alapszakasz;1570;9.3;1502;-9.3
2023-10-17;Zalakerámia ZTE KK;Duna Aszfalt-DTKH Kecskemét;94-80;94;80;H;alapszakasz;1474;11.5;1506;-11.5
2023-10-21;Atomerőmű SE;Kometa Kaposvári KK;73-82;73;82;V;alapszakasz;1433;-19.4;1426;19.4
2023-10-21;DEAC;Egis Körmend;75-70;75;70;H;alapszakasz;1495;9.0;1579;-9.0
2023-10-21;MVM-OSE Lions;Budapesti Honvéd SE;89-83;89;83;H;alapszakasz;1552;1.8;1376;-1.8
2023-10-21;Sopron KC;NKA Universitas Pécs;78-75;78;75;H;alapszakasz;1493;1.2;1303;-1.2
2023-10-21;SZTE-Szedeák;Falco-Vulcano Energia KC Szombathely;80-79;80;79;H;alapszakasz;1479;9.8;1726;-9.8
2023-10-21;Zalakerámia ZTE KK;NHSZ-Szolnoki Olajbányász;115-83;115;83;H;alapszakasz;1486;34.3;1621;-34.3
2023-10-22;Duna Aszfalt-DTKH Kecskemét;Arconic-Alba Fehérvár;99-104;99;104;V;alapszakasz;1495;-9.2;1663;9.2
2023-10-27;Budapesti Honvéd SE;Duna Aszfalt-DTKH Kecskemét;79-67;79;67;H;alapszakasz;1375;15.1;1485;-15.1
2023-10-27;Kometa Kaposvári KK;Sopron KC;86-88;86;88;V;alapszakasz;1445;-8.8;1494;8.8
2023-10-27;Egis Körmend;Zalakerámia ZTE KK;84-85;84;85;V;alapszakasz;1570;-8.6;1520;8.6
2023-10-27;SZTE-Szedeák;MVM-OSE Lions;89-75;89;75;H;alapszakasz;1489;15.2;1554;-15.2
2023-10-28;Arconic-Alba Fehérvár;NHSZ-Szolnoki Olajbányász;93-73;93;73;H;alapszakasz;1672;5.8;1586;-5.8
2023-10-28;Falco-Vulcano Energia KC Szombathely;Atomerőmű SE;88-69;88;69;H;alapszakasz;1716;1.1;1414;-1.1
2023-10-28;NKA Universitas Pécs;DEAC;75-64;75;64;H;alapszakasz;1302;22.7;1504;-22.7
2023-11-03;Duna Aszfalt-DTKH Kecskemét;SZTE-Szedeák;95-98;95;98;V;alapszakasz;1470;-10.3;1504;10.3
2023-11-03;MVM-OSE Lions;Falco-Vulcano Energia KC Szombathely;81-91;81;91;V;alapszakasz;1539;-13.5;1717;13.5
2023-11-03;Zalakerámia ZTE KK;NKA Universitas Pécs;80-78;80;78;H;alapszakasz;1529;0.9;1325;-0.9
2023-11-04;Arconic-Alba Fehérvár;Egis Körmend;92-67;92;67;H;alapszakasz;1678;5.4;1562;-5.4
2023-11-04;DEAC;Kometa Kaposvári KK;77-61;77;61;H;alapszakasz;1481;8.7;1436;-8.7
2023-11-04;Sopron KC;Atomerőmű SE;89-85;89;85;H;alapszakasz;1503;2.7;1413;-2.7
2023-11-04;NHSZ-Szolnoki Olajbányász;Budapesti Honvéd SE;91-65;91;65;H;alapszakasz;1581;3.3;1390;-3.3
2023-11-09;SZTE-Szedeák;NHSZ-Szolnoki Olajbányász;93-86;93;86;H;alapszakasz;1514;10.1;1584;-10.1
2023-11-11;Atomerőmű SE;DEAC;61-70;61;70;V;alapszakasz;1410;-16.9;1490;16.9
2023-11-11;Budapesti Honvéd SE;Egis Körmend;87-96;87;96;V;alapszakasz;1386;-13.5;1556;13.5
2023-11-11;Kometa Kaposvári KK;Zalakerámia ZTE KK;89-78;89;78;H;alapszakasz;1428;14.2;1529;-14.2
2023-11-11;NKA Universitas Pécs;Arconic-Alba Fehérvár;80-86;80;86;V;alapszakasz;1324;-4.4;1683;4.4
2023-11-11;MVM-OSE Lions;Duna Aszfalt-DTKH Kecskemét;72-78;72;78;V;alapszakasz;1525;-16.1;1460;16.1
2023-11-11;Sopron KC;Falco-Vulcano Energia KC Szombathely;74-89;74;89;V;alapszakasz;1505;-14.8;1731;14.8
2023-11-17;Duna Aszfalt-DTKH Kecskemét;Falco-Vulcano Energia KC Szombathely;96-103;96;103;V;alapszakasz;1476;-7.4;1746;7.4
2023-11-17;NHSZ-Szolnoki Olajbányász;MVM-OSE Lions;76-70;76;70;H;alapszakasz;1574;3.1;1509;-3.1
2023-11-18;Arconic-Alba Fehérvár;Kometa Kaposvári KK;105-77;105;77;H;alapszakasz;1688;2.3;1442;-2.3
2023-11-18;DEAC;Sopron KC;86-73;86;73;H;alapszakasz;1507;9.0;1491;-9.0
2023-11-18;Egis Körmend;SZTE-Szedeák;90-73;90;73;H;alapszakasz;1570;6.2;1525;-6.2
2023-11-18;NKA Universitas Pécs;Budapesti Honvéd SE;91-79;91;79;H;alapszakasz;1320;12.6;1373;-12.6
2023-11-18;Zalakerámia ZTE KK;Atomerőmű SE;86-92;86;92;V;alapszakasz;1515;-16.6;1393;16.6
2023-11-23;SZTE-Szedeák;NKA Universitas Pécs;90-97;90;97;V;alapszakasz;1518;-18.3;1332;18.3
2023-11-24;Duna Aszfalt-DTKH Kecskemét;NHSZ-Szolnoki Olajbányász;74-83;74;83;V;alapszakasz;1469;-15.2;1577;15.2
2023-11-25;Atomerőmű SE;Arconic-Alba Fehérvár;80-87;80;87;V;alapszakasz;1410;-7.5;1690;7.5
2023-11-25;Falco-Vulcano Energia KC Szombathely;DEAC;87-68;87;68;H;alapszakasz;1753;1.9;1516;-1.9
2023-11-25;Kometa Kaposvári KK;Budapesti Honvéd SE;75-69;75;69;H;alapszakasz;1440;3.5;1360;-3.5
2023-11-25;MVM-OSE Lions;Egis Körmend;87-76;87;76;H;alapszakasz;1506;12.4;1576;-12.4
2023-11-25;Sopron KC;Zalakerámia ZTE KK;71-76;71;76;V;alapszakasz;1482;-13.4;1499;13.4
2023-11-29;Falco-Vulcano Energia KC Szombathely;Arconic-Alba Fehérvár;108-75;108;75;H;alapszakasz;1755;9.9;1698;-9.9
2023-11-30;Budapesti Honvéd SE;Atomerőmű SE;71-77;71;77;V;alapszakasz;1357;-14.4;1402;14.4
2023-12-02;Arconic-Alba Fehérvár;Sopron KC;100-73;100;73;H;alapszakasz;1688;2.7;1468;-2.7
2023-12-02;Kometa Kaposvári KK;SZTE-Szedeák;90-105;90;105;V;alapszakasz;1443;-24.2;1500;24.2
2023-12-02;Egis Körmend;Duna Aszfalt-DTKH Kecskemét;94-70;94;70;H;alapszakasz;1564;5.1;1454;-5.1
2023-12-02;NKA Universitas Pécs;MVM-OSE Lions;91-83;91;83;H;alapszakasz;1350;16.4;1518;-16.4
2023-12-02;Zalakerámia ZTE KK;DEAC;73-71;73;71;H;alapszakasz;1512;3.6;1514;-3.6
2023-12-03;NHSZ-Szolnoki Olajbányász;Falco-Vulcano Energia KC Szombathely;69-85;69;85;V;alapszakasz;1592;-20.7;1765;20.7
2023-12-08;DEAC;Arconic-Alba Fehérvár;93-92;93;92;H;alapszakasz;1510;7.7;1690;-7.7
2023-12-08;Duna Aszfalt-DTKH Kecskemét;NKA Universitas Pécs;71-70;71;70;H;alapszakasz;1448;1.9;1367;-1.9
2023-12-08;Sopron KC;Budapesti Honvéd SE;87-67;87;67;H;alapszakasz;1466;5.7;1342;-5.7
2023-12-08;NHSZ-Szolnoki Olajbányász;Egis Körmend;79-73;79;73;H;alapszakasz;1571;4.7;1569;-4.7
2023-12-09;Atomerőmű SE;SZTE-Szedeák;87-78;87;78;H;alapszakasz;1417;12.7;1524;-12.7
2023-12-09;MVM-OSE Lions;Kometa Kaposvári KK;85-84;85;84;H;alapszakasz;1502;1.8;1419;-1.8
2023-12-10;Falco-Vulcano Energia KC Szombathely;Zalakerámia ZTE KK;100-72;100;72;H;alapszakasz;1785;1.9;1516;-1.9
2023-12-14;SZTE-Szedeák;Sopron KC;93-105;93;105;V;alapszakasz;1512;-23.4;1471;23.4
2023-12-16;Arconic-Alba Fehérvár;Zalakerámia ZTE KK;103-76;103;76;H;alapszakasz;1683;3.9;1514;-3.9
2023-12-16;Atomerőmű SE;MVM-OSE Lions;95-82;95;82;H;alapszakasz;1430;13.5;1504;-13.5
2023-12-16;Budapesti Honvéd SE;DEAC;80-60;80;60;H;alapszakasz;1337;28.9;1518;-28.9
2023-12-16;Kometa Kaposvári KK;Duna Aszfalt-DTKH Kecskemét;86-97;86;97;V;alapszakasz;1417;-20.6;1450;20.6
2023-12-16;Egis Körmend;Falco-Vulcano Energia KC Szombathely;65-101;65;101;V;alapszakasz;1564;-32.7;1787;32.7
2023-12-16;NKA Universitas Pécs;NHSZ-Szolnoki Olajbányász;94-86;94;86;H;alapszakasz;1365;19.2;1576;-19.2
2023-12-20;DEAC;SZTE-Szedeák;75-80;75;80;V;alapszakasz;1489;-13.6;1488;13.6
2023-12-20;Duna Aszfalt-DTKH Kecskemét;Atomerőmű SE;92-75;92;75;H;alapszakasz;1471;9.9;1443;-9.9
