Dátum;Hazai csapat;Vendég csapat;Ered.;home_score;away_score;Kim.;Szakasz;Hazai ÉLŐ pont;Hazai ÉLŐ vált.;Vend. ÉLŐ pont;Vend. ÉLŐ vált.
2025-05-12;NHSZ-Szolnoki Olajbányász;Atomerőmű SE;90-86;90;86;H;elődöntő;1634;6.3;1693;-6.3
2025-05-14;DEAC;Egis Körmend;106-78;106;78;H;5. helyért;1495;10.1;1452;-10.1
2025-05-14;Duna Aszfalt-DTKH Kecskemét;Endo Plus Service-Honvéd;83-79;83;79;H;alsóház rájátszás;1387;6.1;1434;-6.1
2025-05-14;NKA Universitas Pécs;Pécsi VSK-VEOLIA;90-80;90;80;H;alsóház rájátszás;1468;1.7;1251;-1.7
2025-05-14;Sopron KC;Alba Fehérvár;103-86;103;86;H;7. helyért;1516;10.1;1552;-10.1
2025-05-14;SZTE-Szedeák;MVM-OSE Lions;84-67;84;67;H;alsóház rájátszás;1357;10.2;1339;-10.2
2025-05-17;Atomerőmű SE;Zalakerámia ZTE KK;94-73;94;73;H;3. helyért;1687;5.0;1535;-5.0
2025-05-17;Endo Plus Service-Honvéd;SZTE-Szedeák;80-84;80;84;V;alsóház rájátszás;1428;-11.9;1367;11.9
2025-05-17;Falco-Vulcano Energia KC Szombathely;NHSZ-Szolnoki Olajbányász;73-93;73;93;V;döntő;1915;-41.8;1641;41.8
2025-05-17;Duna Aszfalt-DTKH Kecskemét;Pécsi VSK-VEOLIA;99-82;99;82;H;alsóház rájátszás;1393;4.3;1250;-4.3
2025-05-17;MVM-OSE Lions;NKA Universitas Pécs;85-75;85;75;H;alsóház rájátszás;1329;15.0;1470;-15.0
2025-05-18;Alba Fehérvár;Sopron KC;111-109;111;109;H;7. helyért;1542;2.0;1526;-2.0
2025-05-18;Egis Körmend;DEAC;76-97;76;97;V;5. helyért;1442;-24.0;1505;24.0
2025-05-20;Sopron KC;Alba Fehérvár;100-88;100;88;H;7. helyért;1524;7.3;1544;-7.3
2025-05-20;NHSZ-Szolnoki Olajbányász;Falco-Vulcano Energia KC Szombathely;81-79;81;79;H;döntő;1682;9.6;1874;-9.6
2025-05-20;Zalakerámia ZTE KK;Atomerőmű SE;79-73;79;73;H;3. helyért;1530;14.0;1692;-14.0
2025-05-21;NKA Universitas Pécs;Duna Aszfalt-DTKH Kecskemét;90-51;90;51;H;alsóház rájátszás;1455;13.3;1397;-13.3
2025-05-21;MVM-OSE Lions;Endo Plus Service-Honvéd;82-72;82;72;H;alsóház rájátszás;1344;10.8;1416;-10.8
2025-05-21;Pécsi VSK-VEOLIA;SZTE-Szedeák;108-84;108;84;H;alsóház rájátszás;1245;27.3;1379;-27.3
2025-05-23;Atomerőmű SE;Zalakerámia ZTE KK;82-66;82;66;H;3. helyért;1678;4.7;1544;-4.7
2025-05-23;Falco-Vulcano Energia KC Szombathely;NHSZ-Szolnoki Olajbányász;79-98;79;98;V;döntő;1864;-41.2;1692;41.2
2025-05-24;Endo Plus Service-Honvéd;NKA Universitas Pécs;83-77;83;77;H;alsóház rájátszás;1405;7.2;1468;-7.2
2025-05-24;Pécsi VSK-VEOLIA;MVM-OSE Lions;85-89;85;89;V;alsóház rájátszás;1273;-9.3;1355;9.3
2025-05-24;SZTE-Szedeák;Duna Aszfalt-DTKH Kecskemét;68-64;68;64;H;alsóház rájátszás;1352;5.8;1384;-5.8
2025-05-26;Zalakerámia ZTE KK;Atomerőmű SE;79-89;79;89;V;3. helyért;1539;-17.0;1682;17.0
