Játékos;Szezon;Csapat;Min%;On40;Net40;Net RTG;Net Pace;Net Tm PTS 40;Net Tm RTG;Net Tm Close att. rate;Net Tm 3P att. rate;Net Tm EFG %;Net Tm FT made rate;Net Tm ORB %;Net Tm AST %;Net Tm TOV %;Net Tm BLK %;Net Opp PTS 40;Net Opp RTG;Net Opp Close att. rate;Net Opp 3P att. rate;Net Opp EFG %;Net Opp FT made rate;Net Opp ORB %;Net Opp AST %;Net Opp TOV %;Net Opp BLK %
PONGÓ Máté;2023-24;Szolnok;49.5;2.1;5.2;7.0;-3.4;-4.1;-0.5;-0.037;0.044;0.004;-0.095;0.5;-1.2;-1.1;-1.4;-9.3;-7.5;-0.030;0.026;-0.060;0.030;-3.2;-3.4;0.0;-0.8
De'Quon LAKE;2024-25;Atomerőmű SE;49.4;12.7;3.3;4.1;1.4;0.5;-1.7;0.073;-0.086;-0.014;0.006;2.1;-7.3;-0.3;1.2;-2.8;-5.8;-0.022;-0.007;-0.011;-0.012;-6.9;3.6;0.7;-0.1
Jacob CALLOWAY;2022-23;Oroszlány;49.4;2.1;8.2;11.5;2.8;10.9;11.0;0.015;-0.005;0.030;0.010;5.3;-0.9;-2.3;-1.5;2.7;-0.5;0.004;0.009;-0.001;-0.015;-2.3;1.7;0.0;1.6
Arsenije VUČKOVIĆ;2024-25;Körmend;49.3;-7.8;-7.8;-10.5;-1.5;-3.5;-2.4;0.030;-0.064;-0.004;-0.051;3.2;3.1;2.2;-2.6;4.3;8.1;0.006;-0.007;0.048;-0.041;-1.1;1.8;-2.1;0.0
KERPEL-FRONIUS Gáspár;2024-25;NKA Pécs;48.6;4.1;6.7;9.1;-0.1;-0.3;-0.3;0.011;-0.002;-0.014;0.012;3.9;-4.4;-0.1;-0.7;-7.0;-9.4;-0.061;0.048;-0.038;0.009;-4.2;-2.5;1.4;-0.9
TÓTH Ádám;2023-24;ZTE;48.6;-1.8;5.5;7.7;4.2;5.7;1.3;0.039;-0.024;0.013;0.001;2.4;0.1;1.2;-1.1;0.2;-6.4;-0.017;0.019;-0.021;-0.019;-2.0;-1.6;0.0;0.9
Kassim NICHOLSON;2022-23;Szedeák;48.2;1.7;5.9;8.3;1.2;6.4;7.0;0.051;-0.020;0.006;-0.017;2.9;2.6;-2.8;2.5;0.5;-1.3;0.061;-0.029;-0.014;-0.050;3.9;-2.0;0.0;1.1
FILIPOVICS Stefan;2024-25;Bp. Honvéd;48.1;1.6;9.8;13.6;0.9;8.0;9.8;0.088;-0.091;0.062;0.052;-0.3;13.2;1.1;0.7;-1.8;-3.9;-0.009;-0.012;0.023;-0.041;-6.7;4.9;0.0;-2.3
KELLER Ákos;2024-25;Falco KC;47.7;18.0;-1.6;-2.9;1.7;-0.7;-4.1;-0.042;0.040;-0.014;0.043;-0.7;-0.7;1.6;0.7;0.9;-1.2;0.000;0.013;-0.010;0.047;0.9;5.7;1.4;1.3
OMENAKA Godwin;2022-23;Körmend;47.6;3.1;9.9;13.3;-0.5;4.8;7.2;0.032;-0.003;0.006;0.003;15.1;-4.9;1.5;4.4;-5.1;-6.1;-0.039;0.040;-0.040;0.011;0.4;2.0;0.0;0.3
KOVÁCS Péter;2023-24;NKA Pécs;47.4;-3.0;-4.9;-6.5;1.0;-1.0;-2.9;0.034;-0.034;-0.017;0.016;1.1;-3.6;1.1;-1.2;3.9;3.6;0.004;-0.010;0.020;-0.020;0.2;1.1;0.0;0.0
TAKÁCS Kristóf;2024-25;Sopron;47.4;-0.5;-4.6;-6.3;3.0;2.4;-1.4;0.077;-0.064;-0.029;0.067;3.3;0.0;-0.8;0.1;7.0;4.9;0.004;0.006;0.020;0.032;0.9;-1.0;-0.5;1.0
Marvin CLARK;2024-25;Falco KC;47.4;18.1;-1.4;-2.0;0.0;1.0;1.5;0.014;0.005;0.035;-0.028;-1.2;4.9;1.0;-0.2;2.4;3.4;0.002;-0.001;0.030;-0.061;1.3;-1.1;0.6;-0.6
IVKOVICS Milán;2024-25;Kecskemét;47.4;-8.4;-6.0;-8.7;-1.3;-2.6;-1.6;0.006;0.004;-0.024;0.019;1.9;-10.3;-0.3;0.3;3.4;7.1;-0.018;0.018;0.022;0.011;2.1;1.3;-2.0;-0.2
TÓTH Ádám;2024-25;ZTE;47.4;-1.1;-1.8;-2.5;-2.9;1.6;6.5;0.045;-0.048;0.026;-0.089;5.0;3.6;-0.8;-2.2;3.3;9.0;-0.041;0.023;0.055;-0.054;-1.1;3.7;-2.5;-3.0
BENKE Szilárd;2023-24;Falco KC;47.3;27.9;14.0;17.5;3.6;7.3;3.9;0.039;-0.016;0.039;-0.037;-0.2;-0.2;0.1;0.5;-6.7;-13.6;-0.029;0.023;-0.069;-0.013;-6.8;3.0;0.0;-2.3
Vuk VULIKIĆ;2024-25;Szedeák;46.8;-3.5;9.6;12.9;-3.6;-0.2;5.0;-0.046;0.041;0.026;0.011;-1.7;0.0;-0.4;-0.3;-9.8;-7.9;-0.002;-0.012;-0.043;-0.002;-1.7;-2.2;0.2;-2.7
TAKÁCS Kristóf;2023-24;Körmend;46.5;-3.1;1.9;2.8;3.4;13.1;12.5;0.046;-0.015;0.050;0.033;3.9;-2.7;-0.7;-0.2;11.2;9.7;0.030;-0.023;0.050;0.010;1.5;-1.7;0.0;0.6
Rastko DRAMIĆANIN;2023-24;Kecskemét;46.3;-4.2;-4.1;-5.6;0.5;-1.2;-2.4;-0.041;0.039;0.013;-0.015;-4.9;-0.4;0.7;-2.5;2.9;3.2;0.018;-0.001;0.016;0.066;1.5;-7.0;0.0;2.2
Miloš GRUBOR;2022-23;Atomerőmű SE;46.3;5.2;8.7;11.9;0.2;6.7;8.9;-0.061;0.027;0.053;0.055;-6.3;3.7;-0.5;-0.4;-2.0;-3.0;-0.029;0.027;-0.029;0.070;-0.6;-1.3;0.0;-0.4
CSENDES Péter;2023-24;Sopron;46.2;-3.3;4.7;5.5;-7.6;-11.1;-4.1;-0.041;0.027;-0.036;0.050;0.8;-0.1;-0.4;-0.3;-15.8;-9.6;0.015;-0.015;-0.085;0.053;-1.2;-1.1;0.0;1.9
MOKÁNSZKI Máté;2024-25;PVSK;46.2;-9.4;0.4;0.3;-1.2;-1.8;-0.8;-0.052;0.063;0.015;0.016;-5.0;-2.6;1.1;-2.2;-2.2;-1.1;0.023;-0.001;-0.011;0.019;2.1;6.9;0.1;-2.1
Darrin GOVENS;2022-23;DEAC;46.1;0.5;3.8;5.4;1.6;0.6;-1.6;0.028;0.015;-0.015;-0.036;-4.4;8.4;-3.8;-1.9;-3.2;-7.0;0.027;0.027;-0.040;0.034;3.5;6.6;0.0;0.7
Miloš KOPRIVICA;2023-24;Kaposvár;46.1;-2.4;3.1;4.4;1.5;4.5;3.8;0.021;-0.015;0.015;-0.055;-0.6;3.7;-1.7;-1.5;1.4;-0.6;-0.032;0.020;-0.009;-0.027;-5.7;2.7;0.0;2.2
KERPEL-FRONIUS Gáspár;2023-24;NKA Pécs;46.1;1.3;3.3;4.3;-4.2;-6.3;-2.4;-0.003;-0.002;-0.014;-0.026;-2.9;9.1;-2.6;0.7;-9.6;-6.7;-0.005;-0.001;-0.031;0.019;0.1;-3.1;0.0;0.5
J.D. PAIGE;2023-24;ZTE;46.1;-2.8;3.3;4.6;0.9;1.3;0.4;0.025;-0.051;0.020;-0.040;-0.9;-4.5;1.9;-1.4;-2.0;-4.2;-0.010;0.014;-0.016;-0.011;2.9;6.9;0.0;1.4
KRNJAJSZKI Borisz;2023-24;Kaposvár;45.9;-7.4;-6.2;-8.8;0.4;-3.7;-5.9;0.009;-0.027;-0.018;0.033;-4.1;3.2;0.4;-0.7;2.5;2.9;0.028;-0.010;0.012;-0.007;-2.9;-4.4;0.0;0.8
Trey MCGOWENS;2024-25;ZTE;45.9;-2.6;-4.5;-6.1;1.3;-4.4;-8.0;0.027;-0.025;-0.026;0.027;-4.9;-6.0;0.9;-0.5;0.1;-1.9;-0.013;0.009;0.003;0.031;-5.9;-0.3;0.2;-0.1
