Játékos;Szezon;Csapat;Min%;On40;Net40;Net RTG;Net Pace;Net Tm PTS 40;Net Tm RTG;Net Tm Close att. rate;Net Tm 3P att. rate;Net Tm EFG %;Net Tm FT made rate;Net Tm ORB %;Net Tm AST %;Net Tm TOV %;Net Tm BLK %;Net Opp PTS 40;Net Opp RTG;Net Opp Close att. rate;Net Opp 3P att. rate;Net Opp EFG %;Net Opp FT made rate;Net Opp ORB %;Net Opp AST %;Net Opp TOV %;Net Opp BLK %
Kwame VAUGHN;2024-25;PVSK;41.0;-5.4;7.2;9.3;-2.3;1.1;4.7;-0.039;0.022;0.018;0.035;0.4;2.7;-0.2;-0.5;-6.1;-4.6;0.022;-0.010;-0.010;0.048;-0.4;6.3;2.9;0.9
Erik COPES;2022-23;NYBS;41.0;-7.4;9.9;13.4;1.9;14.0;15.8;0.037;-0.026;0.082;-0.009;3.7;7.1;-0.3;2.8;4.1;2.4;0.043;-0.014;0.020;-0.053;0.9;-0.4;0.0;-1.3
BALOGH Szilárd;2023-24;Szedeák;40.9;-6.3;-7.4;-9.7;0.5;-5.1;-7.4;-0.018;-0.023;-0.025;-0.019;-2.3;-4.1;0.1;-0.1;2.3;2.3;0.012;-0.003;-0.005;0.004;1.4;2.9;0.0;-0.4
PLÉZER Gábor;2024-25;PVSK;40.9;-13.0;-5.7;-7.4;1.3;5.4;5.3;0.009;-0.006;0.007;0.022;3.0;-3.0;-1.4;-0.5;11.2;12.8;0.006;-0.020;0.035;0.017;5.1;-0.9;-2.7;0.5
PUSKA Bence;2022-23;Kaposvár;40.8;-7.3;-5.6;-7.6;1.6;-3.7;-7.5;0.023;-0.028;-0.009;-0.031;-5.7;-1.4;0.9;2.9;1.9;0.1;0.031;-0.039;0.010;-0.058;-0.8;0.2;0.0;-0.6
KRNJAJSZKI Borisz;2024-25;Szolnok;40.7;3.1;-1.7;-2.2;-1.5;-5.5;-5.1;-0.003;0.022;-0.037;-0.007;-7.3;-0.4;-3.0;-0.2;-3.8;-2.9;-0.028;0.044;-0.040;0.022;4.4;1.5;-0.8;-1.4
KISS Benedek;2022-23;NYBS;40.2;-13.2;0.0;-1.5;-6.0;-2.5;4.5;-0.014;-0.002;0.021;0.057;0.7;-4.1;0.1;1.3;-2.5;6.0;-0.002;0.007;-0.001;-0.041;3.0;-1.0;0.0;-0.9
SOMOGYI Ádám;2024-25;Szolnok;40.1;6.6;4.2;5.5;0.4;7.2;9.0;0.039;-0.035;0.035;-0.010;3.3;0.1;-1.0;-0.3;3.0;3.5;0.025;-0.010;0.022;-0.005;-0.5;-0.3;-1.2;0.6
NÉMETH Ákos;2023-24;ZTE;40.1;-4.6;0.0;-0.1;-1.7;-7.8;-8.0;-0.032;0.007;-0.043;-0.013;1.7;0.4;-0.2;0.2;-7.8;-7.9;-0.013;0.001;-0.019;0.000;-6.1;0.3;0.0;0.2
Trey DIGGS;2024-25;Falco KC;39.4;14.9;-6.5;-8.6;-1.2;-0.8;0.9;-0.049;0.057;0.012;0.006;1.1;-7.0;1.0;-2.4;5.7;9.5;0.003;0.004;0.033;0.070;2.0;-0.1;0.2;0.1
DURÁZI Krisztofer;2023-24;Körmend;39.2;-4.5;-0.7;-1.0;-1.3;-5.6;-5.6;0.049;-0.045;-0.010;0.023;2.0;-1.1;0.9;0.3;-4.9;-4.6;0.006;-0.013;-0.055;-0.046;1.7;-0.4;0.0;0.7
Maliek WHITE;2023-24;Atomerőmű SE;38.2;-5.6;-4.1;-5.5;-1.1;-5.9;-6.3;-0.032;0.025;-0.052;-0.014;-0.5;2.2;-0.2;3.2;-1.8;-0.8;-0.016;0.009;-0.017;-0.005;-1.2;9.6;0.0;-0.1
Boris BARAĆ;2023-24;Falco KC;38.0;16.4;-6.6;-8.8;-0.3;-0.7;-0.3;0.026;-0.038;-0.029;0.088;2.7;-3.0;0.0;-2.2;5.9;8.5;0.009;-0.001;0.028;0.049;4.6;-3.2;0.0;0.5
HAJDU Péter;2024-25;Bp. Honvéd;38.0;-8.3;-7.7;-10.6;0.3;-2.1;-3.3;-0.035;0.044;-0.037;0.026;-1.3;5.1;-1.1;0.1;5.6;7.4;0.013;0.002;0.030;0.021;4.5;-1.0;0.5;-1.2
SCHÖLL Richárd;2024-25;Kecskemét;37.9;-13.3;-13.0;-18.6;-0.3;-9.7;-13.4;-0.029;0.033;-0.042;-0.051;-4.3;-4.0;0.9;3.3;3.3;5.1;0.020;0.007;0.001;0.054;5.0;4.2;-0.1;1.3
ILLÉS Máté;2024-25;Oroszlány;37.9;-10.2;-4.8;-6.6;-0.4;-0.2;0.4;-0.031;0.063;-0.018;0.057;0.9;2.5;-0.9;-0.2;4.6;7.1;-0.019;0.034;0.004;0.048;4.7;-1.4;-1.5;-0.2
KOVÁCS Ákos;2022-23;Atomerőmű SE;37.5;3.5;4.7;6.3;0.3;3.1;3.7;-0.023;0.015;0.036;0.033;-0.2;-5.6;1.7;0.9;-1.6;-2.6;-0.034;0.028;0.005;0.069;-5.3;3.3;0.0;0.9
KERPEL-FRONIUS Balázs;2022-23;Szedeák;37.3;-2.9;-2.4;-3.7;-5.2;-7.0;-2.0;-0.045;0.049;-0.024;0.049;0.9;-6.7;0.3;0.4;-4.6;1.7;-0.039;0.021;0.000;-0.009;3.1;1.7;0.0;0.2
MESZLÉNYI Róbert;2024-25;Sopron;37.2;3.8;3.0;4.0;-0.4;1.0;2.0;-0.016;0.000;0.013;-0.016;-3.1;-2.7;-0.7;-1.0;-2.0;-2.0;-0.039;0.029;0.011;-0.039;-0.9;0.8;0.8;0.1
Isaiah CRAWLEY;2022-23;Bp. Honvéd;36.9;-7.7;-0.4;0.4;6.8;7.6;1.1;0.071;-0.046;0.045;0.024;-4.2;-0.4;2.0;0.0;8.0;0.7;0.038;-0.011;-0.008;-0.067;0.9;-0.7;0.0;0.2
Kahlil DUKES;2024-25;Atomerőmű SE;36.5;6.9;-6.6;-9.0;0.8;-3.2;-5.5;-0.027;-0.016;-0.015;0.013;-1.4;-4.2;1.9;-2.2;3.4;3.5;0.047;-0.048;-0.019;-0.013;2.5;0.6;-3.7;-0.6
RÉVÉSZ Ádám;2022-23;Szolnok;36.0;7.9;-0.6;-0.6;-0.9;-1.9;-1.2;-0.008;0.043;-0.007;0.006;-3.2;5.9;-0.9;1.2;-1.3;-0.6;0.028;-0.035;0.000;0.034;-0.6;2.0;0.0;-0.7
Anthony ROBERTS;2023-24;Alba Fehérvár;35.9;5.6;-6.9;-9.1;0.2;-6.3;-8.6;0.076;-0.077;-0.039;0.031;-7.0;-0.4;-1.2;1.8;0.6;0.5;0.037;-0.013;-0.008;0.049;-0.4;8.3;0.0;2.9
Tadija TADIĆ;2023-24;DEAC;35.7;-0.1;5.6;7.9;-1.7;5.0;9.8;-0.021;0.041;0.018;0.039;1.2;-8.2;-2.9;-2.1;-0.6;1.9;0.006;0.000;-0.007;0.067;2.8;2.4;0.0;2.7
TAKÁCS Zsolt;2024-25;Oroszlány;35.6;-7.9;-1.1;-1.5;-0.2;-6.0;-7.7;-0.039;0.052;-0.050;0.011;0.7;2.2;0.6;-0.2;-4.9;-6.2;-0.031;0.009;-0.053;0.056;0.2;1.9;0.6;-0.8
Marko LUKOVIĆ;2023-24;Kecskemét;35.3;-4.7;-4.2;-6.0;-1.8;-3.8;-2.5;0.035;-0.036;-0.037;0.011;4.1;0.3;0.8;1.8;0.4;3.5;0.000;-0.029;0.026;-0.045;0.9;0.3;0.0;-2.0
HALMAI Dániel;2023-24;Kaposvár;35.2;0.8;7.5;10.6;-3.2;3.3;10.1;-0.063;0.070;0.040;0.013;3.4;3.8;-0.1;-0.4;-4.2;-0.5;-0.042;0.016;-0.002;0.052;2.1;-3.4;0.0;0.5
Aaron JONES;2024-25;ZTE;35.1;-0.3;-0.2;-0.2;0.1;-8.2;-11.4;-0.019;0.010;-0.053;0.002;-1.6;0.9;1.8;1.1;-8.0;-11.2;0.006;-0.001;-0.065;-0.014;-5.9;-0.3;-0.3;1.2
Miloš GLIŠIĆ;2024-25;Szedeák;35.1;0.0;13.3;18.3;-2.5;3.2;8.1;-0.035;0.012;0.035;0.029;-1.0;1.8;-1.6;0.3;-10.1;-10.2;0.004;-0.021;-0.035;-0.028;-1.2;-5.4;2.3;-2.4
Jordan WILLIAMS;2022-23;NYBS;35.0;-18.3;-7.9;-9.9;2.0;-5.1;-9.3;-0.009;-0.029;-0.017;-0.020;-6.1;1.3;1.6;-2.5;2.8;0.6;-0.056;0.025;0.010;-0.018;-0.9;-0.8;0.0;3.0
POLSTER Attila;2022-23;ZTE;35.0;-4.7;-7.9;-10.8;-1.4;-7.6;-8.1;0.000;0.006;-0.047;-0.023;-0.9;1.0;-1.5;-1.5;0.3;2.7;0.019;-0.036;0.022;-0.034;1.3;0.0;0.0;1.4
Amadou SIDIBÉ;2023-24;Sopron;35.0;0.4;9.5;12.9;-0.2;12.0;16.5;-0.024;0.021;0.066;0.024;5.3;3.6;-0.6;-1.8;2.5;3.6;0.034;-0.047;0.000;0.037;3.7;-0.1;0.0;1.4
KOPÁCSI Ákos;2024-25;Bp. Honvéd;35.0;0.7;6.4;8.8;-0.5;7.3;10.7;-0.006;0.014;0.021;0.054;6.1;1.9;-0.7;-2.9;0.9;1.9;0.034;-0.009;0.009;0.022;1.4;-7.2;0.8;0.3
De'Sean PARSONS;2022-23;Kaposvár;34.9;-2.4;2.4;3.3;-0.7;-0.4;0.5;0.034;-0.032;-0.015;0.030;2.8;-1.0;-1.5;-3.1;-2.8;-2.8;-0.009;-0.018;0.005;-0.062;-3.2;-5.2;0.0;1.1
KOVÁCS Ákos;2023-24;Atomerőmű SE;34.4;-7.8;-7.2;-10.0;-2.5;-6.8;-5.5;-0.009;-0.001;-0.045;0.034;-4.3;-5.7;-2.6;-2.0;0.4;4.5;-0.009;-0.013;0.005;-0.010;-1.0;4.9;0.0;1.1
PAÁR Márk;2023-24;Kaposvár;34.0;-3.9;0.2;0.4;1.1;1.2;-0.1;0.044;-0.038;-0.003;-0.026;2.6;4.0;-0.3;0.5;1.0;-0.5;0.028;-0.008;0.010;-0.044;-2.8;3.4;0.0;-0.8
Jordan WALKER;2023-24;NKA Pécs;34.0;3.2;5.5;7.4;-1.9;3.5;7.5;-0.014;0.028;0.037;0.089;0.1;2.0;0.5;2.5;-2.0;0.1;-0.029;0.026;-0.002;0.082;-1.8;1.0;0.0;2.6
IVKOVICS Milán;2022-23;Kecskemét;34.0;-3.9;-2.7;-3.8;-0.7;-2.9;-3.0;0.028;-0.006;-0.055;0.022;7.0;0.7;-0.7;-0.8;-0.2;0.8;-0.018;-0.004;0.003;-0.024;-3.6;4.1;0.0;-0.1
HENDLEIN Roland;2022-23;Kaposvár;33.6;-6.9;-4.4;-6.7;-6.1;-9.1;-3.3;-0.093;0.055;-0.046;-0.046;8.6;-3.5;-1.0;-0.1;-4.7;3.4;-0.046;0.042;-0.025;0.067;0.2;-2.5;0.0;1.8
FAZEKAS Csaba;2022-23;NYBS;33.5;-12.4;1.2;1.5;-0.1;1.1;1.5;0.023;0.014;-0.006;0.002;4.5;-1.8;-1.4;-0.5;-0.1;0.0;0.065;-0.031;-0.002;0.035;-5.7;-4.9;0.0;-1.9
Keith WRIGHT;2023-24;Atomerőmű SE;33.4;-0.5;3.8;5.1;0.7;-3.0;-4.9;-0.047;0.028;-0.051;-0.005;-1.0;-1.7;-1.1;-1.3;-6.8;-10.0;-0.069;0.031;-0.034;-0.035;-2.4;9.1;0.0;-0.1
BOGDÁN Benedek;2022-23;Kaposvár;33.2;0.2;6.2;8.3;-5.8;-3.7;3.9;0.029;-0.039;0.006;0.044;1.0;-2.5;-0.6;-2.9;-9.9;-4.4;-0.020;0.025;-0.019;0.003;-0.5;-3.9;0.0;-0.4
KASS Balázs;2023-24;Alba Fehérvár;33.2;6.9;-4.7;-5.9;-2.1;-3.8;-1.6;-0.013;0.022;-0.007;0.003;-0.8;5.2;0.1;-1.1;0.9;4.3;-0.039;0.016;0.019;-0.045;-4.1;-4.9;0.0;-1.9
KUCSERA Dániel;2022-23;Kecskemét;33.2;-2.7;-0.9;-1.5;-1.0;-6.0;-7.0;-0.028;0.025;-0.018;-0.050;-4.5;-1.2;-0.2;0.1;-5.1;-5.5;0.019;-0.010;-0.003;0.005;-2.6;-3.8;0.0;1.2
FILIPOVITY Márkó;2023-24;Kaposvár;33.0;-3.8;0.4;0.6;-1.3;3.9;7.7;-0.055;0.039;0.055;-0.047;6.8;-0.4;2.0;-0.7;3.5;7.1;-0.009;0.011;0.014;0.023;-1.8;-2.5;0.0;3.0
HALMAI Dániel;2024-25;Atomerőmű SE;32.8;7.6;-5.2;-6.9;-0.9;-6.1;-6.8;0.000;0.016;-0.037;-0.043;2.4;5.9;-0.9;-0.4;-0.9;0.1;0.007;0.009;-0.002;0.061;-1.3;2.6;1.7;0.1
HAJDU Péter;2023-24;Bp. Honvéd;32.6;-0.5;2.1;2.8;-4.2;-4.3;0.3;-0.046;0.051;-0.006;-0.042;0.0;-0.9;-1.6;0.7;-6.4;-2.5;-0.008;0.018;-0.032;0.086;6.6;7.3;0.0;1.2
TAKÁCS Milán;2022-23;Alba Fehérvár;32.5;7.7;-2.1;-2.1;-3.3;-5.0;-1.3;-0.060;0.005;-0.001;0.049;-0.6;3.1;0.8;-1.2;-2.9;0.8;-0.027;0.010;-0.009;0.050;1.8;2.6;0.0;-2.0
RÉVÉSZ Ádám;2024-25;Atomerőmű SE;32.4;8.7;-3.5;-4.5;-0.9;1.0;2.9;-0.044;0.057;0.039;-0.028;-3.3;8.7;-0.6;-1.9;4.5;7.5;0.027;-0.004;0.006;0.000;6.2;-0.8;-1.4;0.8
Kenny WOOTEN;2023-24;Atomerőmű SE;32.4;-0.1;4.4;5.9;1.1;2.6;1.9;0.012;-0.018;0.009;-0.001;-0.6;3.0;0.7;7.0;-1.8;-4.0;-0.011;-0.017;-0.044;-0.022;4.5;-6.0;0.0;1.8
KUCSORA Csaba;2023-24;Atomerőmű SE;31.9;-0.8;3.3;4.5;2.3;3.1;0.6;0.009;-0.041;0.009;0.027;0.4;-3.8;1.1;-1.9;-0.2;-3.9;-0.003;-0.017;-0.020;0.041;1.2;-11.6;0.0;-0.7
RUDNER Gábor;2022-23;Szolnok;31.8;9.7;2.0;3.0;-0.6;1.4;2.9;-0.036;0.024;0.013;-0.035;-0.9;-2.6;-1.5;-0.1;-0.6;-0.1;0.016;0.001;0.009;0.049;3.4;-2.1;0.0;1.1
BALSAY Ádám;2023-24;Oroszlány;31.7;-1.2;-3.1;-4.1;1.0;3.0;2.4;0.027;-0.029;0.017;0.011;1.6;5.9;0.1;-1.2;6.1;6.5;-0.009;0.017;0.048;0.021;0.5;7.4;0.0;1.8
SITKU Márton;2022-23;Sopron;31.6;-1.7;-6.5;-8.9;-2.0;-7.3;-7.0;-0.010;0.048;-0.056;-0.004;1.0;5.4;-1.1;0.8;-0.8;1.9;0.051;-0.047;-0.011;-0.040;1.6;1.7;0.0;-1.6
BALOGH Szilárd;2022-23;Szedeák;31.5;-0.1;1.8;2.4;-2.9;-5.3;-2.9;0.047;-0.058;-0.021;0.014;0.9;10.3;0.2;0.6;-7.1;-5.3;0.050;-0.028;-0.021;0.063;-1.8;0.3;0.0;-0.2
MÓCSÁN Bálint;2024-25;DEAC;31.5;-0.3;-1.6;-2.2;1.6;-2.2;-5.5;-0.027;0.052;-0.028;-0.005;-1.6;7.6;0.2;-0.9;-0.6;-3.2;-0.002;-0.017;-0.007;-0.038;1.6;-1.8;1.4;1.0
SCHERER Bálint;2024-25;NKA Pécs;31.4;-5.5;-8.9;-12.1;1.3;1.8;0.4;-0.044;0.051;-0.012;0.005;1.0;-1.1;-1.5;-3.7;10.7;12.5;0.005;-0.031;0.053;0.022;2.9;-7.6;-1.0;1.9
Marcus LEWIS;2024-25;Szolnok;31.3;0.1;-5.8;-7.7;-0.5;-10.7;-13.6;-0.036;0.024;-0.071;0.000;-2.9;-8.0;1.2;2.2;-4.9;-5.9;-0.017;0.010;-0.011;-0.032;-0.4;0.7;2.3;0.1
Chris PAYTON;2024-25;PVSK;31.2;-12.0;-3.5;-4.1;3.0;-1.5;-6.2;0.092;-0.080;-0.010;-0.059;2.8;-6.2;2.5;1.9;2.0;-2.1;-0.024;-0.013;0.013;-0.028;-4.0;-7.5;0.9;0.6
Justin EDWARDS;2022-23;Körmend;31.0;-4.6;-3.7;-4.8;2.4;-2.1;-6.4;0.046;-0.035;-0.018;0.067;1.4;0.0;2.6;0.5;1.6;-1.6;0.005;0.017;0.001;-0.012;-4.9;-2.5;0.0;-0.2
Shamiel STEVENSON;2023-24;Oroszlány;31.0;5.2;6.2;8.1;-1.3;7.1;11.3;-0.029;0.006;0.079;0.026;5.3;-4.8;1.5;-0.1;0.9;3.2;-0.029;-0.026;0.028;-0.030;2.6;4.4;0.0;-1.7
RÉVÉSZ Ádám;2023-24;Szolnok;31.0;1.3;2.7;3.5;-4.4;-3.3;2.2;-0.063;0.034;-0.003;-0.036;4.8;4.1;-1.5;1.7;-6.0;-1.3;0.007;0.005;-0.025;0.007;1.7;-0.8;0.0;-0.6
HAJDU Péter;2022-23;Bp. Honvéd;30.8;-11.3;-5.5;-8.9;-7.1;-8.9;-2.4;-0.055;0.068;-0.051;0.011;1.2;4.4;-2.0;-1.6;-3.4;6.5;0.002;0.005;0.017;0.112;-0.3;7.0;0.0;1.6
MELEG Gergő;2023-24;NKA Pécs;30.8;-0.7;-0.4;-0.4;1.6;2.3;0.8;0.054;-0.031;-0.012;-0.045;3.2;-5.6;-1.0;-2.5;2.7;1.2;0.024;-0.032;0.017;-0.024;-2.7;-12.4;0.0;-1.5
KISS Mátyás;2023-24;Körmend;30.6;-9.1;-7.2;-10.1;-3.9;-13.1;-12.0;-0.049;0.024;-0.030;-0.053;-1.0;-0.8;2.4;0.8;-5.9;-1.9;0.021;-0.011;-0.034;-0.008;4.0;0.8;0.0;0.0
KOPÁCSI Ákos;2023-24;Bp. Honvéd;30.4;-1.7;0.3;0.4;-0.3;-0.7;-0.5;-0.021;0.024;0.014;0.033;0.1;-5.2;2.4;-1.4;-1.0;-0.9;0.035;-0.037;-0.016;0.019;1.5;5.3;0.0;-0.5
CSUTI Kornél;2024-25;Oroszlány;30.2;-15.2;-11.4;-15.0;2.5;-2.3;-6.8;-0.045;0.045;-0.028;-0.006;-8.7;-0.2;-1.5;-0.5;9.1;8.3;0.088;-0.065;0.012;0.072;4.5;0.7;-0.6;1.0
VÖLGYI Marcell;2022-23;Bp. Honvéd;30.0;1.4;12.7;17.3;0.3;3.2;3.8;-0.025;0.009;0.016;0.029;1.7;-5.4;1.0;-2.0;-9.5;-13.5;0.001;-0.024;-0.037;0.002;0.3;-4.2;0.0;0.3
Elijah CLARANCE;2023-24;Atomerőmű SE;29.9;-3.4;-0.5;-0.5;4.9;7.6;2.8;0.046;-0.018;0.042;0.001;-2.3;3.3;1.4;-1.5;8.1;3.3;0.049;-0.012;0.028;-0.027;1.7;-5.1;0.0;-0.6
Shane HENRY;2022-23;Oroszlány;29.9;2.1;6.0;8.3;-1.0;1.9;4.3;0.022;-0.016;0.025;-0.017;4.2;7.1;0.4;0.9;-4.1;-4.0;-0.002;0.020;-0.047;0.099;1.0;-1.0;0.0;-3.8
Olekszandr MISULA;2023-24;ZTE;29.9;-6.2;-2.2;-2.7;2.8;2.5;-0.9;-0.077;0.075;-0.003;0.082;-8.8;3.7;-0.1;0.0;4.7;1.8;0.033;-0.038;0.004;0.049;-4.2;-7.7;0.0;-0.3
HŐGYE Patrik;2024-25;DEAC;29.6;-7.3;-11.5;-16.0;1.1;-7.8;-12.5;0.024;-0.020;-0.066;0.015;3.0;-5.5;2.8;0.7;3.8;3.5;-0.022;0.022;0.002;0.108;0.1;-3.9;0.4;0.3
Remy ABELL;2024-25;NKA Pécs;29.6;-0.1;-1.1;-1.5;3.8;3.0;-1.5;0.005;0.020;0.037;-0.008;-7.1;-5.6;3.2;-1.5;4.0;0.0;0.043;-0.053;-0.006;-0.043;3.4;-0.8;-1.1;-0.9
James JEAN-MARIE;2023-24;Kaposvár;29.4;-5.2;-1.6;-2.4;0.0;1.3;1.6;-0.003;-0.023;-0.004;0.033;3.2;-3.5;0.5;-0.5;2.9;4.0;0.029;-0.038;0.019;0.022;6.6;-4.4;0.0;-2.9
CSÁTALJAY Péter;2023-24;ZTE;29.3;-6.2;-2.3;-3.2;-1.7;1.7;5.0;0.023;-0.014;0.030;0.041;1.1;-0.6;-0.9;-1.3;4.0;8.2;-0.039;0.055;0.041;0.057;0.3;1.1;0.0;0.6
TAKÁCS Milán;2023-24;Alba Fehérvár;29.2;10.0;0.0;0.5;-2.6;-3.5;-0.4;-0.071;0.062;-0.034;-0.030;6.7;-5.0;-1.6;0.2;-3.5;-0.9;0.021;-0.017;-0.004;-0.002;0.1;-6.0;0.0;0.3
REIZINGER Máté;2023-24;Bp. Honvéd;29.2;-12.2;-14.6;-20.5;-2.6;-8.0;-7.2;-0.003;-0.008;-0.050;0.030;4.7;2.3;0.5;-2.3;6.6;13.3;0.008;-0.014;0.048;0.035;-0.7;-3.0;0.0;-1.8
HŐGYE Patrik;2023-24;DEAC;29.1;-3.1;0.9;1.1;-0.4;-0.1;0.4;-0.002;-0.040;0.008;-0.042;2.0;-5.6;0.3;-0.7;-1.0;-0.7;-0.007;0.017;-0.008;0.062;0.9;1.9;0.0;0.5
KOVÁCS Ákos;2024-25;DEAC;29.1;-2.4;-4.6;-6.3;2.2;-1.3;-5.0;0.001;0.009;-0.008;-0.009;-1.2;1.2;0.5;4.5;3.2;1.3;0.008;-0.012;-0.022;0.086;6.7;-2.8;1.7;-0.3
NÉMETH Ákos;2024-25;Alba Fehérvár;29.1;-1.7;-2.1;-2.8;1.2;4.2;3.6;0.023;-0.018;-0.033;0.070;10.2;-4.7;-1.0;-0.7;6.3;6.4;0.004;-0.013;0.052;0.011;-6.0;-3.4;-0.1;1.9
KISS Benedek;2024-25;Körmend;28.9;-11.3;-10.4;-13.7;1.3;-7.4;-11.8;-0.028;0.004;-0.052;-0.038;-1.1;1.0;0.5;-2.1;3.0;1.9;0.021;-0.025;0.006;-0.026;2.0;-0.6;0.4;0.8
RUDNER Gábor;2023-24;Szolnok;28.6;4.1;6.5;8.7;-2.7;-1.4;2.1;-0.033;0.040;0.000;-0.014;1.9;-3.4;-1.1;-0.3;-7.9;-6.6;-0.022;0.005;-0.040;0.101;-1.2;3.6;0.0;1.2
MUCZA Tamás;2024-25;Bp. Honvéd;28.5;-13.5;-14.0;-19.5;-1.0;-6.5;-7.5;0.020;-0.016;-0.041;-0.017;0.1;-2.8;0.9;-0.2;7.6;12.0;0.010;0.015;0.038;0.053;7.0;-5.2;-1.2;0.2
KISS Mátyás;2024-25;Körmend;28.5;-3.4;0.7;0.9;-0.7;-5.2;-5.9;-0.035;0.073;-0.034;0.068;-1.5;5.8;0.9;1.9;-5.9;-6.8;-0.047;0.022;-0.056;0.114;-3.4;-0.4;0.4;0.8
GÉRINGER Gergő;2023-24;Atomerőmű SE;28.3;-0.2;3.9;5.4;3.2;9.9;8.5;-0.026;0.035;0.064;-0.019;3.2;3.4;0.6;3.4;6.0;3.1;0.028;-0.020;0.032;0.001;-2.4;-2.5;0.0;-2.3
COHILL Eric;2024-25;Szedeák;28.2;-11.5;-4.1;-5.6;0.8;-0.1;-1.2;-0.025;0.009;-0.031;0.026;4.8;1.7;-1.2;-1.3;4.0;4.4;-0.001;0.016;0.042;0.030;-2.6;1.7;1.3;0.3
BALOGH Máté;2023-24;Alba Fehérvár;28.2;0.2;-13.7;-17.8;-3.8;-9.5;-6.6;0.015;-0.025;-0.029;0.042;-1.4;-8.5;0.7;-1.8;4.2;11.2;-0.002;0.021;0.037;0.101;2.2;4.8;0.0;1.8
Lovre BAŠIĆ;2023-24;Körmend;27.9;-1.8;3.2;4.5;4.3;11.1;8.3;0.013;0.011;0.055;0.004;-1.4;13.0;-0.5;-0.7;7.9;3.8;-0.012;0.002;0.058;-0.030;-3.8;0.7;0.0;1.0
SITKU Márton;2023-24;Sopron;27.9;-4.2;2.3;3.0;-1.7;-5.5;-5.2;-0.015;0.052;-0.039;0.072;-5.2;-2.3;0.0;-1.7;-7.8;-8.2;0.051;-0.047;-0.045;0.014;4.0;-5.7;0.0;1.8
FRANK Áron;2022-23;Atomerőmű SE;27.8;4.9;6.1;8.2;-1.4;2.2;5.0;-0.010;0.019;0.047;-0.020;-2.5;3.5;-0.8;-0.7;-3.9;-3.2;0.039;-0.021;-0.043;0.033;2.4;-2.2;0.0;0.0
POLÁNYI Kristóf;2022-23;Szedeák;27.6;-5.8;-6.1;-8.5;0.6;-0.7;-1.8;-0.046;0.036;0.001;-0.043;2.9;-0.7;0.9;-1.2;5.4;6.7;-0.005;-0.011;0.055;-0.016;-0.1;1.8;0.0;-0.3
ZSÍROS Péter;2022-23;ZTE;27.4;-6.7;-9.8;-13.5;-1.4;-5.4;-5.3;-0.018;0.010;-0.026;-0.010;-2.4;2.0;-1.5;0.5;4.4;8.2;0.061;-0.025;0.020;0.060;1.7;-3.7;0.0;0.6
Tristan IKPE;2023-24;ZTE;27.4;-6.7;-2.9;-4.2;-1.0;-5.4;-5.9;0.022;-0.021;-0.042;-0.075;3.0;-5.1;-0.4;1.3;-2.5;-1.7;-0.034;0.046;-0.026;-0.069;7.4;8.5;0.0;0.1
COHILL Eric;2023-24;Szedeák;27.4;0.6;3.4;4.5;-0.7;0.5;1.8;-0.022;0.043;0.017;-0.018;2.3;-1.2;0.8;0.2;-2.9;-2.7;-0.025;0.007;0.016;-0.015;-2.1;-5.2;0.0;-0.4
SIMON Kristóf;2023-24;Bp. Honvéd;27.3;-6.0;-5.7;-8.1;-4.2;-7.6;-4.4;0.011;-0.034;-0.005;-0.061;0.8;-2.1;0.0;0.7;-1.9;3.7;-0.037;0.031;0.018;0.023;-1.9;0.0;0.0;1.6
Mike MOORE;2022-23;Körmend;27.3;-4.2;-2.9;-3.7;2.0;3.6;2.0;-0.033;-0.003;0.018;-0.099;0.0;-3.2;-1.2;0.0;6.5;5.7;-0.016;-0.018;0.037;0.000;3.4;-1.0;0.0;-0.1
DOROGI Gergő;2022-23;Oroszlány;27.3;-9.6;-10.3;-14.8;-4.3;-12.0;-10.5;-0.016;0.017;-0.038;-0.022;-3.4;-0.4;2.0;-1.8;-1.7;4.3;-0.008;-0.023;0.002;0.036;5.6;-2.2;0.0;-2.4
SZOBI Dániel;2022-23;NYBS;27.2;-9.2;5.5;6.8;-2.0;-0.5;1.9;0.014;-0.010;-0.004;0.049;3.0;0.1;-0.2;-1.2;-6.0;-4.9;-0.017;0.009;-0.051;0.049;1.2;-6.8;0.0;1.8
Ognjen MIĆOVIĆ;2024-25;PVSK;27.2;-12.3;-3.7;-4.9;0.1;-3.7;-5.2;0.005;0.013;-0.030;-0.003;0.7;-1.8;1.6;-0.7;-0.1;-0.3;0.038;-0.017;-0.003;0.001;1.0;1.1;-0.1;-0.3
PERINGER Balázs;2023-24;Bp. Honvéd;27.0;-1.9;-0.1;0.1;0.6;-2.4;-4.1;-0.068;0.091;-0.022;-0.063;3.4;-1.0;0.4;0.6;-2.3;-4.2;-0.020;0.017;-0.036;-0.037;-0.1;5.8;0.0;-0.5
SZABADFI Márk;2023-24;Oroszlány;26.9;2.7;2.5;3.4;-2.9;-2.5;1.0;0.015;-0.026;-0.015;0.052;-0.1;-6.1;-0.2;-0.2;-5.0;-2.4;0.007;-0.017;-0.039;0.004;0.1;1.4;0.0;-1.4
