Játékos;Szezon;Csapat;G;Min;Min PG;GmSc;GmSc PG;GmSc 100;adj. GmSc;adj. GmSc PG;adj. GmSc 100;VAL;PER;USG%;% Team Poss;PTS Prod;Floor %;ORtg;DRtg;Net Rtg;OWS;DWS;WS;WS40;MVP Index;Gy;V;Gy%
KOVÁCS Ákos;2024-25;Atomerőmű SE;18;87;4.9;9;0.5;5.8;12;0.7;7.7;1.2;5.3;16.9;16.9;26;0.38;97;111;-13.9;-0.1;0.1;0.1;0.028;15;15;3;83.3
TAKÁCS Dániel;2022-23;Bp. Honvéd;11;85;7.7;3;0.2;1.7;3;0.3;2.3;1.5;2.3;13.5;13.5;15;0.29;77;114;-37.2;-0.2;0.1;-0.1;-0.064;-10;2;9;18.2
VERASZTÓ Péter;2024-25;Falco KC;28;82;2.9;8;0.3;5.2;10;0.4;7.0;0.9;3.4;21.2;21.5;25;0.31;77;97;-20.3;-0.3;0.3;-0.1;-0.024;3;26;2;92.9
SEBŐK András;2022-23;Szolnok;15;81;5.4;6;0.4;4.3;9;0.6;5.9;1.5;4.3;15.6;15.3;19;0.39;86;110;-23.5;-0.1;0.1;0.0;-0.013;4;10;5;66.7
VÁRSZEGI Ádám;2024-25;DEAC;12;79;6.6;7;0.6;4.9;9;0.8;6.6;1.0;3.8;14.9;14.2;15;0.30;73;106;-32.7;-0.2;0.2;-0.1;-0.034;1;8;4;66.7
CSIZMADIA Attila;2022-23;Atomerőmű SE;10;76;7.6;14;1.4;9.7;19;1.9;13.3;2.9;9.4;15.6;15.1;19;0.45;92;106;-14.5;-0.1;0.1;0.1;0.032;18;6;4;60.0
BONIFERT Bendegúz;2022-23;NYBS;12;76;6.3;7;0.5;4.7;9;0.7;6.4;2.2;4.7;11.8;12.1;14;0.41;82;118;-35.7;-0.1;0.0;-0.1;-0.058;-3;1;11;8.3
GULYÁS Milán;2023-24;Atomerőmű SE;6;75;12.5;21;3.4;15.2;28;4.7;20.8;6.5;15.3;15.4;15.1;25;0.46;121;111;10.5;0.1;0.1;0.3;0.134;43;0;6;0.0
NÉMETH András;2024-25;PVSK;11;74;6.8;8;0.7;5.7;11;1.0;7.6;1.3;5.8;9.5;9.3;13;0.37;103;120;-17.8;0.0;0.0;0.0;0.002;8;2;9;18.2
ARABO Abraham;2023-24;Szolnok;6;72;12.0;11;1.8;8.0;15;2.4;10.9;4.3;7.7;17.7;18.3;21;0.43;87;108;-21.3;-0.2;0.1;0.0;-0.010;9;3;3;50.0
PALLAI Tamás;2022-23;Szolnok;4;68;17.0;32;8.1;27.2;44;11.1;37.1;11.3;24.8;23.4;20.3;31;0.50;129;99;30.5;0.3;0.2;0.5;0.275;74;4;0;100.0
CSORVÁSI Milán;2022-23;Kaposvár;9;65;7.2;10;1.1;8.4;14;1.5;11.4;2.6;8.0;20.8;20.9;22;0.43;86;118;-32.2;-0.2;0.0;-0.1;-0.086;-3;3;6;33.3
BALOGH Máté;2022-23;Körmend;8;63;7.9;13;1.6;11.2;18;2.2;15.3;2.5;10.7;15.8;15.7;17;0.47;96;114;-18.8;0.0;0.0;0.0;0.001;14;5;3;62.5
KÉKESI Kolos;2022-23;Atomerőmű SE;8;61;7.6;12;1.5;10.5;16;2.0;14.3;2.3;9.6;12.8;13.0;15;0.42;102;111;-9.4;0.0;0.1;0.1;0.047;17;5;3;62.5
SCHMERA Gergely;2024-25;Körmend;13;58;4.4;14;1.1;13.0;19;1.4;17.6;2.0;13.1;10.6;11.5;17;0.65;138;124;14.2;0.2;0.0;0.1;0.096;26;4;9;30.8
MAJOR Bulcsú;2024-25;Bp. Honvéd;10;56;5.6;8;0.8;7.5;10;1.0;10.1;1.5;7.2;15.8;14.6;12;0.37;81;105;-23.9;-0.1;0.1;0.0;0.000;7;4;6;40.0
LUKÁCSI Gábor;2023-24;NKA Pécs;6;55;9.2;8;1.3;7.7;11;1.8;10.5;2.3;6.2;17.4;16.5;16;0.43;96;125;-29.6;-0.1;0.0;-0.1;-0.056;1;1;5;16.7
CSÁTALJAY Péter;2022-23;Sopron;8;54;6.8;3;0.4;3.1;4;0.5;4.3;1.5;3.0;15.4;14.6;13;0.39;95;115;-20.6;0.0;0.0;0.0;-0.006;2;3;5;37.5
ANTALICS Dániel;2023-24;Kaposvár;8;54;6.8;-10;-1.2;-9.8;-13;-1.7;-13.4;-0.3;-7.6;11.3;10.5;3;0.14;28;119;-90.8;-0.3;0.0;-0.3;-0.204;-34;3;5;37.5
KUCSORA Csaba;2024-25;Atomerőmű SE;18;53;2.9;5;0.3;5.5;7;0.4;7.4;0.5;5.0;19.4;17.8;15;0.34;89;106;-16.4;-0.1;0.1;0.0;0.017;8;14;4;77.8
Darko BAJO;2024-25;Bp. Honvéd;3;53;17.6;8;2.7;8.4;11;3.6;11.3;6.3;9.3;6.2;7.6;9;0.56;119;127;-7.2;0.0;0.0;0.0;0.003;8;0;3;0.0
RÁTGÉBER Tamás;2023-24;NKA Pécs;11;52;4.7;-1;-0.1;-1.0;-1;-0.1;-1.4;0.3;-1.5;15.3;15.1;7;0.21;50;105;-54.8;-0.3;0.1;-0.2;-0.130;-16;6;5;54.5
TAKÁCS Martin;2022-23;Alba Fehérvár;13;51;3.9;8;0.6;8.3;11;0.8;11.3;1.5;8.0;15.0;16.3;15;0.48;100;102;-2.3;0.0;0.1;0.1;0.089;18;11;2;84.6
GÁL Csongor;2024-25;DEAC;8;51;6.3;9;1.1;9.5;12;1.5;12.8;2.6;8.6;14.6;13.8;13;0.42;103;109;-6.8;0.0;0.1;0.1;0.063;15;4;4;50.0
DÁVID Benjámin;2024-25;Kecskemét;6;51;8.6;14;2.3;15.2;19;3.1;20.5;4.0;13.7;22.6;20.8;21;0.43;110;122;-12.1;0.1;0.0;0.0;0.034;17;1;5;16.7
REIZINGER Máté;2022-23;Bp. Honvéd;10;50;5.0;18;1.8;19.4;24;2.4;26.5;2.7;19.2;15.6;15.8;18;0.60;127;108;18.1;0.1;0.1;0.2;0.173;35;2;8;20.0
SEBŐK András;2023-24;Szolnok;13;50;3.8;-5;-0.4;-5.8;-7;-0.6;-7.9;0.5;-5.4;19.1;19.0;10;0.27;53;115;-61.7;-0.3;0.0;-0.3;-0.228;-33;9;4;69.2
Kris MARTIN;2023-24;Alba Fehérvár;5;49;9.8;5;1.0;5.1;7;1.3;7.0;2.0;3.4;21.1;19.5;15;0.39;84;115;-31.3;-0.1;0.0;-0.1;-0.070;-3;5;0;100.0
TARJÁN Izsák;2022-23;Bp. Honvéd;11;48;4.4;14;1.3;16.1;20;1.8;22.0;2.4;16.1;12.3;14.3;16;0.59;124;114;10.8;0.1;0.0;0.2;0.125;26;3;8;27.3
FLASÁR Botond;2024-25;DEAC;10;47;4.7;19;1.9;22.3;26;2.6;30.1;3.1;19.9;22.8;20.1;20;0.52;116;109;6.7;0.1;0.1;0.2;0.137;32;5;5;50.0
CZERMANN Patrik;2024-25;DEAC;8;46;5.7;10;1.3;12.3;14;1.7;16.7;3.0;13.8;15.4;16.6;17;0.60;122;103;18.8;0.1;0.1;0.2;0.187;27;6;2;75.0
BALSAY Ádám;2022-23;Alba Fehérvár;11;45;4.1;5;0.5;6.0;7;0.6;8.1;1.0;5.2;16.7;16.9;12;0.40;82;100;-18.1;-0.1;0.1;0.0;0.014;7;10;1;90.9
ÁRVA-FILE Balázs;2023-24;Oroszlány;14;45;3.2;2;0.2;2.7;3;0.2;3.6;0.9;4.3;11.1;10.2;8;0.41;91;113;-21.6;0.0;0.1;0.0;0.015;4;6;8;42.9
HERCZEG Kristóf;2022-23;Körmend;13;44;3.4;3;0.2;3.8;4;0.3;5.1;0.8;3.1;16.3;17.1;12;0.40;83;123;-39.9;-0.1;0.0;-0.1;-0.110;-8;6;7;46.2
KERTLI Ádám;2024-25;Kecskemét;4;44;10.9;6;1.6;8.1;9;2.1;10.9;3.5;6.5;26.5;25.7;19;0.38;93;124;-31.6;-0.1;0.0;-0.1;-0.093;-3;1;3;25.0
POLSTER Attila;2023-24;Sopron;9;43;4.8;1;0.1;1.3;1;0.2;1.8;0.6;1.8;11.8;10.8;7;0.28;77;121;-43.5;-0.1;0.0;-0.1;-0.073;-6;2;7;22.2
SÁGODI Róbert;2022-23;DEAC;6;42;7.0;12;2.0;15.5;16;2.7;21.1;2.8;14.0;17.8;18.2;16;0.47;115;117;-2.1;0.1;0.0;0.1;0.081;17;1;5;16.7
ASZTALOS Miklós;2024-25;Kecskemét;3;42;14.0;8;2.8;11.3;11;3.8;15.4;5.7;10.5;15.3;15.6;13;0.42;108;117;-8.8;0.0;0.0;0.0;0.044;11;1;2;33.3
TAKÁCS Zsolt;2022-23;Falco KC;16;41;2.6;4;0.3;5.8;6;0.4;8.0;0.9;6.4;11.4;10.1;6;0.37;74;91;-16.6;-0.1;0.2;0.1;0.084;13;15;1;93.8
BOR Gábor;2023-24;NKA Pécs;8;41;5.1;18;2.3;23.1;25;3.1;31.4;3.8;21.2;13.5;12.8;16;0.79;163;104;58.8;0.2;0.1;0.3;0.308;40;4;4;50.0
SZŐKE Bálint;2022-23;Kaposvár;4;40;10.0;11;2.8;15.2;15;3.8;20.6;4.3;14.0;19.1;18.0;14;0.42;109;118;-8.9;0.0;0.0;0.0;0.045;14;1;3;25.0
MOKÁNSZKI Máté;2022-23;Szolnok;5;40;8.0;7;1.3;9.7;9;1.8;13.2;2.6;8.6;14.6;13.4;11;0.50;116;113;3.1;0.1;0.0;0.1;0.090;15;3;2;60.0
HAJDUK Attila Dominik;2023-24;Kaposvár;4;39;9.8;9;2.2;11.8;12;3.0;16.2;3.5;11.7;5.9;5.1;7;0.62;179;124;55.1;0.1;0.0;0.1;0.096;17;1;3;25.0
TÓTH Patrik;2024-25;Kecskemét;5;39;7.7;0;0.1;0.6;1;0.1;0.7;1.6;0.8;11.4;11.4;5;0.27;67;118;-50.8;-0.1;0.0;-0.1;-0.098;-8;2;3;40.0
VÁRSZEGI Ádám;2023-24;DEAC;10;38;3.8;8;0.8;12.3;12;1.2;16.9;1.5;10.5;15.7;16.0;12;0.40;110;116;-6.3;0.0;0.0;0.1;0.059;13;2;8;20.0
MAKKOS Dávid;2023-24;ZTE;7;37;5.3;0;0.0;0.2;0;0.0;0.2;0.4;-0.4;13.9;15.1;8;0.32;72;124;-51.2;-0.1;0.0;-0.1;-0.140;-12;4;3;57.1
KERTÉSZ Dávid;2024-25;Alba Fehérvár;10;36;3.6;4;0.4;6.2;6;0.6;8.4;0.9;6.6;13.9;14.6;9;0.40;93;121;-27.7;0.0;0.0;0.0;-0.040;1;5;5;50.0
LALUSKA Bence;2023-24;Szedeák;8;35;4.4;-1;-0.2;-1.9;-2;-0.2;-2.6;0.5;-1.7;14.2;14.6;6;0.28;57;120;-62.7;-0.2;0.0;-0.2;-0.177;-14;5;3;62.5
HAJDUK Attila Dominik;2022-23;Kaposvár;6;34;5.7;1;0.2;2.1;2;0.3;2.9;1.0;1.3;12.8;11.7;4;0.26;58;116;-58.0;-0.1;0.0;-0.1;-0.126;-8;2;4;33.3
TAKÁCS Martin;2023-24;Alba Fehérvár;12;34;2.8;0;0.0;0.6;1;0.0;0.8;0.3;0.4;11.9;13.0;6;0.33;70;108;-38.0;-0.1;0.1;0.0;-0.044;-3;10;2;83.3
GÓBI Marcell;2022-23;Alba Fehérvár;12;33;2.8;-4;-0.3;-6.1;-5;-0.4;-8.2;0.1;-3.5;4.2;4.3;0;0.00;0;99;-99.4;-0.1;0.1;0.0;-0.010;-5;11;1;91.7
SIMÓ Bence;2023-24;ZTE;7;32;4.6;7;1.1;12.2;10;1.4;16.6;1.6;11.6;11.5;10.8;8;0.46;119;113;5.4;0.0;0.0;0.1;0.092;14;4;3;57.1
BARTIK Zalán;2024-25;Körmend;9;32;3.5;5;0.6;9.1;7;0.8;12.3;0.9;7.6;19.2;18.0;10;0.34;92;121;-29.3;0.0;0.0;0.0;-0.057;1;4;5;44.4
GYIMES Áron;2023-24;ZTE;6;31;5.2;2;0.4;3.8;3;0.5;5.3;0.5;2.7;21.9;19.7;7;0.30;67;122;-54.9;-0.2;0.0;-0.2;-0.201;-13;2;4;33.3
RÁCZ Gábor;2024-25;PVSK;5;31;6.1;-6;-1.1;-9.7;-8;-1.5;-13.2;-1.0;-10.0;12.2;11.8;1;0.04;10;146;-136.1;-0.2;-0.1;-0.3;-0.446;-36;0;5;0.0
KENÉZ Csaba;2023-24;DEAC;3;30;10.0;-4;-1.2;-6.5;-5;-1.6;-9.0;-1.0;-6.9;11.3;11.7;2;0.13;29;112;-83.2;-0.2;0.0;-0.1;-0.187;-16;1;2;33.3
HOCKERUP-FISCHER Dávid;2023-24;NKA Pécs;5;30;6.0;3;0.7;6.0;5;0.9;8.1;2.8;7.4;14.3;14.1;8;0.51;96;109;-12.6;0.0;0.1;0.0;0.044;6;2;3;40.0
ARABO Abraham;2022-23;Szolnok;7;29;4.1;9;1.3;17.2;12;1.7;23.4;2.7;16.8;16.6;17.0;10;0.54;109;86;23.3;0.0;0.1;0.2;0.226;21;7;0;100.0
FAZEKAS Máté;2023-24;Alba Fehérvár;6;29;4.8;-2;-0.3;-3.1;-2;-0.4;-4.1;0.7;-1.5;18.7;18.3;7;0.35;72;117;-44.9;-0.1;0.0;-0.1;-0.133;-11;4;2;66.7
BALÁZSI Ákos;2024-25;DEAC;4;29;7.2;0;0.1;0.8;1;0.1;1.0;1.3;0.3;13.3;13.7;6;0.34;82;113;-30.7;-0.1;0.0;0.0;-0.035;-2;3;1;75.0
VINCZE Roland;2022-23;Szolnok;11;28;2.5;6;0.6;12.8;9;0.8;17.5;0.9;11.7;9.2;6.9;5;0.65;151;106;45.8;0.1;0.1;0.1;0.175;17;9;2;81.8
GERÖLY Márton;2023-24;Körmend;10;28;2.8;-2;-0.2;-2.8;-2;-0.2;-3.8;-0.1;-3.7;22.1;19.3;5;0.17;50;115;-65.1;-0.2;0.0;-0.2;-0.250;-17;4;6;40.0
Zdravko BOŠKOVIĆ;2024-25;Körmend;3;28;9.3;2;0.7;4.3;3;1.0;5.8;2.7;6.4;13.6;13.5;8;0.55;112;117;-5.2;0.0;0.0;0.0;0.055;6;2;1;66.7
PÁPAI Máté;2022-23;Oroszlány;4;26;6.5;5;1.3;11.3;7;1.8;15.4;3.3;12.6;10.4;11.6;7;0.66;134;125;9.2;0.1;0.0;0.0;0.076;10;1;3;25.0
NAGY Péter;2024-25;Körmend;9;26;2.9;10;1.1;19.6;13;1.5;26.4;1.4;18.8;16.7;14.6;10;0.61;138;134;4.3;0.1;0.0;0.0;0.071;13;2;7;22.2
ANTALICS Dániel;2022-23;Kaposvár;5;24;4.8;2;0.4;4.7;3;0.6;6.5;1.0;5.1;11.8;12.3;4;0.37;73;116;-43.1;-0.1;0.0;0.0;-0.081;-2;1;4;20.0
HORVÁTH Ákos;2024-25;Szolnok;12;23;1.9;-6;-0.5;-13.3;-8;-0.6;-18.1;-0.3;-14.1;24.0;22.1;2;0.12;23;106;-83.5;-0.3;0.0;-0.2;-0.414;-28;10;2;83.3
FLASÁR Zalán;2023-24;Sopron;2;22;11.0;5;2.3;10.6;6;3.1;14.4;5.5;11.0;10.2;11.7;4;0.37;80;119;-38.4;0.0;0.0;0.0;-0.058;2;0;2;0.0
HARKA Szabolcs;2024-25;PVSK;5;22;4.4;0;-0.1;-0.7;0;-0.1;-1.0;0.4;1.1;0.0;0.0;0;0.00;0;137;-137.1;0.0;0.0;0.0;-0.090;-5;1;4;20.0
SIMÓ Bence;2022-23;ZTE;8;21;2.6;4;0.5;10.6;6;0.7;14.3;0.9;9.9;23.8;21.0;7;0.42;88;100;-11.9;0.0;0.1;0.0;0.029;6;5;3;62.5
KISS Dominik;2023-24;Szolnok;7;21;3.0;1;0.1;2.0;1;0.2;2.8;0.7;3.3;2.2;4.0;1;0.36;84;116;-32.3;0.0;0.0;0.0;0.010;1;4;3;57.1
Isaiah HILL;2024-25;Oroszlány;1;20;20.1;-1;-1.2;-3.2;-2;-1.6;-4.3;3.0;-2.8;11.7;12.1;3;0.24;68;145;-77.9;-0.1;-0.1;-0.1;-0.257;-13;0;1;0.0
GÉRINGER Gergő;2022-23;Atomerőmű SE;5;19;3.8;-1;-0.3;-4.0;-2;-0.4;-5.5;0.2;-3.8;14.8;14.5;2;0.16;32;104;-71.7;-0.1;0.0;-0.1;-0.197;-9;3;2;60.0
HORVÁTH Ádám;2022-23;Falco KC;9;19;2.1;-2;-0.2;-5.5;-3;-0.3;-7.6;0.0;-4.4;5.0;5.6;1;0.15;33;104;-70.4;-0.1;0.0;0.0;-0.019;-3;9;0;100.0
VASKÓ György;2022-23;NYBS;6;19;3.2;0;0.0;0.0;0;0.0;0.0;0.0;-0.3;2.5;2.7;1;0.24;55;128;-72.8;0.0;0.0;0.0;-0.083;-3;0;6;0.0
NAGY Péter;2023-24;Körmend;7;19;2.7;4;0.5;10.3;5;0.7;13.9;1.0;10.5;15.1;13.7;4;0.39;79;100;-21.5;0.0;0.1;0.0;0.025;5;3;4;42.9
HORVÁTH Ákos;2023-24;Szolnok;3;19;6.3;-3;-1.1;-9.3;-4;-1.5;-12.8;-1.0;-9.1;9.9;8.4;0;0.00;0;127;-127.1;-0.1;0.0;-0.1;-0.269;-15;2;1;66.7
HEGEDÜS Brúnó;2024-25;DEAC;4;19;4.6;1;0.1;1.5;1;0.2;2.1;0.5;1.1;18.3;18.5;5;0.33;80;118;-37.9;-0.1;0.0;0.0;-0.102;-4;2;2;50.0
ÁRVA-FILE Balázs;2024-25;Oroszlány;8;19;2.4;3;0.3;7.1;3;0.4;9.6;0.5;6.5;12.8;11.3;4;0.41;102;129;-27.8;0.0;0.0;0.0;-0.052;0;2;6;25.0
CSOMÓS Kristóf;2022-23;Bp. Honvéd;7;18;2.6;0;0.1;1.2;1;0.1;1.6;0.3;0.8;13.5;11.6;3;0.23;68;118;-51.0;-0.1;0.0;0.0;-0.107;-4;1;6;14.3
KÉKESI Kolos;2024-25;Atomerőmű SE;9;17;1.9;-2;-0.2;-6.8;-3;-0.3;-9.2;-0.2;-6.8;10.4;8.9;1;0.18;41;113;-71.6;-0.1;0.0;0.0;-0.109;-7;8;1;88.9
GERA Ferenc;2024-25;Kecskemét;3;17;5.7;2;0.6;6.1;3;0.9;8.4;1.7;5.4;8.4;7.5;2;0.36;72;118;-46.1;0.0;0.0;0.0;-0.048;0;0;3;0.0
LUKÁCSI Gábor;2024-25;NKA Pécs;1;17;17.4;1;1.2;3.7;2;1.6;4.9;2.0;2.7;24.5;25.2;5;0.26;62;105;-43.0;-0.1;0.0;-0.1;-0.199;-6;0;1;0.0
GÓBI Marcell;2023-24;Alba Fehérvár;8;16;2.0;5;0.6;16.8;7;0.9;23.0;1.1;16.9;8.6;6.1;4;0.63;189;97;92.4;0.1;0.1;0.1;0.283;15;8;0;100.0
KISS Benedek;2023-24;Alba Fehérvár;8;16;2.0;0;0.0;-1.0;0;-0.1;-1.3;0.3;-1.0;14.1;12.3;2;0.21;64;105;-41.4;-0.1;0.0;0.0;-0.043;-2;7;1;87.5
MÉSZÁROS Tamás;2024-25;Szedeák;5;15;3.0;4;0.7;13.0;5;0.9;17.5;0.6;10.3;26.3;22.8;6;0.35;93;108;-15.4;0.0;0.0;0.0;0.006;3;3;2;60.0
ARABO Abraham;2024-25;Szolnok;7;14;1.9;-1;-0.1;-2.4;-1;-0.1;-3.2;0.7;2.0;9.4;11.1;2;0.37;72;94;-21.6;0.0;0.1;0.0;0.055;1;7;0;100.0
PAVLÍK Botond;2022-23;Atomerőmű SE;2;13;6.5;-1;-0.5;-4.3;-1;-0.7;-6.0;0.0;-4.9;32.5;30.0;4;0.26;58;109;-50.5;-0.1;0.0;-0.1;-0.309;-9;1;1;50.0
ARNOLD Botond;2023-24;Atomerőmű SE;3;13;4.3;7;2.3;29.6;10;3.2;40.2;4.0;27.8;12.8;13.4;5;0.68;148;116;31.9;0.1;0.0;0.1;0.197;12;1;2;33.3
VINCZE Roland;2023-24;Szolnok;3;13;4.3;3;1.1;13.2;5;1.5;17.9;2.3;15.2;13.9;12.8;4;0.54;133;117;16.2;0.0;0.0;0.0;0.131;7;1;2;33.3
VÁMOS Ádám;2022-23;Bp. Honvéd;6;12;2.0;5;0.9;24.8;7;1.2;34.0;1.5;25.0;11.8;18.0;5;0.64;139;116;23.1;0.1;0.0;0.1;0.209;11;2;4;33.3
HEGEDÜS Brúnó;2023-24;DEAC;7;12;1.7;-3;-0.4;-12.3;-4;-0.5;-16.6;-0.4;-13.0;28.7;24.1;2;0.17;35;114;-79.5;-0.1;0.0;-0.1;-0.419;-13;2;5;28.6
TÓTH Balázs;2023-24;Kecskemét;4;12;3.0;-1;-0.2;-4.2;-1;-0.3;-5.6;0.3;-1.6;4.1;3.6;0;0.00;0;118;-118.4;0.0;0.0;0.0;-0.082;-3;1;3;25.0
TAKÁCS Zsolt;2023-24;Falco KC;6;11;1.8;5;0.8;21.9;6;1.1;29.9;1.5;19.2;16.5;17.5;4;0.54;113;87;25.4;0.0;0.1;0.1;0.234;10;6;0;100.0
CZERMANN Patrik;2022-23;DEAC;2;10;5.0;4;2.0;22.0;5;2.7;29.9;4.0;19.9;18.8;17.6;4;0.59;121;108;12.3;0.0;0.0;0.0;0.157;6;0;2;0.0
GERÖLY Márton;2022-23;Körmend;4;10;2.5;-1;-0.4;-7.6;-2;-0.5;-10.4;-0.5;-8.6;14.0;12.5;0;0.10;21;139;-118.1;-0.1;0.0;-0.1;-0.397;-11;1;3;25.0
SZUGYICZKI Máté;2024-25;Szolnok;6;10;1.7;1;0.2;4.9;1;0.2;6.5;0.5;4.6;13.2;13.9;2;0.39;81;105;-23.6;0.0;0.0;0.0;0.006;1;6;0;100.0
FÁBIÁN Szabolcs;2022-23;DEAC;2;9;4.5;1;0.6;6.9;2;0.8;9.4;2.0;8.8;10.4;9.7;2;0.59;120;110;10.1;0.0;0.0;0.0;0.104;2;0;2;0.0
HEIMANN Gergő;2023-24;Atomerőmű SE;1;9;9.0;-4;-3.6;-21.8;-5;-4.9;-29.7;-3.0;-19.0;16.4;15.4;0;0.00;0;115;-115.0;-0.1;0.0;-0.1;-0.402;-11;0;1;0.0
FEHÉRVÁRI Csegő;2023-24;Kaposvár;2;9;4.5;-3;-1.4;-16.8;-4;-1.9;-22.8;-1.5;-16.2;15.8;14.6;0;0.00;0;127;-127.1;-0.1;0.0;-0.1;-0.449;-11;0;2;0.0
ARNOLD Botond;2024-25;Atomerőmű SE;4;9;2.3;2;0.4;9.0;2;0.5;12.0;1.0;9.1;20.9;18.5;3;0.45;90;112;-21.9;0.0;0.0;0.0;-0.017;1;3;1;75.0
BOTKA Botond;2022-23;Kecskemét;4;8;2.0;1;0.2;4.2;1;0.2;5.5;0.3;3.3;17.8;16.3;2;0.27;81;123;-41.6;0.0;0.0;0.0;-0.114;-1;1;3;25.0
VÁMOS Ádám;2023-24;Bp. Honvéd;5;8;1.6;0;0.0;-0.7;0;0.0;-0.7;0.0;-1.5;17.4;14.6;2;0.37;75;113;-37.8;0.0;0.0;0.0;-0.066;-1;3;2;60.0
HANSEN Dániel;2023-24;Falco KC;4;8;2.0;-1;-0.4;-9.3;-2;-0.5;-12.6;-0.3;-9.7;16.7;17.4;0;0.00;0;84;-83.8;-0.1;0.0;-0.1;-0.288;-7;4;0;100.0
TÓTH Patrik;2023-24;Kecskemét;4;8;2.0;3;0.7;17.9;4;0.9;24.1;1.0;16.6;12.5;10.6;2;0.48;145;129;16.3;0.0;0.0;0.0;0.083;4;0;4;0.0
TÓTH-ERDEI Máté;2023-24;Körmend;3;8;2.7;-1;-0.3;-6.1;-1;-0.4;-8.1;0.0;-4.7;5.3;5.4;0;0.00;0;112;-112.5;0.0;0.0;0.0;-0.102;-3;2;1;66.7
SÁGODI Róbert;2024-25;DEAC;2;8;4.2;1;0.7;8.7;2;0.9;12.1;1.5;8.2;11.7;11.8;2;0.58;120;118;1.9;0.0;0.0;0.0;0.072;3;1;1;50.0
KELLER Bendegúz;2024-25;Sopron;6;8;1.3;3;0.5;19.9;4;0.7;27.2;0.8;15.9;22.1;23.0;4;0.52;117;121;-3.7;0.0;0.0;0.0;0.091;4;4;2;66.7
HANSEN Dániel;2022-23;Falco KC;3;7;2.3;-1;-0.3;-6.5;-1;-0.4;-9.0;0.0;-5.4;6.9;4.8;0;0.00;0;103;-103.0;0.0;0.0;0.0;-0.045;-2;3;0;100.0
TÓTH Balázs;2022-23;Kecskemét;4;7;1.8;0;0.0;-0.8;0;0.0;-0.8;0.0;-2.4;19.8;17.8;1;0.23;45;120;-74.3;0.0;0.0;0.0;-0.285;-4;2;2;50.0
GERA Ferenc;2023-24;Kecskemét;2;7;3.5;1;0.4;6.4;1;0.6;8.9;1.5;8.7;6.4;6.0;2;1.00;250;131;118.8;0.0;0.0;0.0;0.191;4;1;1;50.0
ANGYAL Medárd;2023-24;NKA Pécs;2;7;3.5;2;0.8;11.6;2;1.1;16.0;1.5;10.3;12.6;10.5;2;0.52;104;122;-18.1;0.0;0.0;0.0;-0.001;1;0;2;0.0
KAZY Balázs;2023-24;NKA Pécs;3;7;2.3;2;0.5;12.1;2;0.7;16.7;1.0;9.5;19.1;17.3;2;0.27;82;89;-7.1;0.0;0.0;0.0;0.077;2;2;1;66.7
RAVASZ Márk;2024-25;PVSK;2;7;3.4;-1;-0.4;-6.5;-1;-0.6;-8.9;0.0;-5.6;7.0;5.8;0;0.00;0;152;-151.6;0.0;0.0;-0.1;-0.337;-6;0;2;0.0
KOVÁCS Áron;2024-25;ZTE;8;7;0.9;1;0.2;10.2;2;0.2;13.9;0.3;9.6;13.0;14.3;2;0.49;101;123;-21.7;0.0;0.0;0.0;-0.019;1;4;4;50.0
TAKÁCS Erik;2022-23;Kecskemét;3;6;2.0;1;0.3;7.4;1;0.4;10.2;0.7;10.0;16.6;12.9;2;0.47;140;131;8.7;0.0;0.0;0.0;0.073;2;1;2;33.3
LENDVAY Bence;2024-25;Bp. Honvéd;2;6;2.9;2;0.8;15.4;2;1.1;21.2;1.0;12.6;25.3;20.3;2;0.37;74;87;-13.0;0.0;0.0;0.0;0.025;2;1;1;50.0
GYIMES Áron;2024-25;ZTE;3;6;1.8;0;0.0;0.0;0;0.0;0.0;0.0;-1.2;8.4;9.0;1;0.31;70;113;-43.0;0.0;0.0;0.0;-0.039;0;3;0;100.0
HEGEDÜS Brúnó;2022-23;DEAC;1;5;5.0;3;3.0;33.0;4;4.1;45.2;5.0;29.1;18.9;20.0;2;0.63;131;97;33.5;0.0;0.0;0.0;0.290;5;0;1;0.0
TÓTH Gergő;2022-23;NYBS;4;5;1.3;2;0.4;19.5;2;0.6;26.3;0.5;18.7;18.8;17.9;2;0.60;123;129;-5.7;0.0;0.0;0.0;0.055;2;0;4;0.0
KELLER Bendegúz;2022-23;Sopron;2;5;2.5;1;0.7;14.8;2;0.9;20.5;1.0;12.0;19.9;16.1;1;0.50;100;122;-21.4;0.0;0.0;0.0;-0.019;1;1;1;50.0
BELLA Ádám;2022-23;Szedeák;2;5;2.5;0;-0.2;-4.4;-1;-0.3;-5.5;0.0;-2.4;0.0;0.0;0;0.00;0;129;-129.2;0.0;0.0;0.0;-0.055;-1;0;2;0.0
KARDA Dominik;2023-24;Bp. Honvéd;3;5;1.7;0;-0.1;-4.4;-1;-0.2;-5.6;0.0;-2.4;0.0;0.0;0;0.00;0;118;-118.2;0.0;0.0;0.0;0.021;0;1;2;33.3
CSIZMADIA Attila;2023-24;DEAC;2;5;2.5;0;0.2;3.4;0;0.2;4.5;0.5;3.4;0.0;0.0;0;0.00;0;106;-105.7;0.0;0.0;0.0;0.090;1;1;1;50.0
