Játékos;Szezon;Csapat;G;Min;Min PG;GmSc;GmSc PG;GmSc 100;adj. GmSc;adj. GmSc PG;adj. GmSc 100;VAL;PER;USG%;% Team Poss;PTS Prod;Floor %;ORtg;DRtg;Net Rtg;OWS;DWS;WS;WS40;MVP Index;Gy;V;Gy%
Derrick WOODS;2023-24;Atomerőmű SE;8;204;25.5;63;7.9;17.3;86;10.8;23.5;15.5;15.4;22.0;21.8;83;0.50;104;113;-8.7;0.0;0.3;0.3;0.052;87;1;7;12.5
A.J. JOHN;2023-24;Oroszlány;7;204;29.1;29;4.2;7.8;40;5.7;10.6;10.0;7.3;19.4;19.3;58;0.34;79;115;-35.3;-0.7;0.2;-0.5;-0.091;-12;1;6;14.3
DOKTOR Péter;2022-23;Körmend;26;201;7.7;28;1.1;7.5;38;1.5;10.2;2.9;8.0;14.5;15.2;57;0.44;102;116;-14.0;0.0;0.1;0.1;0.021;39;13;13;50.0
GARAMVÖLGYI Ákos;2023-24;DEAC;16;200;12.5;15;1.0;4.3;21;1.3;5.9;2.8;4.2;11.2;10.9;33;0.37;85;118;-33.2;-0.3;0.1;-0.2;-0.035;-1;5;11;31.3
ANDA Dávid;2024-25;Szedeák;24;197;8.2;62;2.6;17.5;83;3.5;23.6;5.2;16.6;21.1;20.5;77;0.54;107;114;-7.0;0.1;0.2;0.3;0.061;87;6;18;25.0
CSUTI Kornél;2022-23;ZTE;32;195;6.1;51;1.6;14.1;69;2.2;19.2;3.1;14.6;16.6;15.3;70;0.63;127;115;12.0;0.5;0.1;0.7;0.133;114;17;15;53.1
TÓTH Barna;2022-23;Kecskemét;19;193;10.2;30;1.6;8.5;40;2.1;11.6;3.3;7.6;16.5;15.6;57;0.45;104;120;-15.7;0.0;0.0;0.0;0.009;31;8;11;42.1
SÖVEGJÁRTÓ Ábel;2023-24;Atomerőmű SE;20;192;9.6;18;0.9;5.0;25;1.2;6.9;2.5;5.8;7.6;7.7;33;0.45;120;117;2.8;0.2;0.1;0.3;0.061;43;10;10;50.0
FLASÁR Zalán;2024-25;Sopron;25;190;7.6;64;2.6;18.3;87;3.5;24.7;5.4;18.7;14.7;15.7;75;0.68;136;107;29.2;0.7;0.4;1.1;0.223;151;14;11;56.0
Jaylon TATE;2024-25;Szedeák;6;189;31.5;41;6.9;11.6;56;9.3;15.6;13.2;9.5;23.4;23.3;77;0.44;92;124;-31.3;-0.3;-0.1;-0.4;-0.084;5;0;6;0.0
BENKE Krisztián;2023-24;NKA Pécs;19;188;9.9;20;1.1;5.6;27;1.4;7.6;2.8;6.0;12.5;12.8;44;0.45;95;112;-16.8;-0.1;0.3;0.1;0.025;30;8;11;42.1
KOLLÁR Bence;2024-25;NKA Pécs;15;187;12.5;43;2.8;12.2;58;3.8;16.5;4.3;11.6;12.1;11.0;47;0.51;121;101;20.0;0.3;0.5;0.8;0.165;105;11;4;73.3
Jaycee HILLSMAN;2022-23;NYBS;6;186;31.0;51;8.5;14.9;70;11.6;20.3;15.8;13.5;23.6;22.7;78;0.41;101;115;-14.4;0.0;0.1;0.1;0.018;59;0;6;0.0
Rakeem BUCKLES;2023-24;DEAC;11;186;16.9;44;4.0;13.3;61;5.5;18.1;8.5;12.6;20.2;19.5;70;0.48;107;101;6.2;0.1;0.5;0.6;0.134;101;6;5;54.5
Derek JACKSON;2023-24;Kaposvár;6;184;30.7;38;6.3;11.5;52;8.6;15.6;11.8;9.4;18.2;19.4;60;0.42;94;116;-21.7;-0.2;0.2;-0.1;-0.018;30;2;4;33.3
Marek DOLEŽAJ;2022-23;NYBS;8;181;22.6;35;4.4;10.2;48;5.9;13.9;9.0;9.9;13.9;14.0;47;0.45;97;112;-14.3;-0.1;0.2;0.1;0.027;46;0;8;0.0
BALÁZSI Soma;2022-23;DEAC;21;178;8.5;12;0.6;3.7;16;0.8;5.0;2.0;5.1;7.8;8.5;30;0.51;112;114;-1.8;0.1;0.1;0.2;0.056;33;10;11;47.6
KRIVACSEVICS Markó;2022-23;Falco KC;25;176;7.0;50;2.0;15.6;68;2.7;21.3;4.6;15.5;23.0;23.3;79;0.54;105;103;2.2;0.1;0.4;0.5;0.116;100;21;4;84.0
FAZEKAS Máté;2022-23;Kecskemét;28;176;6.3;25;0.9;7.8;34;1.2;10.6;1.9;7.7;15.2;15.8;50;0.43;99;115;-16.0;-0.1;0.1;0.1;0.013;28;13;15;46.4
GILSZKI Erik;2022-23;Szolnok;24;175;7.3;4;0.2;1.3;6;0.2;1.8;1.0;1.4;10.1;10.2;25;0.31;79;107;-28.8;-0.3;0.3;0.0;0.001;4;18;6;75.0
Chico CARTER Jr.;2024-25;Oroszlány;5;174;34.8;34;6.8;10.7;46;9.2;14.4;13.0;9.2;21.4;21.8;66;0.40;95;104;-9.4;-0.2;0.4;0.2;0.043;51;2;3;40.0
GÁSPÁR Mátyás;2023-24;Oroszlány;23;173;7.5;20;0.9;5.9;27;1.2;8.1;2.9;7.7;9.5;9.6;36;0.55;113;112;1.7;0.1;0.3;0.4;0.083;51;9;14;39.1
PAJOR Dávid;2023-24;Atomerőmű SE;16;168;10.5;13;0.8;4.2;18;1.1;5.8;2.4;4.8;8.2;8.6;28;0.40;108;120;-11.8;0.0;0.1;0.1;0.022;21;4;12;25.0
Devonte GREEN;2022-23;Atomerőmű SE;6;167;27.8;32;5.4;10.7;44;7.4;14.6;10.7;9.1;26.5;25.3;64;0.36;84;100;-16.1;-0.5;0.5;-0.1;-0.018;26;3;3;50.0
Selim FOFANA;2024-25;Sopron;6;167;27.8;38;6.3;12.8;51;8.5;17.3;13.0;10.9;21.5;21.1;60;0.44;97;112;-14.9;-0.2;0.2;0.1;0.015;43;2;4;33.3
