Játékos;Szezon;Csapat;G;Min;PTS;FG made;FG att.;FG%;3P made;3P att.;3P%;EFG%;FT made;FT att.;FT%;TS%;ORB;DRB;TRB;AST;TOV;STL;BLK;PF;GmSc;USG%;PTS Prod;ORTG;DRTG
Marvin CLARK;2024-25;Falco KC;9;191;92;35;67;0.522;16;39;0.410;0.642;6;7;0.857;0.604;0;13;13;11;6;3;0;28;56;18.8;72;129;122
MOLNÁR Márton;2024-25;Sopron;10;190;83;41;76;0.539;0;4;0.000;0.539;1;2;0.500;0.478;20;28;48;5;10;0;2;27;52;20.9;77;107;115
Ilija ĐOKOVIĆ;2023-24;Bp. Honvéd;8;190;76;24;76;0.316;12;54;0.222;0.395;16;20;0.800;0.358;3;16;19;37;21;8;0;20;43;25.7;84;90;108
PONGÓ Máté;2023-24;Szolnok;11;188;84;29;56;0.518;18;32;0.563;0.679;8;11;0.727;0.600;3;25;28;33;9;8;1;22;79;17.2;79;130;114
L.G. GILL;2023-24;Sopron;7;188;79;34;64;0.531;6;16;0.375;0.578;5;9;0.556;0.526;14;24;38;3;7;1;2;10;57;18.5;66;112;122
PONGÓ Marcell;2023-24;Falco KC;10;188;78;27;65;0.415;18;43;0.419;0.554;6;13;0.462;0.449;8;33;41;36;16;12;0;25;67;21.7;87;113;87
POLSTER Attila;2022-23;ZTE;12;187;22;8;30;0.267;6;23;0.261;0.367;0;0;;0.333;5;6;11;2;3;3;0;23;2;8.3;21;79;129
NÉMETH Ákos;2023-24;ZTE;11;186;58;22;52;0.423;2;16;0.125;0.442;12;13;0.923;0.427;6;18;24;16;10;7;0;12;43;17.6;56;98;125
Jordan WALKER;2023-24;NKA Pécs;8;184;95;32;77;0.416;11;36;0.306;0.487;20;28;0.714;0.454;4;15;19;24;15;10;1;20;63;26.3;91;105;107
TÓTH Ádám;2024-25;ZTE;10;181;82;37;61;0.607;1;5;0.200;0.615;7;12;0.583;0.498;15;13;28;3;16;6;0;30;47;21.9;66;100;116
