Játékos;Szezon;Csapat;G;Min;Min PG;PTS;PTS PG;PTS 100;Close made;Close att.;Close made PG;Close att. PG;Close made 100;Close att. 100;Close %;Mid. made;Mid. att.;Mid. made PG;Mid. att. PG;Mid. made 100;Mid. att. 100;Mid. %;2P made;2P att.;2P made PG;2P att. PG;2P made 100;2P att. 100;2P%;3P made;3P att.;3P made PG;3P att. PG;3P made 100;3P att. 100;3P%;FG made;FG att.;FG made PG;FG att. PG;FG made 100;FG att. 100;FG%;EFG%;FT made;FT att.;FT made PG;FT att. PG;FT made 100;FT att. 100;FT%;TS%;Close att. rate;Mid. att. rate;3P att. rate;FT rate
FERENCZ Csaba;2023-24;Körmend;32;719;22.5;269;8.4;20.0;29;59;0.9;1.8;2.2;4.4;0.492;9;24;0.3;0.8;0.7;1.8;0.375;38;83;1.2;2.6;2.8;6.2;0.458;55;134;1.7;4.2;4.1;10.0;0.410;93;217;2.9;6.8;6.9;16.1;0.429;0.555;28;32;0.9;1.0;2.1;2.4;0.875;0.581;27.2;11.1;61.8;0.15
ZSÍROS Péter;2023-24;Szedeák;36;719;20.0;274;7.6;19.8;21;42;0.6;1.2;1.5;3.0;0.500;2;12;0.1;0.3;0.1;0.9;0.167;23;54;0.6;1.5;1.7;3.9;0.426;71;162;2.0;4.5;5.1;11.7;0.438;94;216;2.6;6.0;6.8;15.6;0.435;0.600;15;16;0.4;0.4;1.1;1.2;0.938;0.614;19.4;5.6;75.0;0.07
DURÁZI Krisztofer;2024-25;Körmend;26;712;27.4;355;13.7;26.4;91;162;3.5;6.2;6.8;12.1;0.562;2;6;0.1;0.2;0.2;0.5;0.333;93;168;3.6;6.5;6.9;12.5;0.554;22;68;0.8;2.6;1.6;5.1;0.324;115;236;4.4;9.1;8.6;17.6;0.487;0.534;103;155;4.0;6.0;7.7;11.5;0.665;0.581;68.6;2.5;28.8;0.66
Kassim NICHOLSON;2022-23;Szedeák;20;711;35.6;345;17.3;26.8;96;157;4.8;7.9;7.5;12.2;0.611;18;48;0.9;2.4;1.4;3.7;0.375;114;205;5.7;10.3;8.9;15.9;0.556;24;77;1.2;3.9;1.9;6.0;0.312;138;282;6.9;14.1;10.7;21.9;0.489;0.532;45;57;2.3;2.9;3.5;4.4;0.789;0.561;55.7;17.0;27.3;0.20
DURÁZI Krisztofer;2022-23;Körmend;35;707;20.2;284;8.1;21.6;85;108;2.4;3.1;6.5;8.2;0.787;1;3;0.0;0.1;0.1;0.2;0.333;86;111;2.5;3.2;6.5;8.4;0.775;22;64;0.6;1.8;1.7;4.9;0.344;108;175;3.1;5.0;8.2;13.3;0.617;0.680;46;72;1.3;2.1;3.5;5.5;0.639;0.685;61.7;1.7;36.6;0.41
TÓTH Ádám;2024-25;ZTE;36;707;19.6;333;9.3;25.6;119;191;3.3;5.3;9.1;14.7;0.623;11;18;0.3;0.5;0.8;1.4;0.611;130;209;3.6;5.8;10.0;16.0;0.622;7;16;0.2;0.4;0.5;1.2;0.438;137;225;3.8;6.3;10.5;17.3;0.609;0.624;52;82;1.4;2.3;4.0;6.3;0.634;0.636;84.9;8.0;7.1;0.36
KERPEL-FRONIUS Gáspár;2024-25;NKA Pécs;30;705;23.5;145;4.8;11.2;41;76;1.4;2.5;3.2;5.9;0.539;2;10;0.1;0.3;0.2;0.8;0.200;43;86;1.4;2.9;3.3;6.6;0.500;9;27;0.3;0.9;0.7;2.1;0.333;52;113;1.7;3.8;4.0;8.7;0.460;0.500;32;42;1.1;1.4;2.5;3.2;0.762;0.550;67.3;8.8;23.9;0.37
Jacob CALLOWAY;2022-23;Oroszlány;30;704;23.5;368;12.3;28.8;69;114;2.3;3.8;5.4;8.9;0.605;2;22;0.1;0.7;0.2;1.7;0.091;71;136;2.4;4.5;5.6;10.6;0.522;65;156;2.2;5.2;5.1;12.2;0.417;136;292;4.5;9.7;10.6;22.9;0.466;0.577;31;40;1.0;1.3;2.4;3.1;0.775;0.594;39.0;7.5;53.4;0.14
FILIPOVICS Stefan;2024-25;Bp. Honvéd;30;704;23.5;439;14.6;34.3;139;221;4.6;7.4;10.9;17.3;0.629;13;27;0.4;0.9;1.0;2.1;0.481;152;248;5.1;8.3;11.9;19.4;0.613;5;15;0.2;0.5;0.4;1.2;0.333;157;263;5.2;8.8;12.3;20.6;0.597;0.606;120;181;4.0;6.0;9.4;14.2;0.663;0.637;84.0;10.3;5.7;0.69
KELLER Ákos;2024-25;Falco KC;36;701;19.5;256;7.1;20.1;84;139;2.3;3.9;6.6;10.9;0.604;1;6;0.0;0.2;0.1;0.5;0.167;85;145;2.4;4.0;6.7;11.4;0.586;16;43;0.4;1.2;1.3;3.4;0.372;101;188;2.8;5.2;7.9;14.7;0.537;0.580;38;64;1.1;1.8;3.0;5.0;0.594;0.590;73.9;3.2;22.9;0.34
J.D. PAIGE;2023-24;ZTE;25;698;27.9;351;14.0;27.5;54;84;2.2;3.4;4.2;6.6;0.643;23;47;0.9;1.9;1.8;3.7;0.489;77;131;3.1;5.2;6.0;10.3;0.588;45;117;1.8;4.7;3.5;9.2;0.385;122;248;4.9;9.9;9.6;19.4;0.492;0.583;62;77;2.5;3.1;4.9;6.0;0.805;0.621;33.9;19.0;47.2;0.31
Nemanja NIKOLIĆ;2023-24;NKA Pécs;27;698;25.9;352;13.0;26.7;63;115;2.3;4.3;4.8;8.7;0.548;12;25;0.4;0.9;0.9;1.9;0.480;75;140;2.8;5.2;5.7;10.6;0.536;29;87;1.1;3.2;2.2;6.6;0.333;104;227;3.9;8.4;7.9;17.3;0.458;0.522;115;139;4.3;5.1;8.7;10.6;0.827;0.608;50.7;11.0;38.3;0.61
BENKE Szilárd;2023-24;Falco KC;31;697;22.5;325;10.5;25.0;61;86;2.0;2.8;4.7;6.6;0.709;3;9;0.1;0.3;0.2;0.7;0.333;64;95;2.1;3.1;4.9;7.3;0.674;54;154;1.7;5.0;4.2;11.9;0.351;118;249;3.8;8.0;9.1;19.2;0.474;0.582;35;64;1.1;2.1;2.7;4.9;0.547;0.585;34.5;3.6;61.8;0.26
Marvin CLARK;2024-25;Falco KC;33;697;21.1;310;9.4;24.5;59;91;1.8;2.8;4.7;7.2;0.648;3;8;0.1;0.2;0.2;0.6;0.375;62;99;1.9;3.0;4.9;7.8;0.626;49;124;1.5;3.8;3.9;9.8;0.395;111;223;3.4;6.8;8.8;17.6;0.498;0.608;39;50;1.2;1.5;3.1;4.0;0.780;0.631;40.8;3.6;55.6;0.22
TAKÁCS Kristóf;2024-25;Sopron;34;692;20.4;260;7.6;20.4;93;162;2.7;4.8;7.3;12.7;0.574;9;23;0.3;0.7;0.7;1.8;0.391;102;185;3.0;5.4;8.0;14.5;0.551;4;24;0.1;0.7;0.3;1.9;0.167;106;209;3.1;6.1;8.3;16.4;0.507;0.517;44;77;1.3;2.3;3.5;6.0;0.571;0.534;77.5;11.0;11.5;0.37
Juwan DURHAM;2022-23;Sopron;30;689;23.0;309;10.3;25.0;115;160;3.8;5.3;9.3;13.0;0.719;12;27;0.4;0.9;1.0;2.2;0.444;127;187;4.2;6.2;10.3;15.2;0.679;1;8;0.0;0.3;0.1;0.7;0.125;128;195;4.3;6.5;10.4;15.8;0.656;0.659;52;76;1.7;2.5;4.2;6.2;0.684;0.674;82.1;13.8;4.1;0.39
FILIPOVICS Stefan;2023-24;Bp. Honvéd;34;688;20.2;342;10.1;27.3;116;208;3.4;6.1;9.3;16.6;0.558;12;33;0.4;1.0;1.0;2.6;0.364;128;241;3.8;7.1;10.2;19.3;0.531;4;11;0.1;0.3;0.3;0.9;0.364;132;252;3.9;7.4;10.6;20.1;0.524;0.532;74;107;2.2;3.1;5.9;8.6;0.692;0.570;82.5;13.1;4.4;0.43
MOLNÁR Márton;2023-24;Sopron;32;687;21.5;249;7.8;19.7;100;156;3.1;4.9;7.9;12.4;0.641;8;25;0.3;0.8;0.6;2.0;0.320;108;181;3.4;5.7;8.6;14.3;0.597;0;0;0.0;0.0;0.0;0.0;;108;181;3.4;5.7;8.6;14.3;0.597;0.597;33;44;1.0;1.4;2.6;3.5;0.750;0.620;86.2;13.8;0.0;0.24
Miloš KOPRIVICA;2023-24;Kaposvár;34;686;20.2;345;10.1;28.1;131;205;3.9;6.0;10.7;16.7;0.639;11;42;0.3;1.2;0.9;3.4;0.262;142;247;4.2;7.3;11.6;20.1;0.575;0;2;0.0;0.1;0.0;0.2;0.000;142;249;4.2;7.3;11.6;20.3;0.570;0.570;61;110;1.8;3.2;5.0;9.0;0.555;0.578;82.3;16.9;0.8;0.44
TAKÁCS Kristóf;2023-24;Körmend;35;685;19.6;253;7.2;19.8;76;128;2.2;3.7;5.9;10.0;0.594;1;2;0.0;0.1;0.1;0.2;0.500;77;130;2.2;3.7;6.0;10.2;0.592;17;56;0.5;1.6;1.3;4.4;0.304;94;186;2.7;5.3;7.4;14.5;0.505;0.551;48;63;1.4;1.8;3.8;4.9;0.762;0.590;68.8;1.1;30.1;0.34
Trey MCGOWENS;2024-25;ZTE;27;685;25.4;379;14.0;30.3;89;168;3.3;6.2;7.1;13.4;0.530;5;18;0.2;0.7;0.4;1.4;0.278;94;186;3.5;6.9;7.5;14.9;0.505;25;89;0.9;3.3;2.0;7.1;0.281;119;275;4.4;10.2;9.5;22.0;0.433;0.478;116;142;4.3;5.3;9.3;11.4;0.817;0.559;61.1;6.5;32.4;0.52
IVKOVICS Milán;2024-25;Kecskemét;32;683;21.3;197;6.2;16.5;39;69;1.2;2.2;3.3;5.8;0.565;7;11;0.2;0.3;0.6;0.9;0.636;46;80;1.4;2.5;3.9;6.7;0.575;25;88;0.8;2.8;2.1;7.4;0.284;71;168;2.2;5.3;5.9;14.1;0.423;0.497;30;67;0.9;2.1;2.5;5.6;0.448;0.497;41.1;6.5;52.4;0.40
BAZSÓ Brúnó;2023-24;Bp. Honvéd;33;681;20.6;95;2.9;7.7;9;17;0.3;0.5;0.7;1.4;0.529;5;16;0.2;0.5;0.4;1.3;0.313;14;33;0.4;1.0;1.1;2.7;0.424;14;65;0.4;2.0;1.1;5.2;0.215;28;98;0.8;3.0;2.3;7.9;0.286;0.357;25;29;0.8;0.9;2.0;2.3;0.862;0.428;17.3;16.3;66.3;0.30
PALLAI Tamás;2023-24;Szolnok;34;681;20.0;204;6.0;16.1;17;37;0.5;1.1;1.3;2.9;0.459;2;9;0.1;0.3;0.2;0.7;0.222;19;46;0.6;1.4;1.5;3.6;0.413;51;126;1.5;3.7;4.0;9.9;0.405;70;172;2.1;5.1;5.5;13.5;0.407;0.555;13;18;0.4;0.5;1.0;1.4;0.722;0.566;21.5;5.2;73.3;0.11
Vuk VULIKIĆ;2024-25;Szedeák;18;679;37.7;293;16.3;24.8;55;105;3.1;5.8;4.7;8.9;0.524;8;19;0.4;1.1;0.7;1.6;0.421;63;124;3.5;6.9;5.3;10.5;0.508;30;114;1.7;6.3;2.5;9.6;0.263;93;238;5.2;13.2;7.9;20.1;0.391;0.454;77;90;4.3;5.0;6.5;7.6;0.856;0.526;44.1;8.0;47.9;0.38
Arsenije VUČKOVIĆ;2024-25;Körmend;29;678;23.4;323;11.1;25.4;119;206;4.1;7.1;9.4;16.2;0.578;3;17;0.1;0.6;0.2;1.3;0.176;122;223;4.2;7.7;9.6;17.6;0.547;6;25;0.2;0.9;0.5;2.0;0.240;128;248;4.4;8.6;10.1;19.5;0.516;0.528;61;110;2.1;3.8;4.8;8.7;0.555;0.543;83.1;6.9;10.1;0.44
MOLNÁR Márton;2022-23;Sopron;36;671;18.6;294;8.2;24.5;125;184;3.5;5.1;10.4;15.4;0.679;7;15;0.2;0.4;0.6;1.3;0.467;132;199;3.7;5.5;11.0;16.6;0.663;0;1;0.0;0.0;0.0;0.1;0.000;132;200;3.7;5.6;11.0;16.7;0.660;0.660;30;48;0.8;1.3;2.5;4.0;0.625;0.663;92.0;7.5;0.5;0.24
MOKÁNSZKI Máté;2024-25;PVSK;35;670;19.2;250;7.1;20.0;44;70;1.3;2.0;3.5;5.6;0.629;0;6;0.0;0.2;0.0;0.5;0.000;44;76;1.3;2.2;3.5;6.1;0.579;40;132;1.1;3.8;3.2;10.6;0.303;84;208;2.4;5.9;6.7;16.7;0.404;0.500;42;58;1.2;1.7;3.4;4.7;0.724;0.534;33.7;2.9;63.5;0.28
KRNJAJSZKI Borisz;2023-24;Kaposvár;34;669;19.7;182;5.4;15.1;35;68;1.0;2.0;2.9;5.7;0.515;9;23;0.3;0.7;0.8;1.9;0.391;44;91;1.3;2.7;3.7;7.6;0.484;22;77;0.6;2.3;1.8;6.4;0.286;66;168;1.9;4.9;5.5;14.0;0.393;0.458;28;44;0.8;1.3;2.3;3.7;0.636;0.485;40.5;13.7;45.8;0.26
Stefan POT;2023-24;Falco KC;36;668;18.6;353;9.8;28.4;77;126;2.1;3.5;6.2;10.1;0.611;2;14;0.1;0.4;0.2;1.1;0.143;79;140;2.2;3.9;6.4;11.2;0.564;29;85;0.8;2.4;2.3;6.8;0.341;108;225;3.0;6.3;8.7;18.1;0.480;0.544;108;141;3.0;3.9;8.7;11.3;0.766;0.612;56.0;6.2;37.8;0.63
Jimmy GAVIN;2022-23;Szolnok;30;666;22.2;297;9.9;25.1;33;61;1.1;2.0;2.8;5.2;0.541;4;20;0.1;0.7;0.3;1.7;0.200;37;81;1.2;2.7;3.1;6.8;0.457;54;152;1.8;5.1;4.6;12.8;0.355;91;233;3.0;7.8;7.7;19.7;0.391;0.506;61;73;2.0;2.4;5.2;6.2;0.836;0.559;26.2;8.6;65.2;0.31
Rytis PIPIRAS;2022-23;NYBS;21;663;31.6;307;14.6;24.9;69;112;3.3;5.3;5.6;9.1;0.616;5;20;0.2;1.0;0.4;1.6;0.250;74;132;3.5;6.3;6.0;10.7;0.561;42;112;2.0;5.3;3.4;9.1;0.375;116;244;5.5;11.6;9.4;19.8;0.475;0.561;33;58;1.6;2.8;2.7;4.7;0.569;0.568;45.9;8.2;45.9;0.24
Miloš GRUBOR;2022-23;Atomerőmű SE;27;662;24.5;283;10.5;23.2;27;63;1.0;2.3;2.2;5.2;0.429;5;18;0.2;0.7;0.4;1.5;0.278;32;81;1.2;3.0;2.6;6.7;0.395;57;138;2.1;5.1;4.7;11.3;0.413;89;219;3.3;8.1;7.3;18.0;0.406;0.537;48;61;1.8;2.3;3.9;5.0;0.787;0.574;28.8;8.2;63.0;0.28
TÓTH Ádám;2022-23;DEAC;33;662;20.1;289;8.8;24.5;109;184;3.3;5.6;9.3;15.6;0.592;6;12;0.2;0.4;0.5;1.0;0.500;115;196;3.5;5.9;9.8;16.6;0.587;4;15;0.1;0.5;0.3;1.3;0.267;119;211;3.6;6.4;10.1;17.9;0.564;0.573;47;76;1.4;2.3;4.0;6.5;0.618;0.589;87.2;5.7;7.1;0.36
Darrin GOVENS;2022-23;DEAC;21;658;31.3;246;11.7;21.1;55;104;2.6;5.0;4.7;8.9;0.529;9;23;0.4;1.1;0.8;2.0;0.391;64;127;3.0;6.0;5.5;10.9;0.504;28;88;1.3;4.2;2.4;7.5;0.318;92;215;4.4;10.2;7.9;18.4;0.428;0.493;34;41;1.6;2.0;2.9;3.5;0.829;0.527;48.4;10.7;40.9;0.19
Rastko DRAMIĆANIN;2023-24;Kecskemét;34;658;19.4;357;10.5;30.0;74;113;2.2;3.3;6.2;9.5;0.655;25;44;0.7;1.3;2.1;3.7;0.568;99;157;2.9;4.6;8.3;13.2;0.631;32;96;0.9;2.8;2.7;8.1;0.333;131;253;3.9;7.4;11.0;21.2;0.518;0.581;63;82;1.9;2.4;5.3;6.9;0.768;0.616;44.7;17.4;37.9;0.32
KOVÁCS Péter;2023-24;NKA Pécs;29;657;22.7;181;6.2;14.6;34;72;1.2;2.5;2.8;5.8;0.472;8;20;0.3;0.7;0.7;1.6;0.400;42;92;1.4;3.2;3.4;7.5;0.457;25;85;0.9;2.9;2.0;6.9;0.294;67;177;2.3;6.1;5.4;14.3;0.379;0.449;22;28;0.8;1.0;1.8;2.3;0.786;0.477;40.7;11.3;48.0;0.16
Strahinja JOVANOVIĆ;2023-24;Szolnok;24;649;27.0;359;15.0;29.6;64;122;2.7;5.1;5.3;10.0;0.525;10;21;0.4;0.9;0.8;1.7;0.476;74;143;3.1;6.0;6.1;11.8;0.517;34;86;1.4;3.6;2.8;7.1;0.395;108;229;4.5;9.5;8.9;18.9;0.472;0.546;109;140;4.5;5.8;9.0;11.5;0.779;0.615;53.3;9.2;37.6;0.61
TAKÁCS Milán;2024-25;ZTE;35;649;18.5;164;4.7;13.8;42;69;1.2;2.0;3.5;5.8;0.609;12;29;0.3;0.8;1.0;2.4;0.414;54;98;1.5;2.8;4.5;8.2;0.551;13;52;0.4;1.5;1.1;4.4;0.250;67;150;1.9;4.3;5.6;12.6;0.447;0.490;17;27;0.5;0.8;1.4;2.3;0.630;0.506;46.0;19.3;34.7;0.18
MOLNÁR Márton;2024-25;Sopron;36;648;18.0;284;7.9;23.8;119;186;3.3;5.2;10.0;15.6;0.640;15;32;0.4;0.9;1.3;2.7;0.469;134;218;3.7;6.1;11.2;18.3;0.615;0;7;0.0;0.2;0.0;0.6;0.000;134;225;3.7;6.3;11.2;18.9;0.596;0.596;16;23;0.4;0.6;1.3;1.9;0.696;0.603;82.7;14.2;3.1;0.10
BRBAKLICS Aleksza;2024-25;NKA Pécs;33;648;19.6;135;4.1;11.3;43;84;1.3;2.5;3.6;7.0;0.512;0;5;0.0;0.2;0.0;0.4;0.000;43;89;1.3;2.7;3.6;7.5;0.483;9;42;0.3;1.3;0.8;3.5;0.214;52;131;1.6;4.0;4.4;11.0;0.397;0.431;22;36;0.7;1.1;1.8;3.0;0.611;0.459;64.1;3.8;32.1;0.28
KRNJAJSZKI Borisz;2022-23;Kaposvár;27;647;24.0;229;8.5;19.4;61;89;2.3;3.3;5.2;7.5;0.685;5;16;0.2;0.6;0.4;1.4;0.313;66;105;2.4;3.9;5.6;8.9;0.629;24;86;0.9;3.2;2.0;7.3;0.279;90;191;3.3;7.1;7.6;16.2;0.471;0.534;25;45;0.9;1.7;2.1;3.8;0.556;0.542;46.6;8.4;45.0;0.24
CAREV Alekszej;2022-23;Oroszlány;34;646;19.0;215;6.3;18.4;33;66;1.0;1.9;2.8;5.7;0.500;20;35;0.6;1.0;1.7;3.0;0.571;53;101;1.6;3.0;4.5;8.7;0.525;29;96;0.9;2.8;2.5;8.2;0.302;82;197;2.4;5.8;7.0;16.9;0.416;0.490;22;28;0.6;0.8;1.9;2.4;0.786;0.513;33.5;17.8;48.7;0.14
BALOGH Szilárd;2024-25;Szedeák;35;645;18.4;169;4.8;14.7;54;98;1.5;2.8;4.7;8.5;0.551;2;13;0.1;0.4;0.2;1.1;0.154;56;111;1.6;3.2;4.9;9.7;0.505;9;29;0.3;0.8;0.8;2.5;0.310;65;140;1.9;4.0;5.7;12.2;0.464;0.496;30;45;0.9;1.3;2.6;3.9;0.667;0.527;70.0;9.3;20.7;0.32
SIMON Kristóf;2024-25;Bp. Honvéd;32;643;20.1;178;5.6;15.3;24;48;0.8;1.5;2.1;4.1;0.500;3;8;0.1;0.3;0.3;0.7;0.375;27;56;0.8;1.8;2.3;4.8;0.482;28;96;0.9;3.0;2.4;8.2;0.292;55;152;1.7;4.8;4.7;13.0;0.362;0.454;40;55;1.3;1.7;3.4;4.7;0.727;0.504;31.6;5.3;63.2;0.36
Miloš BORISOV;2022-23;Kecskemét;26;639;24.6;307;11.8;26.4;30;65;1.2;2.5;2.6;5.6;0.462;30;72;1.2;2.8;2.6;6.2;0.417;60;137;2.3;5.3;5.2;11.8;0.438;43;106;1.7;4.1;3.7;9.1;0.406;103;243;4.0;9.3;8.9;20.9;0.424;0.512;58;67;2.2;2.6;5.0;5.8;0.866;0.562;26.7;29.6;43.6;0.28
KASS Balázs;2022-23;NYBS;31;635;20.5;149;4.8;12.5;26;53;0.8;1.7;2.2;4.5;0.491;2;10;0.1;0.3;0.2;0.8;0.200;28;63;0.9;2.0;2.4;5.3;0.444;26;82;0.8;2.6;2.2;6.9;0.317;54;145;1.7;4.7;4.5;12.2;0.372;0.462;15;23;0.5;0.7;1.3;1.9;0.652;0.480;36.6;6.9;56.6;0.16
Andre WESSON;2023-24;Bp. Honvéd;23;632;27.5;290;12.6;25.3;43;91;1.9;4.0;3.8;7.9;0.473;9;28;0.4;1.2;0.8;2.4;0.321;52;119;2.3;5.2;4.5;10.4;0.437;43;135;1.9;5.9;3.8;11.8;0.319;95;254;4.1;11.0;8.3;22.2;0.374;0.459;57;76;2.5;3.3;5.0;6.6;0.750;0.503;35.8;11.0;53.1;0.30
Antonio JORDANO;2023-24;Falco KC;35;630;18.0;258;7.4;22.0;10;23;0.3;0.7;0.9;2.0;0.435;4;17;0.1;0.5;0.3;1.5;0.235;14;40;0.4;1.1;1.2;3.4;0.350;70;156;2.0;4.5;6.0;13.3;0.449;84;196;2.4;5.6;7.2;16.7;0.429;0.607;20;25;0.6;0.7;1.7;2.1;0.800;0.622;11.7;8.7;79.6;0.13
Zach BROWN;2022-23;Falco KC;27;626;23.2;243;9.0;21.1;42;74;1.6;2.7;3.6;6.4;0.568;3;11;0.1;0.4;0.3;1.0;0.273;45;85;1.7;3.1;3.9;7.4;0.529;35;94;1.3;3.5;3.0;8.1;0.372;80;179;3.0;6.6;6.9;15.5;0.447;0.545;48;61;1.8;2.3;4.2;5.3;0.787;0.589;41.3;6.1;52.5;0.34
KUCSERA Dániel;2023-24;Kecskemét;35;625;17.9;185;5.3;16.4;28;44;0.8;1.3;2.5;3.9;0.636;8;13;0.2;0.4;0.7;1.2;0.615;36;57;1.0;1.6;3.2;5.1;0.632;31;82;0.9;2.3;2.7;7.3;0.378;67;139;1.9;4.0;5.9;12.3;0.482;0.594;20;30;0.6;0.9;1.8;2.7;0.667;0.607;31.7;9.4;59.0;0.22
RUDNER Gábor;2024-25;Szolnok;34;622;18.3;178;5.2;15.3;28;47;0.8;1.4;2.4;4.0;0.596;1;5;0.0;0.1;0.1;0.4;0.200;29;52;0.9;1.5;2.5;4.5;0.558;37;108;1.1;3.2;3.2;9.3;0.343;66;160;1.9;4.7;5.7;13.8;0.413;0.528;9;15;0.3;0.4;0.8;1.3;0.600;0.534;29.4;3.1;67.5;0.09
KERPEL-FRONIUS Gáspár;2023-24;NKA Pécs;33;619;18.8;150;4.5;12.8;40;78;1.2;2.4;3.4;6.7;0.513;4;5;0.1;0.2;0.3;0.4;0.800;44;83;1.3;2.5;3.8;7.1;0.530;11;30;0.3;0.9;0.9;2.6;0.367;55;113;1.7;3.4;4.7;9.6;0.487;0.535;29;49;0.9;1.5;2.5;4.2;0.592;0.555;69.0;4.4;26.5;0.43
ANTONI Csanád;2024-25;PVSK;34;615;18.1;199;5.9;17.4;27;46;0.8;1.4;2.4;4.0;0.587;8;22;0.2;0.6;0.7;1.9;0.364;35;68;1.0;2.0;3.1;6.0;0.515;38;121;1.1;3.6;3.3;10.6;0.314;73;189;2.1;5.6;6.4;16.5;0.386;0.487;15;18;0.4;0.5;1.3;1.6;0.833;0.505;24.3;11.6;64.0;0.10
Isiah BROWN;2022-23;Kaposvár;20;613;30.7;349;17.5;30.8;63;120;3.2;6.0;5.6;10.6;0.525;29;54;1.5;2.7;2.6;4.8;0.537;92;174;4.6;8.7;8.1;15.4;0.529;27;85;1.4;4.3;2.4;7.5;0.318;119;259;6.0;13.0;10.5;22.9;0.459;0.512;84;95;4.2;4.8;7.4;8.4;0.884;0.578;46.3;20.8;32.8;0.37
PAJOR Dávid;2022-23;Atomerőmű SE;35;610;17.4;93;2.7;8.3;13;27;0.4;0.8;1.2;2.4;0.481;4;11;0.1;0.3;0.4;1.0;0.364;17;38;0.5;1.1;1.5;3.4;0.447;18;81;0.5;2.3;1.6;7.3;0.222;35;119;1.0;3.4;3.1;10.7;0.294;0.370;5;8;0.1;0.2;0.5;0.7;0.625;0.379;22.7;9.2;68.1;0.07
Erik COPES;2022-23;NYBS;22;606;27.5;313;14.2;27.6;114;192;5.2;8.7;10.1;16.9;0.594;21;50;1.0;2.3;1.9;4.4;0.420;135;242;6.1;11.0;11.9;21.3;0.558;0;1;0.0;0.0;0.0;0.1;0.000;135;243;6.1;11.0;11.9;21.4;0.556;0.556;43;63;2.0;2.9;3.8;5.6;0.683;0.577;79.0;20.6;0.4;0.26
Jay HEATH;2024-25;Szedeák;18;606;33.7;342;19.0;30.7;64;128;3.6;7.1;5.8;11.5;0.500;4;31;0.2;1.7;0.4;2.8;0.129;68;159;3.8;8.8;6.1;14.3;0.428;51;133;2.8;7.4;4.6;12.0;0.383;119;292;6.6;16.2;10.7;26.2;0.408;0.495;53;70;2.9;3.9;4.8;6.3;0.757;0.529;43.8;10.6;45.5;0.24
Jimmie TAYLOR;2022-23;DEAC;29;598;20.6;225;7.8;21.2;92;132;3.2;4.6;8.7;12.5;0.697;2;4;0.1;0.1;0.2;0.4;0.500;94;136;3.2;4.7;8.9;12.8;0.691;0;0;0.0;0.0;0.0;0.0;;94;136;3.2;4.7;8.9;12.8;0.691;0.691;37;69;1.3;2.4;3.5;6.5;0.536;0.673;97.1;2.9;0.0;0.51
Kwame VAUGHN;2024-25;PVSK;17;595;35.0;283;16.6;25.9;59;106;3.5;6.2;5.4;9.7;0.557;18;41;1.1;2.4;1.6;3.8;0.439;77;147;4.5;8.6;7.0;13.4;0.524;21;71;1.2;4.2;1.9;6.5;0.296;98;218;5.8;12.8;9.0;19.9;0.450;0.498;66;75;3.9;4.4;6.0;6.9;0.880;0.562;48.6;18.8;32.6;0.34
BALOGH Szilárd;2023-24;Szedeák;34;594;17.5;164;4.8;14.4;51;88;1.5;2.6;4.5;7.7;0.580;3;14;0.1;0.4;0.3;1.2;0.214;54;102;1.6;3.0;4.7;8.9;0.529;7;25;0.2;0.7;0.6;2.2;0.280;61;127;1.8;3.7;5.4;11.1;0.480;0.508;35;43;1.0;1.3;3.1;3.8;0.814;0.560;69.3;11.0;19.7;0.34
Tyree EADY;2024-25;Szedeák;16;594;37.2;223;13.9;21.4;49;77;3.1;4.8;4.7;7.4;0.636;15;29;0.9;1.8;1.4;2.8;0.517;64;106;4.0;6.6;6.1;10.2;0.604;18;66;1.1;4.1;1.7;6.3;0.273;82;172;5.1;10.8;7.9;16.5;0.477;0.529;41;60;2.6;3.8;3.9;5.8;0.683;0.560;44.8;16.9;38.4;0.35
PLÉZER Gábor;2024-25;PVSK;35;593;16.9;156;4.5;14.1;38;67;1.1;1.9;3.4;6.1;0.567;3;9;0.1;0.3;0.3;0.8;0.333;41;76;1.2;2.2;3.7;6.9;0.539;18;66;0.5;1.9;1.6;6.0;0.273;59;142;1.7;4.1;5.3;12.9;0.415;0.479;20;26;0.6;0.7;1.8;2.4;0.769;0.507;47.2;6.3;46.5;0.18
PUSKA Bence;2022-23;Kaposvár;34;592;17.4;134;3.9;12.3;26;46;0.8;1.4;2.4;4.2;0.565;4;10;0.1;0.3;0.4;0.9;0.400;30;56;0.9;1.6;2.8;5.2;0.536;22;63;0.6;1.9;2.0;5.8;0.349;52;119;1.5;3.5;4.8;10.9;0.437;0.529;8;14;0.2;0.4;0.7;1.3;0.571;0.535;38.7;8.4;52.9;0.12
KRNJAJSZKI Borisz;2024-25;Szolnok;36;589;16.3;168;4.7;15.3;40;82;1.1;2.3;3.6;7.5;0.488;5;10;0.1;0.3;0.5;0.9;0.500;45;92;1.3;2.6;4.1;8.4;0.489;18;59;0.5;1.6;1.6;5.4;0.305;63;151;1.8;4.2;5.7;13.7;0.417;0.477;24;42;0.7;1.2;2.2;3.8;0.571;0.494;54.3;6.6;39.1;0.28
