Játékos;Szezon;Csapat;G;Min;Min PG;PTS;PTS PG;PTS 100;Close made;Close att.;Close made PG;Close att. PG;Close made 100;Close att. 100;Close %;Mid. made;Mid. att.;Mid. made PG;Mid. att. PG;Mid. made 100;Mid. att. 100;Mid. %;2P made;2P att.;2P made PG;2P att. PG;2P made 100;2P att. 100;2P%;3P made;3P att.;3P made PG;3P att. PG;3P made 100;3P att. 100;3P%;FG made;FG att.;FG made PG;FG att. PG;FG made 100;FG att. 100;FG%;EFG%;FT made;FT att.;FT made PG;FT att. PG;FT made 100;FT att. 100;FT%;TS%;Close att. rate;Mid. att. rate;3P att. rate;FT rate
PERL Zoltán;2023-24;Falco KC;35;820;23.4;697;19.9;45.6;185;267;5.3;7.6;12.1;17.5;0.693;33;70;0.9;2.0;2.2;4.6;0.471;218;337;6.2;9.6;14.3;22.1;0.647;35;87;1.0;2.5;2.3;5.7;0.402;253;424;7.2;12.1;16.6;27.7;0.597;0.638;156;174;4.5;5.0;10.2;11.4;0.897;0.694;63.0;16.5;20.5;0.41
Marjan ČAKARUN;2022-23;Körmend;39;817;20.9;350;9.0;23.2;105;173;2.7;4.4;7.0;11.5;0.607;33;82;0.8;2.1;2.2;5.4;0.402;138;255;3.5;6.5;9.1;16.9;0.541;2;9;0.1;0.2;0.1;0.6;0.222;140;264;3.6;6.8;9.3;17.5;0.530;0.534;68;102;1.7;2.6;4.5;6.8;0.667;0.565;65.5;31.1;3.4;0.39
Kemal KARAHODŽIĆ;2024-25;Kecskemét;33;815;24.7;299;9.1;21.0;104;156;3.2;4.7;7.3;10.9;0.667;5;18;0.2;0.5;0.4;1.3;0.278;109;174;3.3;5.3;7.6;12.2;0.626;1;2;0.0;0.1;0.1;0.1;0.500;110;176;3.3;5.3;7.7;12.3;0.625;0.628;78;136;2.4;4.1;5.5;9.5;0.574;0.630;88.6;10.2;1.1;0.77
Danilo OSTOJIĆ;2023-24;ZTE;31;814;26.3;380;12.3;25.5;138;200;4.5;6.5;9.3;13.4;0.690;4;12;0.1;0.4;0.3;0.8;0.333;142;212;4.6;6.8;9.5;14.2;0.670;8;30;0.3;1.0;0.5;2.0;0.267;150;242;4.8;7.8;10.1;16.3;0.620;0.636;72;100;2.3;3.2;4.8;6.7;0.720;0.662;82.6;5.0;12.4;0.41
Auston BARNES;2022-23;Szolnok;33;811;24.6;315;9.5;22.0;66;110;2.0;3.3;4.6;7.7;0.600;5;20;0.2;0.6;0.4;1.4;0.250;71;130;2.2;3.9;5.0;9.1;0.546;39;92;1.2;2.8;2.7;6.4;0.424;110;222;3.3;6.7;7.7;15.5;0.495;0.583;56;66;1.7;2.0;3.9;4.6;0.848;0.626;49.5;9.0;41.4;0.30
Kemal KARAHODŽIĆ;2023-24;Kecskemét;35;808;23.1;349;10.0;23.9;130;223;3.7;6.4;8.9;15.3;0.583;14;28;0.4;0.8;1.0;1.9;0.500;144;251;4.1;7.2;9.9;17.2;0.574;0;6;0.0;0.2;0.0;0.4;0.000;144;257;4.1;7.3;9.9;17.6;0.560;0.560;61;114;1.7;3.3;4.2;7.8;0.535;0.566;86.8;10.9;2.3;0.44
RUJÁK András;2023-24;Oroszlány;35;806;23.0;118;3.4;7.7;22;41;0.6;1.2;1.4;2.7;0.537;8;11;0.2;0.3;0.5;0.7;0.727;30;52;0.9;1.5;2.0;3.4;0.577;17;44;0.5;1.3;1.1;2.9;0.386;47;96;1.3;2.7;3.1;6.2;0.490;0.578;7;11;0.2;0.3;0.5;0.7;0.636;0.584;42.7;11.5;45.8;0.12
Anthony DURHAM;2024-25;NKA Pécs;25;798;31.9;458;18.3;31.3;86;149;3.4;6.0;5.9;10.2;0.577;13;33;0.5;1.3;0.9;2.3;0.394;99;182;4.0;7.3;6.8;12.4;0.544;53;155;2.1;6.2;3.6;10.6;0.342;152;337;6.1;13.5;10.4;23.0;0.451;0.530;101;133;4.0;5.3;6.9;9.1;0.759;0.577;44.2;9.8;46.0;0.40
MÓCSÁN Bálint;2022-23;DEAC;30;796;26.5;402;13.4;28.6;44;86;1.5;2.9;3.1;6.1;0.512;22;64;0.7;2.1;1.6;4.6;0.344;66;150;2.2;5.0;4.7;10.7;0.440;67;183;2.2;6.1;4.8;13.0;0.366;133;333;4.4;11.1;9.5;23.7;0.399;0.500;69;87;2.3;2.9;4.9;6.2;0.793;0.540;25.8;19.2;55.0;0.26
Lovro BULJEVIĆ;2023-24;DEAC;34;793;23.3;295;8.7;21.1;107;194;3.1;5.7;7.6;13.8;0.552;1;3;0.0;0.1;0.1;0.2;0.333;108;197;3.2;5.8;7.7;14.0;0.548;4;31;0.1;0.9;0.3;2.2;0.129;112;228;3.3;6.7;8.0;16.3;0.491;0.500;67;115;2.0;3.4;4.8;8.2;0.583;0.527;85.1;1.3;13.6;0.50
