Season;Csapat;Gy%;G;PTS /G;Opp. PTS /G;Pace;ORtg;DRtg;Net Rtg;Close made /G;Close att. /G;Close %;Mid. made /G;Mid. att. /G;Mid. %;2P made /G;2P att. /G;2P%;3P made /G;3P att. /G;3P%;FG made /G;FG att. /G;FG%;EFG%;FT made /G;FT att. /G;FT%;TS%;Close att. rate;Mid. att. rate;3P att. rate;FT rate;AST /G;AST%;TOV /G;TOV%;DRB /G;ORB /G;TRB /G;DRB%;ORB%;TRB%;STL /G;STL%;BLK /G;BLK%;PF /G;PFA /G
2324;Szolnok;59.5;37;83.8;81.6;73.6;113.5;110.5;3.0;18.4;32.0;0.576;2.0;5.7;0.349;20.4;37.7;0.542;8.9;24.5;0.363;29.3;62.2;0.471;0.543;16.2;23.5;0.690;0.575;51.4;9.2;39.4;0.378;19.1;65.2;13.5;15.7;25.0;10.2;35.2;71.4;29.1;50.2;6.5;8.9;2.2;5.7;22.4;22.5
2324;ZTE;43.2;37;82.2;86.9;73.6;110.6;116.9;-6.3;20.7;34.2;0.604;1.7;5.1;0.332;22.4;39.4;0.569;7.3;24.5;0.298;29.7;63.9;0.465;0.522;15.5;21.2;0.730;0.560;53.6;8.0;38.4;0.332;14.6;49.0;12.5;14.5;25.6;10.3;35.9;71.0;28.5;49.8;6.7;9.1;0.9;2.4;20.6;21.0
2223;Alba Fehérvár;70.3;37;88.8;79.6;73.1;120.3;107.8;12.5;21.8;34.0;0.642;2.4;6.7;0.360;24.2;40.7;0.596;8.3;23.8;0.350;32.6;64.5;0.505;0.570;15.3;19.2;0.799;0.607;52.8;10.4;36.9;0.298;18.1;55.4;11.6;13.7;24.5;9.7;34.2;71.9;29.6;51.1;9.0;12.2;2.2;6.1;18.4;19.5
2223;Atomerőmű SE;52.8;36;80.6;80.1;73.2;109.8;109.1;0.7;20.3;34.3;0.590;2.6;7.5;0.344;22.8;41.8;0.546;6.9;21.4;0.324;29.8;63.2;0.471;0.526;14.2;19.0;0.747;0.562;54.3;11.9;33.8;0.301;17.9;60.1;13.7;16.1;26.6;10.8;37.4;72.8;31.0;52.4;6.8;9.2;2.4;6.1;18.1;19.7
2223;Bp. Honvéd;27.8;36;73.1;80.5;72.9;100.3;110.5;-10.2;16.9;30.4;0.556;1.5;4.5;0.335;18.4;34.9;0.528;8.0;27.2;0.295;26.4;62.1;0.426;0.491;12.2;18.4;0.662;0.519;49.0;7.2;43.8;0.296;13.9;52.7;14.1;16.7;23.9;10.4;34.3;69.4;27.5;47.5;6.8;9.3;2.2;5.5;21.6;20.1
2223;DEAC;48.6;35;77.6;79.2;71.0;108.1;110.3;-2.2;18.9;33.5;0.564;2.9;7.6;0.389;21.8;41.1;0.532;7.1;21.1;0.338;28.9;62.1;0.466;0.523;12.6;17.3;0.730;0.555;53.9;12.2;33.9;0.278;16.7;57.7;12.6;15.2;24.9;9.4;34.4;71.9;27.4;49.8;7.1;9.9;1.9;5.0;19.3;18.8
2223;Falco KC;81.1;37;87.2;75.2;72.8;119.4;103.0;16.4;20.5;33.0;0.621;2.6;6.5;0.402;23.1;39.5;0.585;8.6;24.2;0.357;31.8;63.8;0.498;0.566;15.0;19.0;0.791;0.603;51.8;10.2;38.0;0.298;18.5;58.3;13.1;15.3;27.8;11.1;38.9;74.2;33.0;54.7;5.9;8.1;2.4;5.9;21.3;19.9
2223;Kaposvár;36.1;36;81.4;85.4;73.5;109.6;115.1;-5.5;18.9;31.9;0.593;2.7;7.2;0.380;21.6;39.0;0.554;8.1;23.2;0.348;29.7;62.2;0.477;0.542;14.0;19.2;0.730;0.575;51.2;11.5;37.2;0.308;14.7;49.5;13.7;16.2;25.4;9.3;34.6;71.2;27.2;49.7;5.7;7.6;2.8;7.0;20.5;20.3
2223;Kecskemét;50.0;36;77.9;80.0;72.3;107.3;110.2;-2.9;16.4;26.8;0.610;3.9;9.5;0.408;20.2;36.3;0.557;8.5;27.2;0.312;28.7;63.5;0.452;0.519;12.0;16.1;0.747;0.550;42.3;14.9;42.8;0.254;17.3;60.2;11.0;13.4;25.6;7.8;33.4;72.1;21.7;46.7;6.4;8.8;2.1;5.5;18.4;18.4
2223;Körmend;53.8;39;82.9;85.0;73.9;111.4;114.2;-2.8;19.7;32.3;0.610;2.2;7.0;0.314;21.9;39.3;0.557;8.3;23.9;0.348;30.2;63.2;0.478;0.544;14.1;20.0;0.706;0.574;51.1;11.1;37.8;0.316;16.1;53.3;12.5;14.7;24.6;9.2;33.8;68.9;26.6;48.0;6.8;9.1;2.4;5.9;22.5;21.0
2223;NYBS;11.1;36;74.7;88.0;75.4;98.5;116.0;-17.5;17.1;31.9;0.535;2.9;7.8;0.365;19.9;39.8;0.501;7.1;24.0;0.298;27.1;63.8;0.425;0.481;13.4;18.6;0.722;0.518;50.1;12.3;37.6;0.291;14.3;52.6;14.9;17.2;23.8;10.1;33.9;70.4;26.6;47.2;7.5;9.9;1.8;4.6;21.4;18.9
2223;Oroszlány;50.0;36;79.0;81.1;72.4;107.9;110.8;-2.9;16.8;29.4;0.570;2.6;8.0;0.325;19.4;37.4;0.518;9.4;27.7;0.340;28.8;65.1;0.442;0.514;11.9;16.6;0.720;0.544;45.2;12.3;42.5;0.255;15.3;53.1;14.0;16.2;23.3;11.8;35.1;69.5;31.5;49.4;7.4;10.2;2.4;6.7;23.9;19.6
2223;Sopron;48.6;37;82.5;79.7;71.6;114.1;110.3;3.9;19.0;31.7;0.599;3.2;7.0;0.459;22.2;38.7;0.574;8.3;24.4;0.339;30.5;63.1;0.483;0.549;13.3;17.5;0.759;0.581;50.3;11.1;38.6;0.277;17.6;57.8;11.5;14.0;27.1;9.0;36.1;68.5;26.4;49.1;6.2;8.6;3.6;9.1;17.4;18.1
2223;Szedeák;38.9;36;80.5;81.9;72.6;109.8;111.7;-1.9;18.9;31.4;0.602;3.8;10.8;0.351;22.7;42.3;0.537;6.9;21.2;0.327;29.7;63.5;0.467;0.522;14.3;19.7;0.724;0.556;49.5;17.1;33.4;0.310;14.7;49.6;14.2;16.4;25.1;12.2;37.3;71.9;34.0;52.6;6.8;9.2;2.0;5.3;19.8;19.8
2223;Szolnok;73.0;37;83.7;75.4;70.9;117.6;105.9;11.7;17.5;28.7;0.608;1.7;5.4;0.318;19.2;34.1;0.562;10.2;29.3;0.347;29.3;63.4;0.462;0.543;14.9;19.0;0.783;0.582;45.3;8.4;46.2;0.299;19.6;67.0;11.3;13.6;24.4;11.0;35.4;72.7;31.1;51.4;7.1;10.0;1.4;3.5;20.9;20.1
2223;ZTE;55.3;38;85.0;84.5;73.8;113.7;113.1;0.6;18.1;31.2;0.582;3.0;7.0;0.423;21.1;38.2;0.553;8.7;25.4;0.341;29.8;63.6;0.468;0.536;16.8;21.8;0.771;0.579;49.0;11.0;40.0;0.342;15.7;52.7;12.1;14.2;25.6;9.6;35.2;74.4;27.2;50.5;6.3;8.4;1.2;2.9;19.8;21.6
